design,model_name,cases,quartic_nrmse_median,quartic_nrmse_min,quartic_nrmse_max,quartic_slope_median,occupancy_nrmse_median,occupancy_slope_median,fit_seconds_median,total_seconds_median
paired_rep4,autoregressive_mdn,4,0.9184170128083644,0.8584182416471066,0.9626460609655916,0.08231837793295041,0.8222983848945525,0.17887651054316667,13.083018999983324,13.404095040998072
paired_rep4,affine_flow,4,0.9501924268048496,0.9158760026261882,0.9680173982251444,0.04984919705999628,0.853704849398693,0.14665158940831372,6.2244834794983035,6.40899368749524
paired_rep4,autoregressive_transformer,4,0.9758782211494619,0.9482281736678844,0.9806891714504546,0.024389749925253508,0.8803495292716288,0.12027310978916493,100.40720306249568,133.4013392705092
paired_rep4,diffusion_edm,4,0.984321646555032,0.9648098053838656,0.9894232278994315,0.01569522445082798,0.8979475938445116,0.10219511828559473,1.4726875835040119,1.8089859369938495
paired_rep4,gaussian_nll,4,0.9999747679819301,0.9998273994802507,1.0001390839275048,2.527000799573138e-05,0.7237777618277859,0.27641020048253595,0.8159277505037608,0.9400064585061045
paired_rep4,flow_matching,4,1.0009099969284354,0.9999296032340659,1.0021132697575068,-0.0009063400180071876,0.9040540377598956,0.0960717435485979,1.3967663535004249,1.71380745798524
unpaired_binary,autoregressive_mdn,4,0.9060320275996816,0.8917364958404878,0.9291716090621273,0.0947775914539564,0.8043634509358208,0.19687411182438713,13.43187352050154,13.752350438007852
unpaired_binary,autoregressive_transformer,4,0.9510371916233946,0.9436585018864443,0.976389361231138,0.049172581367300225,0.8626946708019099,0.13801414458457917,100.96808427099313,132.08054693749
unpaired_binary,affine_flow,4,0.9536872378239468,0.9081032352454148,0.9714858381711042,0.04633788673785032,0.8563736409448637,0.14378616001842623,5.064240187508403,5.247363478993066
unpaired_binary,diffusion_edm,4,0.9873286878667866,0.9725578146871638,0.9904176420667027,0.012688450287233066,0.9089980758572218,0.09124213241585223,1.5028312704962445,1.8460871880233753
unpaired_binary,flow_matching,4,0.9992926093706007,0.9973699280993983,1.0008772177017262,0.0007106394053917349,0.9031174935412989,0.09701625422555857,1.3613595835049637,1.6797292914852733
unpaired_binary,gaussian_nll,4,1.0000503652260655,0.9999888721534405,1.000084293788719,-5.034490226190245e-05,0.7278223250560684,0.27236432168988706,0.683111332997214,0.8715917919907952
