anchors,best_epoch,case_id,delta,design,draws_per_side,estimated_occupancy,estimated_quartic,fit_seconds,generator_seed,linear_null,linear_null_rms,model_kind,model_name,model_seed,occupancy_bias,occupancy_calibration_slope,occupancy_nrmse,occupancy_rmse,parameter_count,quadratic_null,quadratic_null_rms,quartic_bias,quartic_calibration_slope,quartic_contrast_constant,quartic_mc_se,quartic_mc_se_median,quartic_nrmse,quartic_rmse,quartic_truth_rms,seconds,status,stopped_epoch,truth_occupancy,truth_quartic,wall_seconds
12,59,0ee6145ab51783a82e51,1.0,unpaired_binary,512,"[0.022915632709244016, 0.022665450622121164, 0.02569665980970337, 0.024159654962306987, 0.020133284409305757, 0.018325528985726314, 0.024419588461849717, 0.029515551950596935, 0.02388974647034614, 0.020705804321820842, 0.026995374519175885, 0.02039135920769125]","[0.022591381489601936, 0.018597926034456647, 0.006907430333661313, 0.010075310990289826, 0.0028599044713549793, 0.0015501561139448922, 0.01734596755623985, 0.025260403461777485, 0.03266823090075102, 0.004173049393427053, 0.011252548805394502, -0.009019603384753161]",1.3069294580200221,73,"[-0.026268808928996232, -0.02772840780219917, -0.026546252794916316, -0.02040784999039709, -0.020411823249439225, -0.027790361511984878, -0.02352251610949333, -0.025477574137497017, -0.02728705029704815, -0.02732475989700603, -0.024569107563153378, -0.02658665940170489]",0.02545122490797552,conditional_flow_matching,flow_matching,8107,-0.24520698046319356,0.08683668871074368,0.9132334763182538,0.24522582151241434,14048,"[0.01168737748976767, 0.008210900424589163, 0.007501542706387809, 0.007732880125596697, 0.010280556701445676, 0.0102547804883093, 0.005807897542070339, 0.007951159332215463, 0.011995736150295144, 0.01166122364936406, 0.005401136636874471, 0.014662748808192738]",0.009797693335229039,-4.553649890449891,0.0026331047768804058,8.501397381532769,"[0.21207852955570852, 0.2241164640269854, 0.1947838518753292, 0.20293712011630405, 0.21215503649340084, 0.22497513778451575, 0.22018030351897613, 0.1909680614218192, 0.21941768549383306, 0.20254691210775122, 0.22335994162393533, 0.22857684438838566]",0.21578636099361695,0.9973699280993983,4.553663737567537,4.565671782630404,0.29791995900450274,ok,59,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404]",1.6253294159832876
12,13,148d6c9fd8c4dbf5a532,1.0,paired_rep4,512,"[0.07859334353388431, 0.0728175258605801, 0.06980813375016404, 0.05724079198380258, 0.07042576570964582, 0.050612140876804435, 0.04436610492353976, 0.05578088907914197, 0.06222634493023191, 0.05514374423229304, 0.05392881613568454, 0.05233055898786182]","[0.5192934760007948, 0.4560852725114222, 0.46495170998633273, 0.44892004444757583, 0.2965975944939516, 0.2658745020587736, 0.20415450737329904, 0.3601567726606095, 0.3359648822112743, 0.34712870807838136, 0.3993728152145586, 0.3635725420196897]",13.819278124981793,79,"[0.05669639349214636, -0.018496332072366548, 0.030417999389483207, 0.11776213627492892, 0.08107105168605774, 0.09639987109368758, 0.0015376257722509584, 0.09164132279986174, 0.06850839021748222, 0.10198031608042665, 0.04531238556747859, -0.06017931585902157]",0.07267729150673449,autoregressive_mdn,autoregressive_mdn,8101,-0.20825193683204804,0.2244591574810451,0.776431612411912,0.20849113062470184,315264,"[0.03660769451944201, -0.02682167661033441, 0.08513767413840312, 0.0355914245398099, 0.04351700947213444, -0.020584476755639125, 0.004642963820116641, -0.0059712153487521125, 0.004368697482470374, 0.030645653569145725, 0.025750605220344003, 0.011171405340513862]",0.034994639568124,-2.7911261132975613,0.11756037188087878,5.889522513224287,"[0.17402331133656013, 0.14860536815052294, 0.16287488923643992, 0.16195798873269596, 0.14248395820516818, 0.13238948319458957, 0.1437364126991882, 0.14442363173264408, 0.14638120281004094, 0.13545335960103727, 0.14768523625957744, 0.13596975036546888]",0.1454024172713425,0.8828705264786972,2.792489029949609,3.162965515552284,0.2774865419778507,ok,23,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",14.121946541010402
12,59,16df6585b11ab9d66bad,1.0,unpaired_binary,512,"[0.033891121029929555, 0.03615762020079827, 0.03436841051274592, 0.04050925715354195, 0.04671168823820315, 0.038662448272640204, 0.03671061372548598, 0.031223713785690915, 0.021574626481951104, 0.03140921744428099, 0.035620938877358566, 0.030793282335216443]","[0.0792762830216744, 0.08072443813235136, 0.11171159997099644, 0.11270255889574449, 0.11469882279340815, 0.1152524324322152, 0.10909340056772529, 0.06989953623958924, 0.04713175768540186, 0.07539963701912517, 0.07446734494494053, 0.05233157001520458]",2.08761654200498,79,"[-0.033968400512183354, -0.028359635546907683, -0.020605873840222555, -0.022875118373964803, -0.024519346781518715, -0.028815197510307432, -0.026459777850239757, -0.025019407675064373, -0.03143301568182358, -0.027967233412233842, -0.03255062036512271, -0.029085315400776014]",0.027897577396616063,conditional_edm_diffusion,diffusion_edm,8107,-0.23372203866086402,0.1296071982059001,0.8706661765590681,0.23379544656044118,14176,"[0.008820208352262382, -0.005183453851779207, 0.013150087273185562, -0.008709544705422845, 0.002626351359929391, -0.009942597241855422, -0.004866972433843264, 0.005682432630185197, -0.009045348361550687, 0.005609445589455753, 0.02426156075757313, 0.001669014450274453]",0.010082446803556033,-3.0760747337424186,0.027471302289773077,5.889522513224287,"[0.1549237770152445, 0.14254810804724363, 0.1523456246861351, 0.13910261812496078, 0.17849398828117916, 0.15387762701882793, 0.15719343152823276, 0.13885887286057547, 0.14194985046105527, 0.1440290552029015, 0.15074725294869343, 0.15571766108140703]",0.15154643881741425,0.9725578146871638,3.0761668297363873,3.162965515552284,0.37190979201113805,ok,59,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",2.4945884580083657
12,19,229fe4001b9eef16428b,1.0,unpaired_binary,512,"[0.06752974776649318, 0.0633178428585009, 0.05940656359234339, 0.06868505042494422, 0.07307531999906133, 0.0607123091122439, 0.07007173730023489, 0.06495408713271816, 0.06027009724931087, 0.06183005604313532, 0.05763777875175122, 0.0684356454732572]","[-0.00024258516656001927, 0.0009245332999032792, -0.0014681596948631845, 0.0004374550095841605, -0.00059683140669758, -0.00047448797648942144, -0.00019013405570729794, -0.0016579381627592625, 0.0005869551541058463, -0.0010902396876711707, -0.0016565151490345632, 0.0010889143271720055]",0.6786750000028405,73,"[-0.012706197843948351, 0.004753830912590337, -0.0061317686446021105, -0.009291596509670055, -0.01449245405205591, -0.02864163389609471, -0.004524353456049207, -0.014575773857967622, 0.005371597610800555, 0.005807625757877216, -0.021915674534618516, -0.05602582333689063]",0.02092257223583931,heteroscedastic_gaussian,gaussian_nll,8101,-0.20386426385701803,0.24079907559905403,0.7593991434363625,0.20391749058058864,13888,"[-0.0013475633709140733, -0.005687006688782137, -0.003810626727048183, 0.003648531364782548, 0.0011975341569396836, -0.0024572197946892693, 0.003123761037343853, 0.0037102749364141263, -0.0044245049752370536, 0.0011412624767151436, -0.0021556762919252015, -0.002666940462662304]",0.003235543560875149,-4.566033368756155,-7.91966972148652e-05,8.501397381532769,"[0.010842093906082016, 0.0109987192079087, 0.0106542248824176, 0.007514927574026199, 0.008348093934302483, 0.010967038110596527, 0.008666676068829983, 0.009233035342932933, 0.010538794410336593, 0.009441078690271061, 0.012524857309618538, 0.015901897845431008]",0.010596509646377096,1.000079217724825,4.566033464761321,4.565671782630404,0.106253125006333,ok,29,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404]",1.461069957993459
12,38,2515729ef5671d82e755,1.0,paired_rep4,512,"[0.024667976858378182, 0.025416310551346855, 0.03569153105427858, 0.03709138425880942, 0.033732012956656454, 0.019069361216087904, 0.02962902127689207, 0.03543968237066586, 0.031157509218387974, 0.02938731153362023, 0.03624957846426641, 0.04362639641880711]","[0.1726853830202098, 0.1138779168519828, 0.17199806161283215, 0.1953508211738018, 0.15223028053917342, 0.1591037593092651, 0.15844745772149404, 0.20845881943785322, 0.1726215799768312, 0.17737734980921016, 0.18057036892548592, 0.20815644196109795]",6.067787584004691,73,"[0.006388903579864685, 0.00041849642855669444, 0.017012217484074534, 0.002301930686263661, 0.004398889918338006, 0.001291333179031351, 0.004359787461441762, 0.008573645356800323, 0.016137196802487284, 0.011495044161861333, -0.009372361753284333, -0.0020090270135073966]",0.00882072884096587,conditional_affine_flow,affine_flow,8101,-0.23676161048416786,0.11828767758774103,0.882029732773999,0.23684684303283443,95616,"[0.008155216092599504, 0.025602028270700128, 0.01588780107366583, 0.030241185102968915, 0.009107676085265526, 0.004031161224016477, 0.00805359784820281, 0.021920607967867767, 0.026015929539216387, -0.006264303456904541, 0.0018766575362030302, 0.003451097789375357]",0.01649494474073411,-4.393098595935467,0.037797983497515564,8.501397381532769,"[0.19051060433018516, 0.16749327451186555, 0.19004708241763163, 0.18557621791783444, 0.19227825635591358, 0.17745842527437625, 0.16651899902699976, 0.18435049576872645, 0.16385881028825922, 0.17246289705783666, 0.18693817858255765, 0.19212026805643356]",0.18496335684328044,0.962217389054017,4.3931687819602265,4.565671782630404,0.15024812499177642,ok,48,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404]",6.24010024999734
12,19,25745e78da22e697b6c0,1.0,unpaired_binary,512,"[0.08439078956571072, 0.08623329185990408, 0.08394196576215968, 0.07703550188173491, 0.09154667239236453, 0.08838092188784868, 0.08486248106152386, 0.07689372558045149, 0.08130958208954894, 0.0822759078648157, 0.0831566389952364, 0.06749730843347068]","[-0.00022146755569294537, -0.000936067291890128, -0.00056886432743696, 0.0009054871725202333, -0.0008870226801070309, -0.0002673097358635635, 0.0029167588135011104, -0.0003210019015349049, -0.0005738885917644793, -0.00044992127469222886, -0.0012734517448236837, -0.00152027626008877]",0.6875476659915876,79,"[-0.00413832706182618, -0.004801128025392752, -0.0036977635391425116, -0.01374675067443007, -0.03568972874287625, -0.009015367544774285, -0.03738522308212991, -0.024811981032197443, -0.03240532219414752, 0.011807724470537972, -0.020058658259819707, -0.0012848401090756675]",0.020826013254265655,heteroscedastic_gaussian,gaussian_nll,8101,-0.1862310512177868,0.3064660595156271,0.6938915938396494,0.1863270900075801,13888,"[0.00012682675251585174, -0.0015048799816307912, -0.005246692986018819, -0.015464025117224, -0.0032528950517919375, 0.0008510600777522082, 0.017536277962952596, 0.0019723672044620333, -0.015330920115699254, 0.0021070219248904287, -0.006067514939473162, -0.006652007308119656]",0.00871876380434252,-3.1632319343337727,-8.423069432134693e-05,5.889522513224287,"[0.006279974303694249, 0.008059395376631528, 0.00743274999062136, 0.008605666589802129, 0.019909754866890325, 0.005869925309987326, 0.007955788192716966, 0.006261820669832605, 0.0069605780171539565, 0.0064451610231342675, 0.007731217539033579, 0.005795588024315325]",0.007196664003887658,1.000084293788719,3.163232133899178,3.162965515552284,0.11261895799543709,ok,29,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",0.8199630419840105
12,15,2acff0096ec6e996b824,1.0,unpaired_binary,512,"[0.07320688157907979, 0.08792169118417448, 0.08357507164370087, 0.08371488544241201, 0.08011404170402076, 0.08257426267420753, 0.08282801775639548, 0.08219962570051356, 0.08300239368646006, 0.08721986390649977, 0.07735999758108528, 0.07563472378866476]","[0.0008690936757197259, -0.0005897183021625176, -0.0002671362393630375, 0.0002510687162862661, 0.00020531572540977323, 0.0006870783903605866, -0.0004230555305102298, -0.0015637726700655809, 9.462380870605205e-05, -0.00023958868478693354, -0.00031425792941273175, 0.0004745655529357351]",0.600843292020727,79,"[-0.017604609472906433, 0.0012280723575700814, -0.0075623430509687214, -0.010832042163739612, -0.01612265057954371, -0.007422805486810277, -0.005842084921002813, -0.019647337388361143, 0.01115961900846173, -0.016463609192759094, -0.007814658768741005, 0.002868768111942259]",0.011853355988093997,heteroscedastic_gaussian,gaussian_nll,8107,-0.18691216211174974,0.3039295677807201,0.6962455066757742,0.18695917394227607,13888,"[0.007398246019391486, -0.004533198741929589, -0.00820613550214988, -0.0035955144077691736, 0.0017570737076541554, 0.0015281213923952763, 0.005438214812915787, 0.0003114031658644212, -0.000885525576201307, -0.008405888775937231, 0.0005490221985469113, 0.0012719397249080777]",0.004690489595255291,-3.1630334975095233,-2.1493107308939694e-05,5.889522513224287,"[0.005791748856478978, 0.006677613450977755, 0.007896903634572922, 0.005690478665360394, 0.00598641933817166, 0.0073659061068728155, 0.008889307616597106, 0.005442330282536852, 0.008146590859258234, 0.006967960080043148, 0.00604088000856385, 0.006268763262848277]",0.006473188356913016,1.000021512727306,3.1630335595668977,3.162965515552284,0.10653766701580025,ok,25,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",0.7277263749856502
12,58,3453b6ada8b200234c38,1.0,paired_rep4,512,"[0.023395273591353016, 0.029421109080648766, 0.03411755031991698, 0.0295960547238579, 0.024593020989517878, 0.0276107539275256, 0.03151667882538056, 0.027079899885975367, 0.030334959840337572, 0.02701553673262644, 0.02083217529389969, 0.03371601789453535]","[-0.01722433151872131, 0.002882804386409782, -0.011819450933699224, -0.008168636254823648, -0.008529190445909718, 0.0003358051017538777, -0.0010888649024546476, -0.006660178673517619, -0.002043926516347591, -0.003087052346937305, -0.002323291034278141, -0.013753745794445792]",1.5084632499783766,79,"[0.02386633931941331, 0.024048315044689156, 0.023698581322567757, 0.02409321275919143, 0.02625704236351352, 0.02536932520153884, 0.025364318684092904, 0.021822582316066944, 0.025593408517835845, 0.02340698087701721, 0.025798281490118057, 0.022955605610682994]",0.02438930508953499,conditional_flow_matching,flow_matching,8107,-0.240255697573553,0.10527551891897541,0.8948392864648638,0.24028652566439293,14048,"[0.00981087530165059, 0.009632893933541276, 0.008517776727930748, 0.01558971021872213, 0.006968879083541157, 0.015969388240736127, 0.009082207765834571, 0.015466968455789765, 0.00582798226560044, 0.014524786651521682, 0.00853016426062414, 0.00968495661082347]",0.011333705792221786,-3.1689221871300304,-0.0018832553021709188,5.889522513224287,"[0.1639148985651848, 0.18072862865893963, 0.16729603890349126, 0.14561433233359028, 0.18309228461975866, 0.15674436871199493, 0.13719762757581774, 0.17239384417703632, 0.17836489788779072, 0.17201026788855658, 0.2049835460811201, 0.1834204986420873]",0.17220205603279645,1.0018849692638936,3.168927608331855,3.162965515552284,0.3239635000063572,ok,59,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",1.9041589999978896
12,11,34556e625e670ad0d299,1.0,unpaired_binary,512,"[0.05807767294230329, 0.03505421296021591, 0.05742808586211162, 0.040177566728003405, 0.027232060825874982, 0.048228280269602464, 0.04259646591411037, 0.026103867128557945, 0.04172825650445369, 0.03381259487653493, 0.024690142241572954, 0.04196995926016717]","[0.3533978687471335, 0.22674488301634382, 0.6463453001623616, 0.27982916772761934, 0.0498263349476665, 0.4380458272194178, 0.4338737071006946, 0.27862526016168954, 0.11611759505138833, 0.43218682049507967, 0.23456697825661457, 0.42537300507806475]",12.979074000002583,73,"[-0.04521374581393256, -0.03695769070051761, -0.006255561731158793, 0.001567186665449069, 0.08194535354915106, 0.01490827532638514, -0.03575467066724258, -0.008145417437054808, 0.004163125794035577, 0.03749146148718616, -0.035542354757726505, 0.02970018401019925]",0.0357095750384195,autoregressive_mdn,autoregressive_mdn,8107,-0.2287665197062252,0.1480618037364058,0.8528631753154757,0.2290148995058728,315264,"[0.007496752971262621, -0.04677379184721997, -0.011981898241978817, 0.12929520275868644, -0.001641560387978247, 0.03570065494822505, -0.0554597113737616, -0.03502563467989339, 0.0355336604176848, -0.06562088666887189, 0.014010658083321248, -0.04598857312342419]",0.05209334537886822,-4.239427386966732,0.07145594584894029,8.501397381532769,"[0.1872615007594348, 0.2161013523766583, 0.2215001534266556, 0.1729949706667947, 0.17722491724650508, 0.20836514200707348, 0.20521222996185134, 0.16572831715326442, 0.1903613186450364, 0.23668438024903096, 0.19354058450455197, 0.19502769294536124]",0.1942841387249566,0.9291716090621273,4.2422925967162435,4.565671782630404,0.2770786250184756,ok,21,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404, 4.565671782630404]",13.2855876670219
12,34,3992443221a88fd81f3d,1.0,paired_rep4,512,"[0.05819846713020832, 0.05710727005729599, 0.06673953059536053, 0.06935990273989101, 0.06741686944930803, 0.04993714095052437, 0.05005179367305829, 0.07053463061220638, 0.05749369912435756, 0.06229684917214379, 0.05548866599605351, 0.05026252415360441]","[0.3010640419056557, 0.27110105049405187, 0.31107056554785345, 0.31002431187974816, 0.26179657138423984, 0.23879852087946682, 0.23176271723591418, 0.30834825403400123, 0.2592488249740654, 0.2258354403706401, 0.19561387718295253, 0.2810362293877495]",7.4144299589970615,79,"[0.01592010842551541, 0.01671824296635733, 0.019777369664907257, 0.01774612649075217, 0.0224728436941337, 0.011469640299396018, 0.010181845039532289, 0.02701023868988882, 0.02060668303485038, 0.007970107140497305, 0.013233180173332736, 0.016497441460055537]",0.017426664906115486,conditional_affine_flow,affine_flow,8107,-0.20895083819451657,0.22185641313334853,0.7786153037636732,0.20907750587216217,95616,"[0.0026466933373487933, 0.006806915779190792, 0.013966763873474397, 0.00450600999835471, 0.0036154990029990675, 0.005920237933378925, 0.004481583721019922, -0.005597805531655009, -0.0009892206647386104, 0.008449497460853106, 0.010564682509738299, 0.017547410731772795]",0.008466362273149371,-2.8966571484459216,0.08419578582090916,5.889522513224287,"[0.16062225631241564, 0.1399593852749507, 0.14985941794670535, 0.11929696450480942, 0.13232266523605712, 0.1426080974142825, 0.13940866864541016, 0.15537120609572186, 0.14430615858802298, 0.14804928048307567, 0.12513006126197487, 0.15451556126741745]",0.14345712800115273,0.9158760026261882,2.896884212828506,3.162965515552284,0.2333793750149198,ok,44,"[0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176, 0.2685247834990176]","[3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833, 3.1629655155522833]",7.674169166013598
