cohort,method,particles,runs,mean_wall_seconds,median_wall_seconds,mean_velocity_sample_evaluations,mean_transition_samples
historical80,direct,4096,120,4.665845907261246,4.553082791506313,7086080.0,177152.0
historical80,direct,16384,120,22.399182246465838,22.03145335399313,28344320.0,708608.0
historical80,progressive,64,120,2.6072806721907305,2.4771652710041963,4464640.0,111616.0
historical80,progressive,128,120,5.123087036167757,5.039216770994244,8929280.0,223232.0
historical80,progressive,512,120,19.943771245890336,18.794607187475776,35717120.0,892928.0
clean54,direct,4096,120,8.55734294649689,8.514199333556462,8503296.0,177152.0
clean54,direct,16384,120,35.13167386496013,34.735593499965034,34013184.0,708608.0
clean54,progressive,64,120,5.713334088196279,5.436356520513073,5357568.0,111616.0
clean54,progressive,128,120,11.239891686850266,10.754088937479537,10715136.0,223232.0
clean54,progressive,512,120,44.81476422044895,44.88052166652051,42860544.0,892928.0
