channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,effect,AIZ,ADE,0.0002288818359375,0.0988086014986038,3,24
endpoint_mean,baseline,effect,SIA,AIM,0.000244140625,0.1928477883338928,21,24
endpoint_mean,baseline,effect,ASG,RIA,0.000244140625,0.1714467406272888,12,24
endpoint_mean,baseline,effect,IL2,IL1,0.000244140625,0.1330876946449279,19,24
endpoint_mean,baseline,effect,RMF,SIA,0.000244140625,0.1238835975527763,15,24
endpoint_mean,baseline,effect,AVD,AVJ,0.000274658203125,0.1650231629610061,12,24
endpoint_mean,baseline,effect,URB,OLL,0.000274658203125,0.1290107667446136,11,24
endpoint_mean,baseline,effect,RIP,BAG,0.0002899169921875,0.1781261414289474,19,24
endpoint_mean,baseline,effect,AVD,SIA,0.0002899169921875,0.1307403296232223,14,24
endpoint_mean,baseline,effect,ADF,RIP,0.0002899169921875,0.112046368420124,15,24
endpoint_mean,baseline,effect,ADL,SIA,0.0003204345703125,0.2062739431858062,7,24
endpoint_mean,baseline,effect,RIP,OLQ,0.0003204345703125,0.1643153578042984,12,24
endpoint_mean,baseline,effect,SIA,IL2,0.000335693359375,0.1431992799043655,14,24
endpoint_mean,baseline,effect,SAA,URA,0.0003509521484375,0.0884103924036026,10,24
endpoint_mean,baseline,effect,RMF,URB,0.0003662109375,0.117895558476448,8,24
endpoint_mean,baseline,effect,RIC,FLP,0.0003814697265625,0.1734013557434082,16,24
endpoint_mean,baseline,effect,RIC,AIZ,0.0003814697265625,0.1524946689605713,18,24
endpoint_mean,baseline,effect,RMH,AIM,0.0004425048828125,0.129461407661438,7,24
endpoint_mean,baseline,effect,AVD,AVH,0.0004425048828125,0.1152456328272819,4,24
endpoint_mean,baseline,effect,IL2,URA,0.0004730224609375,0.0822603479027748,5,24
endpoint_mean,baseline,effect,AVD,AVB,0.000518798828125,0.1849999278783798,12,24
endpoint_mean,baseline,effect,SIA,RIP,0.000518798828125,0.1562232226133346,9,24
endpoint_mean,baseline,effect,AIY,FLP,0.0005645751953125,0.1172301173210144,13,24
endpoint_mean,baseline,effect,SAA,ADF,0.000579833984375,0.1466680169105529,5,24
endpoint_mean,baseline,effect,OLL,OLQ,0.000579833984375,0.1436483711004257,6,24
endpoint_mean,baseline,effect,ASK,SAA,0.0006103515625,0.1989730894565582,4,24
endpoint_mean,baseline,effect,IL2,ADE,0.0007781982421875,0.0976907089352607,10,24
endpoint_mean,baseline,effect,SIA,ASG,0.0008392333984375,0.1600312888622284,3,24
endpoint_mean,baseline,effect,SMB,AUA,0.0008392333984375,0.1035197451710701,12,24
endpoint_mean,baseline,effect,URX,CEP,0.0008544921875,0.1125049442052841,13,24
endpoint_mean,baseline,effect,RMF,AIM,0.000885009765625,0.0993586406111717,4,24
endpoint_mean,baseline,effect,CEP,RIP,0.00091552734375,0.1357413977384567,15,24
endpoint_mean,baseline,effect,AVJ,AVD,0.000946044921875,0.179575577378273,8,24
endpoint_mean,baseline,effect,RIH,CEP,0.000946044921875,0.1520691215991974,13,24
endpoint_mean,baseline,effect,AIY,AIM,0.0009613037109375,0.1384603083133697,14,24
endpoint_mean,baseline,effect,URX,ADE,0.0009613037109375,0.0956793278455734,1,24
endpoint_mean,baseline,effect,IL2,ASE,0.001007080078125,0.1136634051799774,3,24
endpoint_mean,baseline,effect,RID,URB,0.001007080078125,0.0843957960605621,6,24
endpoint_mean,baseline,effect,AIY,SIA,0.0011138916015625,0.1320025771856308,14,24
endpoint_mean,baseline,effect,AVJ,AIZ,0.0011138916015625,0.1162216961383819,3,24
endpoint_mean,baseline,effect,URB,BAG,0.0011138916015625,0.116170585155487,3,24
endpoint_mean,baseline,effect,AVJ,AVH,0.001495361328125,0.1958506852388382,12,24
endpoint_mean,baseline,effect,ALA,RIV,0.001495361328125,0.1507715582847595,4,24
endpoint_mean,baseline,effect,ASJ,RIC,0.001495361328125,0.1178553104400634,14,24
endpoint_mean,baseline,effect,SIA,ASH,0.0016326904296875,0.1271894425153732,3,24
endpoint_mean,baseline,effect,ASJ,AIZ,0.00164794921875,0.1163923889398574,11,24
endpoint_mean,baseline,effect,AUA,ASJ,0.001708984375,0.1638593524694442,4,24
endpoint_mean,baseline,effect,RIA,RID,0.0017242431640625,0.1439090818166732,8,24
endpoint_mean,baseline,effect,RIP,RIA,0.0017242431640625,0.113265722990036,9,24
endpoint_mean,baseline,effect,CEP,BAG,0.001800537109375,0.1404700577259063,20,24
endpoint_mean,baseline,effect,AVK,AVB,0.0018157958984375,0.1193162947893142,2,24
endpoint_mean,baseline,effect,SMB,SIA,0.0018768310546875,0.0819080993533134,9,24
endpoint_mean,baseline,effect,ALA,ADL,0.001983642578125,0.1376900374889373,3,24
endpoint_mean,baseline,effect,ADE,AVK,0.0020294189453125,0.0696260184049606,3,24
endpoint_mean,baseline,effect,SIA,ASE,0.002105712890625,0.1584211438894271,3,24
endpoint_mean,baseline,effect,RMD,SIA,0.00225830078125,0.2100653797388076,6,24
endpoint_mean,baseline,effect,ALA,IL2,0.00225830078125,0.1172209307551384,6,24
endpoint_mean,baseline,effect,RIH,URA,0.0023345947265625,0.0828768759965896,4,24
endpoint_mean,baseline,effect,AVK,RIB,0.00250244140625,0.1374602764844894,4,24
endpoint_mean,baseline,effect,SAA,URB,0.0025787353515625,0.1017359569668769,13,24
endpoint_mean,baseline,effect,AUA,AVD,0.00262451171875,0.1538881212472915,6,24
endpoint_mean,baseline,effect,RIA,IL2,0.00262451171875,0.0675634667277336,2,24
endpoint_mean,baseline,effect,SMB,AVB,0.002655029296875,0.1179037243127822,5,24
endpoint_mean,baseline,effect,SMB,RIC,0.0027313232421875,0.0772279351949691,3,24
endpoint_mean,baseline,effect,AIY,RIH,0.0027923583984375,0.1363731324672699,2,24
endpoint_mean,baseline,effect,AVD,RIB,0.0028533935546875,0.1829143762588501,7,24
endpoint_mean,baseline,effect,IL1,OLL,0.002899169921875,0.1125677749514579,8,24
endpoint_mean,baseline,effect,RIA,AFD,0.002960205078125,0.1716272979974746,4,24
endpoint_mean,baseline,effect,RIP,AIY,0.0030364990234375,0.1129688620567321,9,24
endpoint_mean,baseline,effect,AVD,URA,0.0030364990234375,0.0816468670964241,8,24
endpoint_mean,baseline,effect,SMB,AIM,0.0030670166015625,0.0903262943029403,3,24
endpoint_mean,baseline,effect,RIA,AVE,0.0034637451171875,0.1615159064531326,9,24
endpoint_mean,baseline,effect,ADL,ASI,0.00360107421875,0.1664454787969589,5,24
endpoint_mean,baseline,effect,AVD,IL2,0.0037078857421875,0.1335343122482299,13,24
endpoint_mean,baseline,effect,RMD,SAA,0.0038299560546875,0.2240978330373764,3,24
endpoint_mean,baseline,effect,AVJ,BAG,0.004180908203125,0.1017889603972435,3,24
endpoint_mean,baseline,effect,RIP,ASI,0.0042266845703125,0.1572263538837433,8,24
endpoint_mean,baseline,effect,IL1,RIH,0.0042877197265625,0.1235615760087966,2,24
endpoint_mean,baseline,effect,RIP,URY,0.0044097900390625,0.116068847477436,7,24
endpoint_mean,baseline,effect,RIP,IL2,0.0044403076171875,0.0737321004271507,2,24
endpoint_mean,baseline,effect,RMF,URA,0.0045318603515625,0.0935887470841407,10,24
endpoint_mean,baseline,effect,RID,SIA,0.004638671875,0.0955011621117591,4,24
endpoint_mean,baseline,effect,RMH,SIA,0.00469970703125,0.1093810126185417,9,24
endpoint_mean,baseline,effect,URA,RMD,0.0051116943359375,0.1156070306897163,5,24
endpoint_mean,baseline,effect,SAA,RIB,0.0051727294921875,0.1569752544164657,1,24
endpoint_mean,baseline,effect,AVK,RID,0.0055694580078125,0.1108829751610755,2,24
endpoint_mean,baseline,effect,RMH,AVJ,0.0057525634765625,0.2049929201602935,8,24
endpoint_mean,baseline,effect,RMD,RIC,0.006195068359375,0.2399629354476928,11,24
endpoint_mean,baseline,effect,CEP,AVD,0.0066375732421875,0.1108854115009307,2,24
endpoint_mean,baseline,effect,RIC,ADE,0.0067596435546875,0.1550111472606659,6,24
endpoint_mean,baseline,effect,RIC,AVK,0.0068359375,0.0988207012414932,4,24
endpoint_mean,baseline,effect,ADL,RIC,0.0068511962890625,0.1418044120073318,9,24
endpoint_mean,baseline,effect,AUA,AVB,0.0069427490234375,0.1012660190463066,3,24
endpoint_mean,baseline,effect,ADL,ASG,0.00701904296875,0.156059518456459,9,24
endpoint_mean,baseline,effect,OLL,FLP,0.007171630859375,0.0913871154189109,2,24
endpoint_mean,baseline,effect,RMF,SAA,0.0071868896484375,0.1147292628884315,5,24
endpoint_mean,baseline,effect,ADF,AWB,0.007354736328125,0.1489666104316711,3,24
endpoint_mean,baseline,effect,SAA,OLQ,0.00750732421875,0.1283425241708755,3,24
endpoint_mean,baseline,effect,ADL,SMB,0.0076904296875,0.1998019367456436,5,24
endpoint_mean,baseline,effect,OLL,AIM,0.0076904296875,0.1101910471916198,2,24
endpoint_mean,baseline,effect,ASK,ASH,0.0078887939453125,0.2028820216655731,5,24
endpoint_mean,baseline,effect,RIC,IL2,0.0080108642578125,0.0930753946304321,5,24
endpoint_mean,baseline,effect,CEP,URB,0.008026123046875,0.0813827887177467,4,24
endpoint_mean,baseline,effect,RMH,RIB,0.0081024169921875,0.1652689725160598,5,24
endpoint_mean,baseline,effect,ADL,URB,0.0084686279296875,0.0857135728001594,5,24
endpoint_mean,baseline,effect,RMH,RME,0.0088043212890625,0.1543885916471481,3,24
endpoint_mean,baseline,effect,URB,RIH,0.0089263916015625,0.1173151582479476,5,24
endpoint_mean,baseline,effect,AIY,ADE,0.0092926025390625,0.0910361409187316,4,24
endpoint_mean,baseline,effect,FLP,RIC,0.009368896484375,0.1353309899568557,7,24
endpoint_mean,baseline,effect,RIC,ASJ,0.00946044921875,0.1282444447278976,5,24
endpoint_mean,baseline,effect,SIA,ASJ,0.0095367431640625,0.1274812221527099,3,24
endpoint_mean,baseline,effect,AIY,AIZ,0.0096588134765625,0.1164148598909378,5,24
endpoint_mean,baseline,effect,RIP,ASK,0.009765625,0.1053049862384796,1,24
endpoint_mean,baseline,effect,AVD,RME,0.0098114013671875,0.1108677312731742,2,24
endpoint_mean,baseline,effect,RMH,AUA,0.0098724365234375,0.1030419617891311,6,24
endpoint_mean,baseline,effect,FLP,SAA,0.0107421875,0.067498855292797,1,24
