cohort,channel,context,test,lag,horizon,source,target,estimate,t,joint_maxT_p,abs_effect
clean54,endpoint_mean,baseline,effect,1,1,URA,OLQ,0.2436639815568924,12.83426273789102,0.000244140625,0.2436639815568924
clean54,endpoint_mean,baseline,effect,1,1,URB,RIP,0.2271328121423721,21.03020756508785,1.52587890625e-05,0.2271328121423721
clean54,endpoint_mean,baseline,effect,1,1,FLP,ADE,0.2243756204843521,23.702193849821388,1.52587890625e-05,0.2243756204843521
clean54,endpoint_mean,baseline,effect,1,1,IL1,URB,0.2232798784971237,18.211658099080765,1.52587890625e-05,0.2232798784971237
clean54,endpoint_mean,baseline,effect,1,1,OLL,RIP,0.2222886383533477,20.0575647110086,1.52587890625e-05,0.2222886383533477
clean54,endpoint_mean,baseline,effect,1,1,URA,IL1,0.2215882390737533,15.38260921777902,3.0517578125e-05,0.2215882390737533
