source,target,lag,horizon,recording,effect
URA,OLQ,1,32,OH16230:0929_07,0.38064584136009216
URA,OLQ,1,1,OH16230:1030_03,0.24107356369495392
URA,OLQ,1,2,OH16230:1030_03,0.23872476816177368
URA,OLQ,1,4,OH16230:1030_03,0.23854891955852509
URA,OLQ,1,8,OH16230:1030_03,0.227443665266037
URA,OLQ,1,16,OH16230:1030_03,0.20412811636924744
URA,OLQ,1,32,OH16230:1030_03,0.13040617108345032
URA,OLQ,1,1,OH16230:1104_08,0.2660301625728607
URA,OLQ,1,2,OH16230:1104_08,0.2653113603591919
URA,OLQ,1,4,OH16230:1104_08,0.25812166929244995
URA,OLQ,1,8,OH16230:1104_08,0.24363377690315247
URA,OLQ,1,16,OH16230:1104_08,0.19664591550827026
URA,OLQ,1,32,OH16230:1104_08,0.08106095343828201
URA,OLQ,4,1,OH16230:0924_01,0.36890026926994324
URA,OLQ,4,2,OH16230:0924_01,0.3692539930343628
URA,OLQ,4,4,OH16230:0924_01,0.36615481972694397
URA,OLQ,4,8,OH16230:0924_01,0.3578844666481018
URA,OLQ,4,16,OH16230:0924_01,0.3407297730445862
URA,OLQ,4,32,OH16230:0924_01,0.29650089144706726
URA,OLQ,4,1,OH16230:0924_03,0.31182220578193665
URA,OLQ,4,2,OH16230:0924_03,0.3051464259624481
URA,OLQ,4,4,OH16230:0924_03,0.2942272424697876
URA,OLQ,4,8,OH16230:0924_03,0.2750721871852875
URA,OLQ,4,16,OH16230:0924_03,0.231614351272583
URA,OLQ,4,32,OH16230:0924_03,0.1455758959054947
URA,OLQ,4,1,OH16230:0925_01,0.12676271796226501
URA,OLQ,4,2,OH16230:0925_01,0.12630170583724976
URA,OLQ,4,4,OH16230:0925_01,0.1223897859454155
URA,OLQ,4,8,OH16230:0925_01,0.11908963322639465
URA,OLQ,4,16,OH16230:0925_01,0.12160928547382355
URA,OLQ,4,32,OH16230:0925_01,0.13236269354820251
URA,OLQ,4,1,OH16230:0925_04,0.3007599115371704
URA,OLQ,4,2,OH16230:0925_04,0.30157315731048584
URA,OLQ,4,4,OH16230:0925_04,0.29552361369132996
URA,OLQ,4,8,OH16230:0925_04,0.2822686731815338
URA,OLQ,4,16,OH16230:0925_04,0.23889219760894775
URA,OLQ,4,32,OH16230:0925_04,0.12305717170238495
URA,OLQ,4,1,OH16230:0928_01,0.20342692732810974
URA,OLQ,4,2,OH16230:0928_01,0.20081907510757446
URA,OLQ,4,4,OH16230:0928_01,0.19204846024513245
URA,OLQ,4,8,OH16230:0928_01,0.18448594212532043
URA,OLQ,4,16,OH16230:0928_01,0.1776479333639145
URA,OLQ,4,32,OH16230:0928_01,0.19451823830604553
URA,OLQ,4,1,OH16230:0928_03,0.15290065109729767
URA,OLQ,4,2,OH16230:0928_03,0.15749065577983856
URA,OLQ,4,4,OH16230:0928_03,0.16172602772712708
URA,OLQ,4,8,OH16230:0928_03,0.16272760927677155
URA,OLQ,4,16,OH16230:0928_03,0.15044081211090088
URA,OLQ,4,32,OH16230:0928_03,0.12550760805606842
URA,OLQ,4,1,OH16230:0928_05,0.30610957741737366
URA,OLQ,4,2,OH16230:0928_05,0.3077317476272583
URA,OLQ,4,4,OH16230:0928_05,0.310161292552948
URA,OLQ,4,8,OH16230:0928_05,0.30740681290626526
URA,OLQ,4,16,OH16230:0928_05,0.303261935710907
URA,OLQ,4,32,OH16230:0928_05,0.2822798490524292
URA,OLQ,4,1,OH16230:0928_07,0.26127010583877563
URA,OLQ,4,2,OH16230:0928_07,0.2627450227737427
URA,OLQ,4,4,OH16230:0928_07,0.26649340987205505
URA,OLQ,4,8,OH16230:0928_07,0.27523112297058105
URA,OLQ,4,16,OH16230:0928_07,0.2896193861961365
URA,OLQ,4,32,OH16230:0928_07,0.27833569049835205
URA,OLQ,4,1,OH16230:0928_08,0.19411900639533997
URA,OLQ,4,2,OH16230:0928_08,0.2067413330078125
URA,OLQ,4,4,OH16230:0928_08,0.22943805158138275
