case_id,generator_seed,data_seed,model_seed,model_name,n,oracle_permuted_control_information_nats,model_permuted_control_information_nats,permuted_information_recovery_fraction,oracle_zero_control_difference_nats,model_zero_control_difference_nats,model_permuted_difference_se
5628f7cffe5ce13d4fec,61,601,6001,affine_flow,2048,0.2662993783908838,0.04862937331199646,0.18261166663564837,0.12158990796219793,-0.010183525271713734,0.017059495380527128
7526436ebd7f246ec7c9,61,601,6007,affine_flow,2048,0.2673853336265293,0.002501615323126316,0.009355843453330353,0.13152688313079341,-0.03041510283946991,0.011395863780816938
3144a8fe737bcd0217e5,61,607,6001,affine_flow,2048,0.27897134988362693,0.032176125794649124,0.11533845969513147,0.11793697099043962,-0.015553734265267849,0.010299366101601455
5ee1f6889e9215a776ff,61,607,6007,affine_flow,2048,0.2891566606621915,0.02648153342306614,0.09158195893679691,0.11566177124281275,-0.01267858687788248,0.012812936975251361
803e0a6c5564dcb9fece,67,601,6001,affine_flow,2048,0.3026306727886564,0.0364871621131897,0.12056663581708614,0.13568753830429514,-0.02460460364818573,0.015111389017012648
b1c6635cb83a3d3f0d93,67,601,6007,affine_flow,2048,0.28060102569739914,0.052363716065883636,0.18661270369821384,0.12329277184040241,0.00561170931905508,0.014304898534044562
83fb477a98e1b8d9dce8,67,607,6001,affine_flow,2048,0.2646800531563349,0.03934100642800331,0.14863608329701483,0.12100175377581138,-0.009304097853600979,0.014310642359243187
f9eedaddf2b0b3707d4c,67,607,6007,affine_flow,2048,0.26981566196034296,0.03447432443499565,0.1277699158919197,0.11882040664970234,-0.004721209406852722,0.013870955898865413
6a7c4d17b3856aa4fa5b,61,601,6001,autoregressive_mdn,2048,0.2662993783908838,0.0360732227563858,0.13546116019631194,0.12158990796219793,-0.04392481595277786,0.021348736689543287
0ea6647c8a6ae6391481,61,601,6007,autoregressive_mdn,2048,0.2673853336265293,0.050308726727962494,0.18815065899699368,0.13152688313079341,-0.026593700051307678,0.01946335669041416
8cd50eabba96d0b415e6,61,607,6001,autoregressive_mdn,2048,0.27897134988362693,0.026351388543844223,0.09445912117798735,0.11793697099043962,-0.024755168706178665,0.023715544334144162
33885941297ed5d66f22,61,607,6007,autoregressive_mdn,2048,0.2891566606621915,0.06474217772483826,0.2239000048505664,0.11566177124281275,-0.021553276106715202,0.019818388571379773
24cc072bc59e520a3704,67,601,6001,autoregressive_mdn,2048,0.3026306727886564,0.06432339549064636,0.21254750847931042,0.13568753830429514,-0.050986215472221375,0.021385166054635873
065dc5abc4e61a8f2cce,67,601,6007,autoregressive_mdn,2048,0.28060102569739914,0.0464799702167511,0.1656443346963215,0.12329277184040241,-0.029076261445879936,0.02184016235773523
6a320895942c602ab3d0,67,607,6001,autoregressive_mdn,2048,0.2646800531563349,0.05294078588485718,0.20001804160734157,0.12100175377581138,-0.004342471715062857,0.021744386278672256
95b9dc33f277ec60c6ff,67,607,6007,autoregressive_mdn,2048,0.26981566196034296,0.07154108583927155,0.26514801001354227,0.11882040664970234,-0.043349213898181915,0.021460785403398512
00406e12f67784ace985,61,601,6001,autoregressive_transformer,2048,0.2662993783908838,0.011410292237997055,0.04284761123718666,0.12158990796219793,-0.010775843635201454,0.00786790716701839
325b8601cf7d400a077b,61,601,6007,autoregressive_transformer,2048,0.2673853336265293,-0.0014453548938035965,-0.0054055129883166944,0.13152688313079341,-0.014227164909243584,0.006378533029597054
0bdde251749779ed9f6a,61,607,6001,autoregressive_transformer,2048,0.27897134988362693,0.004686539527028799,0.016799357815717605,0.11793697099043962,-0.018846578896045685,0.008696264620374042
c9831227a5e2b296718f,61,607,6007,autoregressive_transformer,2048,0.2891566606621915,0.008252287283539772,0.028539156817765792,0.11566177124281275,-0.01299374271184206,0.0078626941286932
53a5bcb4db6c8189f7c7,67,601,6001,autoregressive_transformer,2048,0.3026306727886564,0.02242509089410305,0.07410052222222603,0.13568753830429514,-0.02160581573843956,0.009672078750145629
22fe5ec91308267f9dd0,67,601,6007,autoregressive_transformer,2048,0.28060102569739914,0.023416223004460335,0.08345024023437622,0.12329277184040241,0.003355097956955433,0.006688965642304043
b94de1973a480b639490,67,607,6001,autoregressive_transformer,2048,0.2646800531563349,0.006785458419471979,0.025636455556641836,0.12100175377581138,-0.009137735702097416,0.008490488559420174
8d0e2965f26b2f6a35b2,67,607,6007,autoregressive_transformer,2048,0.26981566196034296,0.00817415677011013,0.030295338345894665,0.11882040664970234,-0.016024824231863022,0.006957539848994636
c563bd34192e6ed4aab2,61,601,6001,gaussian_dsm,2048,0.2662993783908838,-0.002326447516679764,-0.008736210841862801,0.12158990796219793,-0.017138127237558365,0.007948206133054756
1cce6ad2b4d6d04bc066,61,601,6007,gaussian_dsm,2048,0.2673853336265293,-0.0040097106248140335,-0.014996000604934452,0.13152688313079341,-0.007158877328038216,0.006785055847097326
