epoch,training_loss,validation_loss
0,1.4806441570583142,1.18655264377594
1,1.1438666770332737,1.1063687801361084
2,1.0777195252870257,1.0615060329437256
3,1.0715988152905513,1.0357887744903564
4,1.0268183256450452,1.0074876546859741
5,1.0217688867920323,0.9796021580696106
6,0.9653683022448891,0.9715695381164551
7,0.9850688200247916,0.9736692905426025
8,0.9824384325429013,0.9524251222610474
9,0.9508858072130304,0.9517956972122192
10,0.948184355309135,0.9497926235198975
11,0.9229629133877001,0.9430110454559326
12,0.942640389266767,0.9415197968482971
13,0.943989728626452,0.9410718679428101
14,0.9317427183452406,0.9310510158538818
15,0.9387512552110773,0.9317322969436646
16,0.9251330494880676,0.9196746349334717
17,0.9391035563067386,0.9262977838516235
18,0.9353346950129459,0.9232702851295471
19,0.9278049123914618,0.9248326420783997
20,0.9314488799948442,0.9312971234321594
21,0.9324152406893278,0.9132295846939087
22,0.9258900567104942,0.9121031165122986
23,0.9155461913660953,0.9090014100074768
24,0.9110128032533746,0.9093060493469238
25,0.9256852865219116,0.9050501585006714
26,0.8954041631598222,0.907137393951416
27,0.9067261344508121,0.9082613587379456
28,0.9317889495899803,0.9044101238250732
29,0.9037082979553624,0.9067649841308594
30,0.9166660653917413,0.9023033976554871
31,0.934047586039493,0.9067594408988953
32,0.8978736588829442,0.9093208909034729
33,0.930492921879417,0.9090553522109985
34,0.9082981002958197,0.9054778218269348
35,0.9093794163904692,0.9042170643806458
36,0.9009727772913481,0.9009535312652588
37,0.9094225827016329,0.9035764932632446
38,0.9148951988471182,0.904974639415741
39,0.9039189219474792,0.9109647870063782
40,0.9278784582489416,0.9148811101913452
41,0.9147298618366844,0.900637149810791
42,0.9147004736097235,0.9080983400344849
43,0.8989652301135816,0.9021534323692322
44,0.916911454577195,0.899623692035675
45,0.897789130085393,0.9009354114532471
46,0.9064174231730009,0.900674045085907
47,0.9112194462826377,0.9061013460159302
48,0.8976809476551256,0.8973739147186279
49,0.9024779890712938,0.9023958444595337
50,0.9048838803642675,0.9058713316917419
51,0.8931309894511574,0.9009197950363159
52,0.9149936437606812,0.9000052809715271
53,0.884812405234889,0.9003284573554993
54,0.9034907660986248,0.8987298607826233
55,0.902724962485464,0.9038039445877075
56,0.9055146700457523,0.8950306177139282
57,0.9125170550848308,0.895973265171051
58,0.8930515521451047,0.8943674564361572
59,0.9030807049650895,0.8985835909843445
60,0.8965621967064706,0.900101363658905
61,0.9010242600190012,0.8888832330703735
62,0.9059770703315735,0.9008973240852356
63,0.9179482397280241,0.8969012498855591
64,0.9041850096301028,0.8983940482139587
65,0.9012819716804906,0.8934194445610046
66,0.8891632556915283,0.8931190371513367
67,0.9047070647540846,0.8941044211387634
68,0.9019464568087929,0.8943970799446106
69,0.8938124117098356,0.9051884412765503
70,0.904313724291952,0.8936611413955688
71,0.8952542417927792,0.9046118855476379
72,0.9067656429190385,0.8978729844093323
73,0.8987691935740019,0.893593430519104
74,0.8894209987238834,0.8938935399055481
75,0.9189813356650504,0.894407331943512
76,0.8967752048843786,0.8945350646972656
77,0.8922044509335568,0.8990392088890076
78,0.896477852997027,0.8961082100868225
79,0.8874671176860207,0.8962156772613525
80,0.8936670861746135,0.8969769477844238
81,0.8879619585840326,0.897306501865387
