model,lag,repeat,source,valid,gap
Learned flow / progressive,1,0,B,True,0.6379590630531311
Learned flow / progressive,1,0,C,True,0.6122899055480957
Learned flow / progressive,1,0,D,True,0.5715271830558777
Learned flow / progressive,1,1,A,True,0.831674337387085
Learned flow / progressive,1,1,B,True,0.6984835267066956
Learned flow / progressive,1,1,C,True,0.6074413061141968
Learned flow / progressive,1,1,D,True,0.6693520545959473
Learned flow / progressive,1,2,A,True,0.800454318523407
Learned flow / progressive,1,2,B,True,0.7525544762611389
Learned flow / progressive,1,2,C,True,0.5779297947883606
Learned flow / progressive,1,2,D,True,0.6307346820831299
Learned flow / progressive,2,0,A,True,0.8509248495101929
Learned flow / progressive,2,0,B,True,0.7688559889793396
Learned flow / progressive,2,0,C,True,0.81539386510849
Learned flow / progressive,2,0,D,True,0.7599167823791504
Learned flow / progressive,2,1,A,True,0.8304309844970703
Learned flow / progressive,2,1,B,True,0.8120515942573547
Learned flow / progressive,2,1,C,True,0.7121376991271973
Learned flow / progressive,2,1,D,True,0.7366273999214172
Learned flow / progressive,2,2,A,True,0.8307739496231079
Learned flow / progressive,2,2,B,True,0.8117005228996277
Learned flow / progressive,2,2,C,True,0.4196036458015442
Learned flow / progressive,2,2,D,True,0.7499098181724548
Learned flow / progressive,3,0,A,True,0.8296890258789062
Learned flow / progressive,3,0,B,True,0.6739557981491089
Learned flow / progressive,3,0,C,True,0.8638246655464172
Learned flow / progressive,3,0,D,True,0.7815113663673401
Learned flow / progressive,3,1,A,True,0.7347437143325806
Learned flow / progressive,3,1,B,True,0.8284951448440552
Learned flow / progressive,3,1,C,True,0.7768118977546692
Learned flow / progressive,3,1,D,True,0.7712693214416504
Learned flow / progressive,3,2,A,True,0.799806535243988
Learned flow / progressive,3,2,B,True,0.9109761118888855
Learned flow / progressive,3,2,C,True,0.3838074505329132
Learned flow / progressive,3,2,D,True,0.7629289031028748
