,lag1,lag2,lag3,lag5,lag8
S→S,0.18984560800959638,0.18369512051810882,0.12051279901511079,0.1441821789451103,0.1490376404440274
S→I,0.1892795856228413,0.15774123345168228,0.12233547027286065,0.13820479156963886,0.1502293189070649
S→M,0.20043574521279156,0.1547355223011664,0.131077799486528,0.1395261841920381,0.14716575803845253
I→S,0.20332142808846815,0.16578476996279037,0.12116238675578773,0.14875686648773356,0.1326740417901876
I→I,0.18776312261107136,0.16398891880180494,0.12186015687510512,0.13389002173645573,0.13984170879584
I→M,0.20418572822759187,0.1762725976468587,0.124209480574161,0.14654152600195894,0.13467502051337044
M→S,0.20637490277012863,0.16397421513650093,0.11409348982288696,0.15890974506989705,0.1377881924379843
M→I,0.18719804404262536,0.1602382048890021,0.12597813075025283,0.15307105076741195,0.14412565199312466
M→M,0.19333878057283846,0.16796434864325185,0.12455548497772509,0.14689524490535766,0.15101667461055512
