,lag1,lag2,lag3,lag5,lag8,lag10,lag15,lag20
S→S,0.22850302506283707,0.2198139228776335,0.19664095025623785,0.19108421963779398,0.20809408501843923,0.23401257635136613,0.24219772394159966,0.28091750237911073
S→I,0.2107763684684403,0.18546860795138487,0.1763749005312791,0.17644838127564114,0.19605940670025485,0.20145385456213333,0.22901762716169077,0.2517381677378851
S→M,0.21899579147993842,0.19143358063904076,0.19570847241421999,0.20387458728462549,0.24720527712069093,0.2685452863268388,0.3037636762891675,0.3026568779975496
I→S,0.2116860821746994,0.1879685244266641,0.17792195595672308,0.18184009765779263,0.22114966060959587,0.22168195040005706,0.2562523636745403,0.27808944849134715
I→I,0.2553653477936234,0.22717145466679417,0.22201287158499422,0.21026411552261348,0.22714519076314282,0.22831448565913934,0.2653407521295092,0.2841997093450523
I→M,0.23278091578169785,0.2259644265820711,0.2311007098551604,0.24457135798752072,0.2663165248836213,0.3035054682903921,0.37415814747750675,0.3915442395633323
M→S,0.21342446431471365,0.19074829293728854,0.18326020657528727,0.16785642234227646,0.1972796683806263,0.20595706676318282,0.24555549048350062,0.25937646533670883
M→I,0.22628396272338072,0.21506798562103405,0.2213485052224697,0.2038463984736154,0.208069705144765,0.2288215242557247,0.2612413967493951,0.2754988117002439
M→M,0.3062038574866349,0.2641916265856681,0.24928343135651962,0.2097310139090765,0.27504871318235513,0.33034405332435374,0.32042622444966706,0.3406972333717302
