,lag1,lag2,lag3,lag5
S→S,0.04820071104471289,0.057761415393560056,0.061853810290623396,0.06529501755147063
S→I,0.05081639372506563,0.05550700923724743,0.057860546380576215,0.06699545411052187
S→M,0.05753952006478987,0.0576091383082292,0.05971328023722702,0.06414017842236333
I→S,0.046343401773906306,0.05656982284642921,0.06184766226371777,0.06111139029883426
I→I,0.0503385780777906,0.05716743762131562,0.06274217362442082,0.06674275347738111
I→M,0.051175022375862085,0.05425311300823131,0.06362508996797722,0.06233272460953076
M→S,0.047617546309993916,0.057193045043696336,0.06055696223955925,0.06264320961602717
M→I,0.04992179082364772,0.053167983390675064,0.061822234859749234,0.0635865968283209
M→M,0.0544247063768828,0.05318714021633403,0.061496443958143306,0.06297311219149149
