,lag1,lag2,lag3,lag5
S→S,0.046134896950544096,0.049079422410674235,0.06087304695521213,0.057356761472015745
S→I,0.04661774618872198,0.0526345930603649,0.058916526089407714,0.06108165938335735
S→M,0.050138474688113326,0.05192419928073155,0.05473508774766734,0.05438003736299289
I→S,0.04604779851767851,0.051121284883477294,0.06002777661715065,0.058237948942305204
I→I,0.04695526543338134,0.05202915569128462,0.059930154567632295,0.060007366638515997
I→M,0.04869923167381612,0.04577901920709357,0.05852809743610404,0.06505332904906844
M→S,0.04775714256644486,0.05156044330473253,0.058157373624883775,0.06006818036457728
M→I,0.04845806102379639,0.051261299709749915,0.05976754512290484,0.06445414279042612
M→M,0.0502301532994726,0.05025105442711188,0.06303070042103831,0.06366429626232703
