bayes_auc,case_id,generator_seed,history_tangent_abs_mean,history_tangent_rms,jensen_shannon_nats,n_per_side,relative_response_score_gap,response_score_gap_rms,response_score_rms,sigma,status,witness_rms
0.75638676,g73_s0p000,73,0.5993464984022722,0.5994888325057425,0.14383339022462893,5000,0.018956013350899484,1.2912859464435025,68.12012222929931,0.0,ok,0.5365920298622783
0.7571229199999998,g73_s0p020,73,0.5989728909523039,0.5992098506373192,0.14371586392031535,5000,0.0237775366442047,1.5749195024050553,66.23560404811364,0.02,ok,0.5363423180428831
0.7563717400000001,g73_s0p050,73,0.5966698809626925,0.5975112761923891,0.14311587142498214,5000,0.038455305074485975,2.2377416815345463,58.190714576315386,0.05,ok,0.5348219535926099
0.75804436,g73_s0p080,73,0.5909626606789894,0.59301126908857,0.14057717838549846,5000,0.05465082819457679,2.6687515934381465,48.83277493867836,0.08,ok,0.5307940754816197
0.75785496,g73_s0p120,73,0.5670273907741221,0.5746337213655061,0.13331690063012552,5000,0.08930669456435147,3.4363296312130296,38.477850378136246,0.12,ok,0.5143446520696909
0.73300252,g73_s0p200,73,0.46053665538153726,0.48840927206133794,0.09229339819236188,5000,0.1398612859635643,3.6093533137185,25.806664716773614,0.2,ok,0.4371666467972785
0.6244803999999999,g73_s0p350,73,0.2020975939824931,0.2510781749139701,0.02415173480348653,5000,0.11552858511063098,1.7697640246979702,15.318840986438394,0.35,ok,0.22473570853367428
0.52977908,g73_s0p600,73,0.04493848943165011,0.07095806573196645,0.0018341558704309125,5000,0.03922727730728693,0.3587091382519814,9.14438020875201,0.6,ok,0.06351333079395116
0.5054632,g73_s1p000,73,0.007294701791968251,0.013916921426988011,8.48366901746168e-05,5000,0.008492453035745263,0.047226557249422096,5.561003051844099,1.0,ok,0.012456794377182688
0.7705897199999999,g79_s0p000,79,0.5884811577982111,0.5912263399714052,0.15135875611781066,5000,0.05685479745187457,3.8655402568221398,67.989693571491,0.0,ok,0.5291964164657943
0.7711839,g79_s0p020,79,0.5868831771364381,0.5899186342062541,0.15048044069527844,5000,0.059462501960818655,3.9288755319475164,66.07316211713311,0.02,ok,0.5280259117742354
0.7698292200000001,g79_s0p050,79,0.5759424557541044,0.5818479578303223,0.14737657470201024,5000,0.07267081738633079,4.2237626263533095,58.12185383713311,0.05,ok,0.5208019896857761
0.76627564,g79_s0p080,79,0.55183519961414,0.5633742871290994,0.13522623209447865,5000,0.0920785116589317,4.486762323969615,48.72757218957932,0.08,ok,0.504266528267516
0.7562473999999999,g79_s0p120,79,0.5048084476060121,0.5263554688344187,0.11630778308505386,5000,0.10885497896597242,4.18570993601814,38.45216797411329,0.12,ok,0.47113162770762057
0.71932856,g79_s0p200,79,0.3859102425013991,0.42527813713212553,0.07653072736166322,5000,0.1313367247526776,3.3925517176226694,25.830945030883335,0.2,ok,0.38065906566756513
0.6071005199999999,g79_s0p350,79,0.16959919558699252,0.21385116473868898,0.01763381709861058,5000,0.0986134385589682,1.5074200433584375,15.286152327575925,0.35,ok,0.19141445904156404
0.5265466400000001,g79_s0p600,79,0.03851047033141552,0.06076179355132675,0.001223087617924973,5000,0.03303502323949289,0.3022837602164024,9.150402529610652,0.6,ok,0.05438682486127338
0.5106824,g79_s1p000,79,0.006280308656422639,0.011661565890041237,0.0002557159685524624,5000,0.007169662460838974,0.04000191873303096,5.579330819480454,1.0,ok,0.010438064852942838
0.7699982000000001,g83_s0p000,83,0.5993325206727144,0.5994720197729595,0.15661085215012643,5000,0.02037901100400188,1.3888520661088115,68.15110241787882,0.0,ok,0.5365769810775095
0.76954352,g83_s0p020,83,0.5991110566256348,0.5992862216527383,0.15653163496740882,5000,0.021639989023486232,1.4327756930592968,66.20963122967771,0.02,ok,0.5364106764108197
0.77049316,g83_s0p050,83,0.5968870362648059,0.5976825452443769,0.15570869352779654,5000,0.03738951482393687,2.1724044644426175,58.10196988840942,0.05,ok,0.5349752535429603
0.76756522,g83_s0p080,83,0.591290587277817,0.5932214860581707,0.15294626180320817,5000,0.051927896321271864,2.5352005202183334,48.821552572308,0.08,ok,0.5309822370357857
0.76728996,g83_s0p120,83,0.5690138250223028,0.5761636252696697,0.14210148861083893,5000,0.08540802946319623,3.2868035545077383,38.483542767183,0.12,ok,0.5157140424518236
0.7430062399999999,g83_s0p200,83,0.46184130650927074,0.4898559443344491,0.1005880463299988,5000,0.14186108701320252,3.6514819107094754,25.73984161258855,0.2,ok,0.4384615379937159
0.6296864,g83_s0p350,83,0.20378349730754278,0.254089909825907,0.02592792192253213,5000,0.1167721602275465,1.7849851462445074,15.286050568613446,0.35,ok,0.22743146008428863
0.53271368,g83_s0p600,83,0.046068263951168635,0.07267834883074258,0.0020937687399901696,5000,0.04021032183855374,0.367276454594171,9.133884977812476,0.6,ok,0.0650531262828041
0.50740904,g83_s1p000,83,0.007709043144101149,0.015167446664750813,3.722065354728841e-05,5000,0.00876433286892052,0.048902827981615646,5.579754752929515,1.0,ok,0.013576117772950409
0.7734524599999999,g89_s0p000,89,0.5821221996774322,0.5864670728777406,0.1506741718368138,5000,0.05888388843792747,4.015019664122136,68.18536904801344,0.0,ok,0.5249364792459934
0.7733890400000001,g89_s0p020,89,0.5798518280340295,0.584694693404575,0.1494843147367716,5000,0.06153417918409418,4.0762116242511945,66.24304863247195,0.02,ok,0.5233500531982935
