sigma,cases,jensen_shannon_nats_median,bayes_auc_median,witness_rms_median,response_score_gap_rms_median,relative_response_score_gap_median,history_tangent_rms_median
0.0,4,0.15101646397731222,0.77029396,0.5328866987716518,2.6271961614654757,0.038616904227938224,0.5953491798721824
0.02,4,0.14998237771602502,0.77036371,0.5321841149085593,2.751897517176286,0.04162001930251168,0.5945642424217867
0.05,4,0.1466488597611024,0.77016119,0.5278119716391929,3.165195269769775,0.054373055610274196,0.5896796170113556
0.08,4,0.13991726761489093,0.7669204300000001,0.5175303018745678,3.3770677311029145,0.06921010035130593,0.5781927781088347
0.12,4,0.12618965208521546,0.75934758,0.49436295372850747,3.6339919161067233,0.09442541680167377,0.5523098620023461
0.2,4,0.08868778408417896,0.73193622,0.41463982275610234,3.5009525156705847,0.13559900535812097,0.4632419592930639
0.35,4,0.023077380090357542,0.6213542999999999,0.21058016397175872,1.6715517741162211,0.10914252659470608,0.23526338376792233
0.6,4,0.0019498822062155008,0.5294549399999999,0.05997322250875851,0.33598449717348144,0.036748423576713915,0.0670030025466658
1.0,4,0.000119444686255655,0.50904572,0.011974224409898229,0.04466621626253443,0.008020055212940394,0.013377786870024996
