generator_id,model_name,status,cases
g1_gaussian_sanity,affine_flow,ok,8
g1_gaussian_sanity,autoregressive_mdn,ok,8
g1_gaussian_sanity,bounded_energy,ok,8
g1_gaussian_sanity,diffusion_edm,ok,8
g1_gaussian_sanity,diffusion_gaussian_anchored,ok,8
g1_gaussian_sanity,diffusion_legacy,ok,8
g1_gaussian_sanity,flow_matching,ok,8
g1_gaussian_sanity,flow_matching_gaussian_source,ok,8
g1_gaussian_sanity,gaussian_dsm,ok,8
g1_gaussian_sanity,gaussian_nll,ok,8
g1_gaussian_sanity,mean,ok,8
g1_gaussian_sanity,ratio_critic,ok,8
g2_covariance,affine_flow,ok,8
g2_covariance,autoregressive_mdn,ok,8
g2_covariance,bounded_energy,ok,8
g2_covariance,diffusion_edm,ok,8
g2_covariance,diffusion_gaussian_anchored,ok,8
g2_covariance,diffusion_legacy,ok,8
g2_covariance,flow_matching,ok,8
g2_covariance,flow_matching_gaussian_source,ok,8
g2_covariance,gaussian_dsm,ok,8
g2_covariance,gaussian_nll,ok,8
g2_covariance,mean,ok,8
g2_covariance,ratio_critic,ok,8
g3_matched_skew,affine_flow,ok,8
g3_matched_skew,autoregressive_mdn,ok,8
g3_matched_skew,bounded_energy,ok,8
g3_matched_skew,diffusion_edm,ok,8
g3_matched_skew,diffusion_gaussian_anchored,ok,8
g3_matched_skew,diffusion_legacy,ok,8
g3_matched_skew,flow_matching,ok,8
g3_matched_skew,flow_matching_gaussian_source,ok,8
g3_matched_skew,gaussian_dsm,ok,8
g3_matched_skew,gaussian_nll,ok,8
g3_matched_skew,mean,ok,8
g3_matched_skew,ratio_critic,ok,8
g4_separated_modes,affine_flow,ok,8
g4_separated_modes,autoregressive_mdn,ok,8
g4_separated_modes,bounded_energy,ok,8
g4_separated_modes,diffusion_edm,ok,8
g4_separated_modes,diffusion_gaussian_anchored,ok,8
g4_separated_modes,diffusion_legacy,ok,8
g4_separated_modes,flow_matching,ok,8
g4_separated_modes,flow_matching_gaussian_source,ok,8
g4_separated_modes,gaussian_dsm,ok,8
g4_separated_modes,gaussian_nll,ok,8
g4_separated_modes,mean,ok,8
g4_separated_modes,ratio_critic,ok,8
g5_near_manifold,affine_flow,ok,8
g5_near_manifold,autoregressive_mdn,ok,8
g5_near_manifold,autoregressive_transformer,ok,8
g5_near_manifold,bounded_energy,ok,8
g5_near_manifold,diffusion_edm,ok,8
g5_near_manifold,diffusion_gaussian_anchored,ok,8
g5_near_manifold,diffusion_legacy,ok,8
g5_near_manifold,flow_matching,ok,8
g5_near_manifold,flow_matching_gaussian_source,ok,8
g5_near_manifold,gaussian_dsm,ok,8
g5_near_manifold,gaussian_nll,ok,8
g5_near_manifold,mean,ok,8
g5_near_manifold,ratio_critic,ok,8
g6_rough_history,affine_flow,ok,8
g6_rough_history,autoregressive_mdn,ok,8
g6_rough_history,bounded_energy,ok,8
g6_rough_history,diffusion_edm,ok,8
g6_rough_history,diffusion_gaussian_anchored,ok,8
g6_rough_history,diffusion_legacy,ok,8
g6_rough_history,flow_matching,ok,8
g6_rough_history,flow_matching_gaussian_source,ok,8
g6_rough_history,gaussian_dsm,ok,8
g6_rough_history,gaussian_nll,ok,8
g6_rough_history,mean,ok,8
g6_rough_history,ratio_critic,ok,8
g7_concentrated_history,affine_flow,ok,8
g7_concentrated_history,autoregressive_mdn,ok,8
g7_concentrated_history,bounded_energy,ok,8
g7_concentrated_history,diffusion_edm,ok,8
g7_concentrated_history,diffusion_gaussian_anchored,ok,8
g7_concentrated_history,diffusion_legacy,ok,8
g7_concentrated_history,flow_matching,ok,8
g7_concentrated_history,flow_matching_gaussian_source,ok,8
g7_concentrated_history,gaussian_dsm,ok,8
g7_concentrated_history,gaussian_nll,ok,8
g7_concentrated_history,mean,ok,8
g7_concentrated_history,ratio_critic,ok,8
g8_functional_shape,affine_flow,ok,8
g8_functional_shape,autoregressive_mdn,ok,8
g8_functional_shape,autoregressive_transformer,ok,8
g8_functional_shape,bounded_energy,ok,8
g8_functional_shape,diffusion_edm,ok,8
g8_functional_shape,diffusion_gaussian_anchored,ok,8
g8_functional_shape,diffusion_legacy,ok,8
g8_functional_shape,flow_matching,ok,8
g8_functional_shape,flow_matching_gaussian_source,ok,8
g8_functional_shape,gaussian_dsm,ok,8
g8_functional_shape,gaussian_nll,ok,8
g8_functional_shape,mean,ok,8
g8_functional_shape,ratio_critic,ok,8
