generator_seed,control,delta,rotation_fourth_sum,quartic_contrast_constant,p_plus,p_minus,analytic_central_quartic_contrast
61,-1.0,0.05,1.845370075589595,8.61851969764162,0.24232037365436554,0.2209739089012146,3.6794985390008788
61,-1.0,0.12,1.845370075589595,8.61851969764162,0.2580746114253998,0.20685303211212158,3.678784918798339
61,-1.0,0.25,1.845370075589595,8.61851969764162,0.28905048966407776,0.18242552876472473,3.6757973030853663
61,0.0,0.05,1.845370075589595,8.61851969764162,0.5149955153465271,0.4850044548511505,5.169570912651291
61,0.0,0.12,1.845370075589595,8.61851969764162,0.5359379053115845,0.4640620946884155,5.162192413664504
61,0.0,0.25,1.845370075589595,8.61851969764162,0.5744425058364868,0.4255574941635132,5.132673623148503
61,1.0,0.05,1.845370075589595,8.61851969764162,0.7790261507034302,0.7576796412467957,3.6795062445579543
61,1.0,0.12,1.845370075589595,8.61851969764162,0.7931469678878784,0.7419254183769226,3.678782778365818
61,1.0,0.25,1.845370075589595,8.61851969764162,0.8175744414329529,0.7109494805335999,3.6757973030853663
67,-1.0,0.05,2.1042607953615278,7.582956818553889,0.24232037365436554,0.2209739089012146,3.2373864090385234
67,-1.0,0.12,2.1042607953615278,7.582956818553889,0.2580746114253998,0.20685303211212158,3.2367585342560146
67,-1.0,0.25,2.1042607953615278,7.582956818553889,0.28905048966407776,0.18242552876472473,3.234129897119163
67,0.0,0.05,2.1042607953615278,7.582956818553889,0.5149955153465271,0.4850044548511505,4.548418333581561
67,0.0,0.12,2.1042607953615278,7.582956818553889,0.5359379053115845,0.4640620946884155,4.541926402117058
67,0.0,0.25,2.1042607953615278,7.582956818553889,0.5744425058364868,0.4255574941635132,4.515954457784203
67,1.0,0.05,2.1042607953615278,7.582956818553889,0.7790261507034302,0.7576796412467957,3.2373931887302363
67,1.0,0.12,2.1042607953615278,7.582956818553889,0.7931469678878784,0.7419254183769226,3.2367566510083168
67,1.0,0.25,2.1042607953615278,7.582956818553889,0.8175744414329529,0.7109494805335999,3.234129897119163
