seed,method,worm,horizon,energy,variogram,rmse,mae,coverage90,sharpness90
1701,flow,0,1,1.34334228746593,0.03020376613130788,0.21495512430556116,0.14757352985907343,0.8953125,0.634179200977087
1701,flow,0,2,1.7325135059654713,0.04456958855735133,0.2766210862901062,0.1979955974966287,0.8806640625,0.8109651198610663
1701,flow,0,4,2.3377104960381985,0.06587780435802411,0.3707120690960437,0.26749380910769105,0.8552734375,1.020329974591732
1701,flow,0,8,3.2157841250300407,0.09728802426252509,0.5054829069413245,0.3699541362002492,0.8310546875,1.2965405229479074
1701,flow,0,16,4.144050739705563,0.13723371468950057,0.6555518647655845,0.49671242432668805,0.8267578125,1.6940043810755014
1701,flow,0,32,5.652793884277344,0.1954144251067191,0.8940941849723458,0.6840354287996888,0.822265625,2.32713857665658
1701,flow,1,1,1.266432337462902,0.028508707764558446,0.20300872507505113,0.13798757723998273,0.9169921875,0.647303425706923
1701,flow,1,2,1.5710039883852005,0.04051252271165135,0.250413820380345,0.1767629772657528,0.9138671875,0.8204847611486912
1701,flow,1,4,2.105663711205125,0.05923090706346552,0.3356884433887899,0.24033681699074802,0.89296875,1.0333008151501417
1701,flow,1,8,3.0193927846848965,0.0962721222895197,0.47865632688626647,0.34905994241125876,0.86328125,1.3234058618545532
1701,flow,1,16,4.023928191512823,0.13491762091871345,0.6383924800902605,0.48327064141631126,0.8333984375000001,1.7056448869407177
1701,flow,1,32,5.155695550143719,0.16826572490390387,0.821138703264296,0.6525910869240761,0.823046875,2.275648618116975
1701,flow,2,1,1.5286353956907988,0.0373701764910947,0.24296933203004298,0.15936622931621966,0.8851562500000001,0.6711696125566959
1701,flow,2,2,1.8613824006170034,0.04922875924967225,0.29580724029801786,0.20331045356579122,0.8865234375,0.8634772123768926
1701,flow,2,4,2.324168775230646,0.06671402923529964,0.3705821663606912,0.2676613898947835,0.878125,1.0976350735872984
1701,flow,2,8,3.066274516284466,0.09376668429467823,0.48872643522918224,0.3672214762773365,0.866796875,1.3980092089623213
1701,flow,2,16,4.129477869719267,0.12788509693928057,0.6575625264085829,0.5165351494215429,0.82734375,1.810087725520134
1701,flow,2,32,5.442270264029503,0.16206086566671726,0.8689093114808202,0.6847544852644205,0.823046875,2.4262646064162254
1701,flow,3,1,1.514748563989997,0.036193219624692526,0.24042309308424586,0.16498068114742634,0.87734375,0.6661844328045845
1701,flow,3,2,1.90231541544199,0.049465534859336864,0.30257539940066636,0.21585248992778358,0.8742187499999999,0.856213791295886
1701,flow,3,4,2.494998736307025,0.0691006366978399,0.39603870175778866,0.2897798023186624,0.86171875,1.084300560876727
1701,flow,3,8,3.5238708071410656,0.10799885255983095,0.5543398256413639,0.4142711462918669,0.823828125,1.3835978507995605
1701,flow,3,16,5.176698159426451,0.1666276076575741,0.8018184234388173,0.5932737314142287,0.7802734375,1.7841614056378603
1701,flow,3,32,6.59062746912241,0.21081100171431896,1.0294304816052318,0.7919994555413723,0.771875,2.3935019075870514
1701,flow,4,1,1.6302784588187933,0.038960640493314665,0.2560571948997676,0.17298871930688617,0.8654296875,0.6703957933932543
1701,flow,4,2,2.0270999055355787,0.053168131737038445,0.3188263992778957,0.22768355812877414,0.85625,0.8529641227796674
1701,flow,4,4,2.675792219117284,0.07838664512382816,0.4181974823586643,0.30426499946042895,0.8349609375,1.067218791693449
1701,flow,4,8,3.78606178984046,0.11911110836081201,0.5859550214372575,0.437856150791049,0.791796875,1.3502631317824125
1701,flow,4,16,4.952390506863594,0.16076008917298165,0.7663997635245323,0.5943775698542595,0.7451171875,1.6828158907592297
