reference,flow_auroc,sbtg_auroc,flow_auprc,sbtg_auprc,n_edges
randi_wild_type,0.6799527251093165,0.6302367212782362,0.3300529408685393,0.30025857600226885,1646
cook_struct,0.6328923669560433,0.5806514091904424,0.3251951727537779,0.28876393256914845,6320
cook_chem,0.6222250068561063,0.5697796342003671,0.2845077929379135,0.25193280106824384,6320
cook_gap,0.6689427469479596,0.6132974395005606,0.1245924353094555,0.10689812399758286,6320
