sampling_seed,spec_id,worker_sha256,checkpoint_sha256,cohort,fold,generator_seed,worm,phase,event,cut,lag,method,particles,mc_seed,contrast_fraction,steps_factor,sources,panel,file,wall_seconds,transition_samples,calls,velocity_network_sample_evaluations
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,16,progressive,512,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N512_mc91103_a1.0_steps1.npz,26.176493957987987,1179648,1152,47185920
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,16,progressive,64,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91101_a1.0_steps1.npz,3.4247328749625012,147456,144,5898240
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,16,progressive,64,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91102_a1.0_steps1.npz,3.4206017500255257,147456,144,5898240
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,16,progressive,64,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91103_a1.0_steps1.npz,3.423844499979168,147456,144,5898240
195830,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,16384,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N16384_mc91101_a1.0_steps1.npz,20.343751958978828,606208,37,24248320
195831,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,16384,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N16384_mc91102_a1.0_steps1.npz,19.86622145801084,606208,37,24248320
195832,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,16384,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N16384_mc91103_a1.0_steps1.npz,20.1739988749614,606208,37,24248320
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,4096,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N4096_mc91101_a1.0_steps1.npz,4.257040125026833,151552,37,6062080
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,4096,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N4096_mc91102_a1.0_steps1.npz,4.224789625033736,151552,37,6062080
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,direct,4096,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_direct_N4096_mc91103_a1.0_steps1.npz,4.209864542004652,151552,37,6062080
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,128,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91101_a1.0_steps1.npz,3.9562900830060244,172032,168,6881280
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,128,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91102_a1.0_steps1.npz,3.9493906249990687,172032,168,6881280
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,128,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91103_a1.0_steps1.npz,3.968965875043068,172032,168,6881280
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,512,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91101_a1.0_steps1.npz,15.5793516660342,688128,672,27525120
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,512,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91102_a1.0_steps1.npz,15.382460707973223,688128,672,27525120
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,512,91103,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91103_a1.0_steps1.npz,15.39309312502155,688128,672,27525120
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,64,91101,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N64_mc91101_a1.0_steps1.npz,2.1237291250145063,86016,84,3440640
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,2a9eaf06aa78a1a274abfb64458cc3705f424292e32a2fc2b5a68653b31920d2,historical80,0,1701,4,baseline,0,182,1,progressive,64,91102,1.0,1,"[0, 11, 22, 33, 45, 56, 67, 79]",convergence,runs/historical80/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N64_mc91102_a1.0_steps1.npz,2.03887637500884,86016,84,3440640
