cohort,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,all_common,cook_struct,flow_seed_1701,6320,1267,0.2004746835443038,0.61421926786794,0.30956127871817685,0.604214259887905,80
historical80,all_common,cook_chem,flow_seed_1701,6320,1145,0.18117088607594936,0.6071316161424383,0.27087936131408297,0.5895647781850755,80
historical80,all_common,cook_gap,flow_seed_1701,6320,321,0.05079113924050633,0.6534204298847315,0.11609366870191531,0.6796776224426605,66
historical80,all_common,randi_wild_type,flow_seed_2903,1646,273,0.16585662211421628,0.6634438637351966,0.3171055805392485,0.639792905186538,44
historical80,all_common,cook_struct,flow_seed_2903,6320,1267,0.2004746835443038,0.6147140234586782,0.3209460022193551,0.6100746506151891,80
historical80,all_common,cook_chem,flow_seed_2903,6320,1145,0.18117088607594936,0.6046716030630972,0.2814410454808433,0.5916382667283445,80
historical80,all_common,cook_gap,flow_seed_2903,6320,321,0.05079113924050633,0.6466394450996246,0.12273750006443063,0.6916458265563381,66
historical80,all_common,randi_wild_type,flow_seed_4307,1646,273,0.16585662211421628,0.6598502250359496,0.32535667826514664,0.6346681084358775,44
historical80,all_common,cook_struct,flow_seed_4307,6320,1267,0.2004746835443038,0.6152074513706408,0.3091233712084256,0.6051031338384791,80
historical80,all_common,cook_chem,flow_seed_4307,6320,1145,0.18117088607594936,0.6079335063181655,0.2731305126465926,0.5923545700572423,80
historical80,all_common,cook_gap,flow_seed_4307,6320,321,0.05079113924050633,0.6496056715579285,0.11580578190248493,0.674816222805593,66
