case_id,data_seed,energy_score_fair_exact,generator_id,generator_seed,model_seed,rejection_acceptance_rate,rejection_accepted_samples,rejection_attempts_per_slot_per_round,rejection_effective_proposals,rejection_generated_proposals,rejection_max_generated_proposals_in_one_batch,rejection_max_proposals_for_one_sample,rejection_proposal_batch_size_cap,rejection_rounds,rejection_seed,rejection_theoretical_acceptance_lower_bound,samples_per_second_exact,status,wall_seconds,g8_minus_acceptance,g8_plus_acceptance,g8_quartic_nrmse,g8_quartic_slope
b3be78e922bd36eb67c3,601,0.7202670348035486,g8_functional_shape,67,6007,0.13518449250808598,6144,6,45449,63126,4092,68,4096,12,46610,0.1353352832366127,164380.4478366376,ok,0.10763458299334161,0.1359442416196482,0.13538705625702385,1.0005405565303107,-0.0005391189882894935
b43c3e89cce1b10ed19d,601,1.5549920838225926,g1_gaussian_sanity,67,6001,0.3968735869775854,6144,6,15481,38724,4092,18,4096,3,46604,0.1353352832366127,408466.5059449539,ok,0.023591959004988894,,,,
b6772ccb539c5378d4a1,607,0.7071346416888714,g8_functional_shape,61,6001,0.1370144061371036,6144,6,44842,62544,4092,75,4096,13,46610,0.1353352832366127,166076.49681398648,ok,0.11051050000241958,0.1391068093054848,0.13877219135384197,0.9991404588095342,0.0008645850829484281
b72b67e6c21892ba3485,601,2.3896028184204297,g6_rough_history,61,6007,0.3715080420848954,6144,6,16538,39390,4092,18,4096,3,46610,0.1353352832366127,351984.94546142116,ok,0.02653695800108835,,,,
bd88a92f811f283d0b1d,601,2.405895978086932,g6_rough_history,67,6001,0.36228551211745974,6144,6,16959,39636,4092,22,4096,4,46604,0.1353352832366127,354081.0575879819,ok,0.02658599999267608,,,,
c41381886e7aad9b4e9b,607,2.413161634411694,g4_separated_modes,61,6007,0.21148285832300703,6144,6,29052,48774,4092,40,4096,7,46616,0.1353352832366127,315696.17334953404,ok,0.02733554199221544,,,,
c45fe979c6555275be75,601,1.5294519201265064,g1_gaussian_sanity,61,6007,0.35900432394530796,6144,6,17114,39684,4092,22,4096,4,46610,0.1353352832366127,388235.2096793188,ok,0.023684542014962062,,,,
ca34e762758d7a125a4b,601,2.3398651385878475,g4_separated_modes,67,6007,0.2444400238710961,6144,6,25135,45474,4092,31,4096,6,46610,0.1353352832366127,342876.27647557214,ok,0.02487449999898672,,,,
cad03869194bcb6c29d6,607,2.3655413742242266,g6_rough_history,67,6007,0.36733229702259956,6144,6,16726,39510,4092,20,4096,4,46616,0.1353352832366127,356583.89098903316,ok,0.02576200000476092,,,,
cc28b4c033712d95f809,607,2.2744515138432857,g4_separated_modes,67,6001,0.22386591364547276,6144,6,27445,47400,4092,41,4096,7,46610,0.1353352832366127,327269.089841182,ok,0.025955457997042686,,,,
