cohort,channel,context,test,lag,horizon,source,target,estimate,t,joint_maxT_p,abs_effect
historical80,endpoint_mean,baseline,effect,1,1,DVA,DVB,0.7317915558815002,16.44644267209087,7.62939453125e-06,0.7317915558815002
historical80,endpoint_mean,baseline,effect,1,1,DVB,DVA,0.488647848367691,27.66086923297987,1.9073486328125e-06,0.488647848367691
historical80,endpoint_mean,baseline,effect,1,1,DVB,DVC,0.4112710058689117,24.23647219909712,1.9073486328125e-06,0.4112710058689117
historical80,endpoint_mean,baseline,effect,1,1,DVC,DVB,0.3992135226726532,22.45193776215653,1.9073486328125e-06,0.3992135226726532
historical80,endpoint_mean,baseline,effect,1,1,LUA,PVC,0.3979797959327698,29.77284911459938,1.9073486328125e-06,0.3979797959327698
historical80,endpoint_mean,baseline,effect,1,1,PHB,PLN,0.3526473343372345,41.741069616203696,1.9073486328125e-06,0.3526473343372345
