channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_log_sd,baseline,effect,PVP,RIP,1.0,0.0118841445073485,0,24
endpoint_log_sd,onset_minus_baseline,effect,AVK,RIR,1.0,0.0118835801258683,0,24
endpoint_mean,onset_minus_baseline,effect,IL2,URB,1.0,0.0118801742792129,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,RMG,SMD,1.0,0.0118730897083878,0,18
endpoint_log_sd,baseline,effect,PVC,PVN,1.0,0.0118632148951292,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,AIM,OLQ,1.0,0.0118625052273273,0,18
endpoint_mean,baseline,lag_minus_1,URA,ADL,1.0,0.0118592474609613,0,18
endpoint_mean,baseline,lag_minus_1,PVP,AUA,1.0,0.0118521582335233,0,18
endpoint_mean,baseline,lag_minus_1,PVW,CEP,1.0,0.0118514178320765,0,18
endpoint_mean,baseline,lag_minus_1,ASJ,PVR,1.0,0.0118475276976823,0,18
endpoint_mean,onset_minus_baseline,effect,URB,ALN,1.0,0.0118458420038223,0,24
endpoint_mean,onset_minus_baseline,effect,RMG,CEP,1.0,0.0118443462997674,0,24
endpoint_mean,onset_minus_baseline,effect,RMG,ALN,1.0,0.0118427202105522,0,24
endpoint_mean,baseline,lag_minus_1,RMH,PHA,1.0,0.0118403267115354,0,18
endpoint_log_sd,baseline,effect,AIM,FLP,1.0,0.0118350721895694,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,FLP,PVC,1.0,0.0118291694670915,0,18
endpoint_log_sd,baseline,lag_minus_1,AVF,ADE,1.0,0.0118262283504009,0,18
endpoint_mean,onset_minus_baseline,effect,RIS,ADF,1.0,0.0118206441402435,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,AVJ,ASI,1.0,0.011806396767497,0,18
endpoint_mean,onset_minus_baseline,effect,URB,PVN,1.0,0.0118050314486026,0,24
endpoint_log_sd,baseline,effect,PHC,RMF,1.0,0.0117987850680947,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,AVF,PHA,1.0,0.0117952618747949,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,ADA,PVW,1.0,0.0117946192622184,0,18
endpoint_mean,baseline,lag_minus_1,RMG,AIN,1.0,0.0117906192317605,0,18
endpoint_log_sd,baseline,lag_minus_1,AVF,PVC,1.0,0.0117903854697942,0,18
endpoint_log_sd,baseline,effect,RIV,PVQ,1.0,0.0117872264236211,0,24
endpoint_log_sd,onset_minus_baseline,effect,AIA,AWC,1.0,0.0117864953354001,0,24
endpoint_log_sd,baseline,effect,PVW,PHA,1.0,0.0117779551073908,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,AIY,LUA,1.0,0.0117737920954823,0,18
endpoint_mean,onset_minus_baseline,effect,AVK,AQR,1.0,0.0117605132982134,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,AQR,ALA,1.0,0.0117593687027692,0,18
endpoint_mean,onset_minus_baseline,effect,PVQ,CEP,1.0,0.0117458328604698,0,24
endpoint_mean,baseline,effect,PVW,BAG,1.0,0.0117406491190195,0,24
endpoint_log_sd,baseline,lag_minus_1,PVW,RMG,1.0,0.0117399087175726,0,18
endpoint_log_sd,baseline,effect,AIM,AIZ,1.0,0.0117352558299899,0,24
endpoint_log_sd,baseline,effect,AQR,AVF,1.0,0.0117341596633195,0,24
endpoint_log_sd,baseline,effect,URX,PVT,1.0,0.0117262825369834,0,24
endpoint_log_sd,baseline,effect,ALA,OLQ,1.0,0.0117208948358893,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,URB,ASI,1.0,0.0117206778377294,0,18
endpoint_mean,baseline,lag_minus_1,URX,ASG,1.0,0.0117062181234359,0,18
endpoint_mean,onset_minus_baseline,effect,PVW,AIN,1.0,0.0117052923887968,0,24
endpoint_log_sd,baseline,effect,PHC,DVC,1.0,0.0117027042433619,0,24
endpoint_log_sd,baseline,effect,PVW,AIZ,1.0,0.0117015074938535,0,24
endpoint_log_sd,baseline,lag_minus_1,AQR,AWB,1.0,0.0117003871127963,0,18
endpoint_log_sd,baseline,effect,PVP,PHC,1.0,0.0116862170398235,0,24
endpoint_mean,onset_minus_baseline,effect,AVF,FLP,1.0,0.0116795701906085,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,RMG,DVB,1.0,0.0116794826462864,0,18
endpoint_mean,baseline,lag_minus_1,RIC,RIR,1.0,0.0116782095283269,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,AIN,SMD,1.0,0.0116778779774904,0,18
endpoint_mean,baseline,lag_minus_1,CEP,RIR,1.0,0.0116689773276448,0,18
endpoint_mean,onset_minus_baseline,effect,IL1,ALN,1.0,0.0116655975580215,0,24
endpoint_mean,baseline,effect,RIS,AVD,1.0,0.0116647109389305,0,24
endpoint_mean,baseline,lag_minus_1,IL1,RIR,1.0,0.0116549665108323,0,18
endpoint_log_sd,baseline,effect,URX,ALA,1.0,0.0116493040695786,0,24
endpoint_mean,onset_minus_baseline,effect,AVK,ASJ,1.0,0.0116420295089483,0,24
endpoint_log_sd,baseline,lag_minus_1,AVK,ADE,1.0,0.0116406697779893,0,18
endpoint_mean,onset_minus_baseline,effect,RMG,PVR,1.0,0.0116381589323282,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,PVQ,DVC,1.0,0.0116365207359194,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,AIY,AIA,1.0,0.0116335842758417,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,RIC,PVR,1.0,0.0116300303488969,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PVW,SIA,1.0,0.0116286007687449,0,18
endpoint_mean,baseline,lag_minus_1,SAA,AIZ,1.0,0.0116246612742543,0,18
endpoint_mean,onset_minus_baseline,effect,AIY,AFD,1.0,0.0116195809096097,0,24
endpoint_mean,onset_minus_baseline,lag_minus_1,PVW,OLQ,1.0,0.0116147734224796,0,18
endpoint_log_sd,baseline,effect,PVR,AQR,1.0,0.0116136912256479,0,24
endpoint_mean,baseline,lag_minus_1,PHC,RIV,1.0,0.0116113927215337,0,18
endpoint_mean,onset_minus_baseline,effect,AVK,PHC,1.0,0.0116017861291766,0,24
endpoint_mean,onset_minus_baseline,effect,RIS,CEP,1.0,0.0115947378799319,0,24
endpoint_log_sd,baseline,lag_minus_1,AIN,URY,1.0,0.0115921478718519,0,18
endpoint_mean,onset_minus_baseline,effect,ALA,SIA,1.0,0.0115839447826147,0,24
endpoint_log_sd,baseline,effect,FLP,PHC,1.0,0.011573227122426,0,24
endpoint_mean,baseline,lag_minus_1,PVW,AQR,1.0,0.0115690995007753,0,18
endpoint_mean,baseline,lag_minus_1,RMG,DVA,1.0,0.0115676578134298,0,18
endpoint_mean,baseline,effect,RMG,URA,1.0,0.0115652652457356,0,24
endpoint_log_sd,baseline,effect,ALN,SIB,1.0,0.0115612791851162,0,24
