cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
historical80,endpoint_mean,state_average,1,16,independent_MC,strong,4503,0.9587321528720725,0.012904351,0.9122807017543859
historical80,endpoint_mean,state_average,1,16,direct_N4096,all,6320,0.8734075935642261,0.026374415,0.857753164556962
historical80,endpoint_mean,state_average,1,16,direct_N4096,strong,4503,0.8693362457285175,0.024962904,0.8612036420164335
historical80,endpoint_mean,state_average,1,32,generator_0_vs_1,all,6320,0.7242081997806606,0.042888716,0.7912974683544304
historical80,endpoint_mean,state_average,1,32,generator_0_vs_1,strong,4503,0.7262424110704033,0.036042154,0.7936930934932267
historical80,endpoint_mean,state_average,1,32,generator_0_vs_2,all,6320,0.7261949784023284,0.041366953,0.7806962025316456
historical80,endpoint_mean,state_average,1,32,generator_0_vs_2,strong,4503,0.7230272559129578,0.035282854,0.7817010881634466
historical80,endpoint_mean,state_average,1,32,generator_1_vs_2,all,6320,0.729924044061423,0.040565744,0.7909810126582278
historical80,endpoint_mean,state_average,1,32,generator_1_vs_2,strong,4503,0.728006281492356,0.034712963,0.793471019320453
historical80,endpoint_mean,state_average,1,32,independent_MC,all,6320,0.9645186585877157,0.014081552,0.9231012658227848
historical80,endpoint_mean,state_average,1,32,independent_MC,strong,4503,0.9661511669788089,0.012287773,0.9269375971574506
historical80,endpoint_mean,state_average,1,32,direct_N4096,all,6320,0.8475250343362354,0.03206937,0.839240506329114
historical80,endpoint_mean,state_average,1,32,direct_N4096,strong,4503,0.8353505314850618,0.03041676,0.8383300022207417
historical80,endpoint_mean,state_average,4,1,generator_0_vs_1,all,6320,0.6871762656696926,0.033951703,0.7460443037974683
historical80,endpoint_mean,state_average,4,1,generator_0_vs_1,strong,4503,0.7011520310641787,0.030360764,0.748834110592938
historical80,endpoint_mean,state_average,4,1,generator_0_vs_2,all,6320,0.6990428281993107,0.03275636,0.7566455696202532
historical80,endpoint_mean,state_average,4,1,generator_0_vs_2,strong,4503,0.700338414962638,0.030009963,0.7592715967133022
historical80,endpoint_mean,state_average,4,1,generator_1_vs_2,all,6320,0.7184018747768142,0.03208525,0.7729430379746836
historical80,endpoint_mean,state_average,4,1,generator_1_vs_2,strong,4503,0.7232287155826377,0.028993156,0.7705973795247613
historical80,endpoint_mean,state_average,4,1,independent_MC,all,6320,0.9207702199999798,0.01666773,0.8764240506329114
historical80,endpoint_mean,state_average,4,1,independent_MC,strong,4503,0.9293969397857512,0.014347661,0.8838552076393515
historical80,endpoint_mean,state_average,4,1,direct_N4096,all,6320,0.8678460164733355,0.02243425,0.8428797468354431
historical80,endpoint_mean,state_average,4,1,direct_N4096,strong,4503,0.8670817529958047,0.02096111,0.8414390406395736
historical80,endpoint_mean,state_average,4,2,generator_0_vs_1,all,6320,0.698935596520354,0.033914953,0.7506329113924051
historical80,endpoint_mean,state_average,4,2,generator_0_vs_1,strong,4503,0.7121865950083471,0.030305458,0.7532755940484122
historical80,endpoint_mean,state_average,4,2,generator_0_vs_2,all,6320,0.7111326980570853,0.03271788,0.7602848101265823
historical80,endpoint_mean,state_average,4,2,generator_0_vs_2,strong,4503,0.7120423565265112,0.029928444,0.7641572285143238
historical80,endpoint_mean,state_average,4,2,generator_1_vs_2,all,6320,0.7296256743469424,0.032047264,0.7745253164556962
historical80,endpoint_mean,state_average,4,2,generator_1_vs_2,strong,4503,0.734396571816319,0.02891292,0.7768154563624251
historical80,endpoint_mean,state_average,4,2,independent_MC,all,6320,0.9260601008517926,0.016388398,0.8778481012658228
historical80,endpoint_mean,state_average,4,2,independent_MC,strong,4503,0.9344481584007701,0.014071441,0.8836331334665778
historical80,endpoint_mean,state_average,4,2,direct_N4096,all,6320,0.8665268471585226,0.02288472,0.8430379746835444
historical80,endpoint_mean,state_average,4,2,direct_N4096,strong,4503,0.8674205711263354,0.021291567,0.8438818565400844
historical80,endpoint_mean,state_average,4,4,generator_0_vs_1,all,6320,0.7165267987660514,0.03411036,0.7590189873417722
historical80,endpoint_mean,state_average,4,4,generator_0_vs_1,strong,4503,0.7279496840438868,0.030465499,0.763268931823229
historical80,endpoint_mean,state_average,4,4,generator_0_vs_2,all,6320,0.7284524275867825,0.03295496,0.767879746835443
historical80,endpoint_mean,state_average,4,4,generator_0_vs_2,strong,4503,0.7279466716692126,0.030075373,0.7717077503886298
historical80,endpoint_mean,state_average,4,4,generator_1_vs_2,all,6320,0.7461806155130062,0.032246865,0.7810126582278482
