generator_id,model_name,n_paired,mean_nll_difference_nats_vs_gaussian,bootstrap_low,bootstrap_high,win_fraction
g1_gaussian_sanity,affine_flow,8,-0.06829571723938033,-0.12424778938293568,-0.02176737785339422,0.875
g1_gaussian_sanity,autoregressive_mdn,8,-0.1175072193145752,-0.20504766106605593,-0.02867746353149392,0.875
g1_gaussian_sanity,gaussian_dsm,8,0.11965644359588601,0.06659841537475586,0.17195355892181396,0.0
g1_gaussian_sanity,gaussian_nll,8,0.0,0.0,0.0,0.0
g2_covariance,affine_flow,8,-0.13672566413879417,-0.2070430517196653,-0.06850421428680464,0.875
g2_covariance,autoregressive_mdn,8,-0.22697436809539795,-0.2700238227844245,-0.1855351150035861,1.0
g2_covariance,gaussian_dsm,8,0.0755283832550051,0.04631054699421036,0.11068570613861106,0.0
g2_covariance,gaussian_nll,8,0.0,0.0,0.0,0.0
g3_matched_skew,affine_flow,8,-0.3974296450614929,-0.49034084379673004,-0.29571735858917236,1.0
g3_matched_skew,autoregressive_mdn,8,-0.6651313304901123,-0.7429366081953048,-0.587165267765522,1.0
g3_matched_skew,gaussian_dsm,8,0.04372763633728027,0.030760277807712556,0.05444371700286865,0.0
g3_matched_skew,gaussian_nll,8,0.0,0.0,0.0,0.0
g4_separated_modes,affine_flow,8,-2.253811597824097,-2.3558632135391244,-2.1510452032089233,1.0
g4_separated_modes,autoregressive_mdn,8,-2.556418061256409,-2.647458076477051,-2.4605205059051523,1.0
g4_separated_modes,gaussian_dsm,8,0.03214943408966042,-0.018558621406554954,0.07135593891143732,0.25
g4_separated_modes,gaussian_nll,8,0.0,0.0,0.0,0.0
g5_near_manifold,affine_flow,8,-23.240146033465862,-24.35023982822895,-22.258277928084134,1.0
g5_near_manifold,autoregressive_mdn,8,-23.27732526510954,-24.260914266109467,-22.424077499099077,1.0
g5_near_manifold,autoregressive_transformer,8,-24.335703007876873,-25.303862719424068,-23.493330784142017,1.0
g5_near_manifold,gaussian_dsm,8,0.3895493522286416,0.05339435115456593,0.7662098240107287,0.25
g5_near_manifold,gaussian_nll,8,0.0,0.0,0.0,0.0
g6_rough_history,affine_flow,8,0.20129823684692383,0.16073840260505676,0.24747085571289062,0.0
g6_rough_history,autoregressive_mdn,8,0.12314772605895996,0.08117437362670898,0.16662107706069937,0.0
g6_rough_history,gaussian_dsm,8,0.11951279640197754,0.07218391895294189,0.16257333755493164,0.125
g6_rough_history,gaussian_nll,8,0.0,0.0,0.0,0.0
g7_concentrated_history,affine_flow,8,-1.088740944862366,-1.4675294160842896,-0.7411334276199353,1.0
g7_concentrated_history,autoregressive_mdn,8,-1.2278071641921997,-1.6535618305206297,-0.8615649759769441,1.0
g7_concentrated_history,gaussian_dsm,8,0.031154870986938477,-0.014566981792449725,0.06693075597286166,0.25
g7_concentrated_history,gaussian_nll,8,0.0,0.0,0.0,0.0
g8_functional_shape,affine_flow,8,-18.239610195159912,-18.484943866729736,-17.99176492393017,1.0
g8_functional_shape,autoregressive_mdn,8,-17.399844646453857,-17.755854013562203,-17.061349153518677,1.0
g8_functional_shape,autoregressive_transformer,8,-18.342674732208252,-18.656978368759155,-18.046298027038574,1.0
g8_functional_shape,gaussian_dsm,8,0.10985636711120583,0.08751833438873224,0.12919978797435736,0.0
g8_functional_shape,gaussian_nll,8,0.0,0.0,0.0,0.0
