generator_id,model_name,metric_id,estimand,noise_sigma_standardized,centering,median,q25,q75,n
g1_gaussian_sanity,affine_flow,centering_error,clean,,none,0.3475776254842594,0.28484752754007,0.39045554636182295,8
g1_gaussian_sanity,affine_flow,energy_score_fair,clean,,none,1.5116740265345001,1.4854889535649263,1.549692779889854,8
g1_gaussian_sanity,affine_flow,energy_score_v,clean,,none,1.5357170693532303,1.509203897843511,1.5740748243079612,8
g1_gaussian_sanity,affine_flow,finite_ratio_absolute_rmse,clean,,none,0.11073524352954095,0.10297355481234008,0.12322298978412974,8
g1_gaussian_sanity,affine_flow,finite_ratio_nrmse,clean,,none,0.6925819378363653,0.5701182289260657,0.7944392149755974,8
g1_gaussian_sanity,affine_flow,native_validation_loss,native_objective,,none,8.800068855285645,8.762019395828247,8.837512493133545,8
g1_gaussian_sanity,affine_flow,nll_original,clean,,none,9.196630001068115,9.116774320602415,9.473908185958862,8
g1_gaussian_sanity,affine_flow,samples_per_second,clean,,none,529350.4343843417,510592.3148109201,537239.0472110092,8
g1_gaussian_sanity,affine_flow,tangent_absolute_rms,clean,,none,0.7687867044437661,0.7024838965188359,0.8123780465877326,8
g1_gaussian_sanity,affine_flow,tangent_cosine,clean,,none,0.7905612789808545,0.7828701337983656,0.8019718070036332,8
g1_gaussian_sanity,affine_flow,tangent_eval_ms_per_example,clean,,none,0.020958992308806,0.01867464436600125,0.0220898400584701,8
g1_gaussian_sanity,affine_flow,tangent_nrmse,clean,,none,0.6651513030925063,0.6247224423958894,0.6822111616948385,8
g1_gaussian_sanity,autoregressive_mdn,centering_error,clean,,none,0.30233425718994034,0.26494362247347647,0.34784818668343453,8
g1_gaussian_sanity,autoregressive_mdn,energy_score_fair,clean,,none,1.5215625807681412,1.4736605475241684,1.556714729568129,8
g1_gaussian_sanity,autoregressive_mdn,energy_score_v,clean,,none,1.5455746199113956,1.4979123652178852,1.581033034016586,8
g1_gaussian_sanity,autoregressive_mdn,finite_ratio_absolute_rmse,clean,,none,0.1043377167813101,0.09612107038168921,0.10933715480771693,8
g1_gaussian_sanity,autoregressive_mdn,finite_ratio_nrmse,clean,,none,0.6556376269402262,0.5340069029822728,0.6928412860379867,8
g1_gaussian_sanity,autoregressive_mdn,native_validation_loss,native_objective,,none,8.746190071105957,8.699240922927856,8.779189825057983,8
g1_gaussian_sanity,autoregressive_mdn,nll_original,clean,,none,9.282578468322754,9.09279990196228,9.345336675643921,8
g1_gaussian_sanity,autoregressive_mdn,samples_per_second,clean,,none,436502.4904170827,425813.1063316528,456208.9469258971,8
g1_gaussian_sanity,autoregressive_mdn,tangent_absolute_rms,clean,,none,0.7164172664112254,0.6934176029423462,0.7456473749429449,8
g1_gaussian_sanity,autoregressive_mdn,tangent_cosine,clean,,none,0.7908590648590157,0.7733646304849745,0.8012124519778236,8
g1_gaussian_sanity,autoregressive_mdn,tangent_eval_ms_per_example,clean,,none,0.027239585733695948,0.02568814841197305,0.0290676993017768,8
g1_gaussian_sanity,autoregressive_mdn,tangent_nrmse,clean,,none,0.5886341364784796,0.5540759421059357,0.6427691805569966,8
g1_gaussian_sanity,bounded_energy,centering_error,clean,,none,0.30929266745866135,0.3014525748913676,0.3505032966043086,8
g1_gaussian_sanity,bounded_energy,energy_score_fair,clean,,none,1.5104643816996641,1.4820293880446433,1.545950244407962,8
g1_gaussian_sanity,bounded_energy,energy_score_v,clean,,none,1.5333567822384002,1.5049638685643785,1.56934255477618,8
g1_gaussian_sanity,bounded_energy,native_validation_loss,native_objective,,none,2.868654727935791,2.859023094177246,2.874806821346283,8
g1_gaussian_sanity,bounded_energy,samples_per_second,clean,,none,413614.0196187494,392151.7711207779,430045.89717433933,8
g1_gaussian_sanity,bounded_energy,tangent_absolute_rms,clean,,none,0.6599522136519916,0.6271686883197984,0.710442879080505,8
g1_gaussian_sanity,bounded_energy,tangent_cosine,clean,,none,0.8147103398348786,0.8037366284450309,0.8436993515994682,8
g1_gaussian_sanity,bounded_energy,tangent_eval_ms_per_example,clean,,none,0.12761328116539516,0.12080387489277195,0.1316767579737643,8
g1_gaussian_sanity,bounded_energy,tangent_nrmse,clean,,none,0.5827492699338053,0.5209574794660644,0.601978803419581,8
g1_gaussian_sanity,diffusion_edm,centering_error,noisy,0.12,model_samples,0.5131059424073312,0.4368305107102663,0.5440141718237885,8
g1_gaussian_sanity,diffusion_edm,centering_error,noisy,0.12,oracle_samples,0.38586210944384014,0.35784815746681203,0.41843597580231845,8
g1_gaussian_sanity,diffusion_edm,energy_score_fair,approximate_clean_sampler,,none,1.52606161002926,1.4908496118680554,1.577966556914979,8
g1_gaussian_sanity,diffusion_edm,energy_score_v,approximate_clean_sampler,,none,1.5495745958329379,1.5139995717245494,1.6014394525882627,8
g1_gaussian_sanity,diffusion_edm,native_validation_loss,native_objective,,none,1.4141271114349365,1.4055043458938599,1.4209192991256714,8
g1_gaussian_sanity,diffusion_edm,oracle_clean_to_noisy_tangent_nrmse,noisy,0.12,none,0.04985581812142195,0.04965240333722118,0.050193436409942824,8
g1_gaussian_sanity,diffusion_edm,response_score_nrmse,noisy,0.12,none,0.5692234481126982,0.5112547232866567,0.6218340537541331,8
g1_gaussian_sanity,diffusion_edm,samples_per_second,approximate_clean_sampler,,none,97178.07355779025,95788.59581028452,98675.39450252206,8
g1_gaussian_sanity,diffusion_edm,tangent_absolute_rms,noisy,0.12,model_samples,0.7823791059008796,0.7616444746848992,0.8136486544141014,8
g1_gaussian_sanity,diffusion_edm,tangent_absolute_rms,noisy,0.12,none,1.810908738465221,1.7127033099049174,1.9456813143591427,8
g1_gaussian_sanity,diffusion_edm,tangent_absolute_rms,noisy,0.12,oracle_samples,0.6536233474155779,0.6453334248567046,0.6760831712121349,8
g1_gaussian_sanity,diffusion_edm,tangent_cosine,noisy,0.12,model_samples,0.7675869605475558,0.7422113754092926,0.7830233722670276,8
g1_gaussian_sanity,diffusion_edm,tangent_cosine,noisy,0.12,none,0.4519123412901457,0.4018772923837161,0.46211984818332713,8
g1_gaussian_sanity,diffusion_edm,tangent_cosine,noisy,0.12,oracle_samples,0.8278452887386589,0.8175202018463358,0.844966463843341,8
g1_gaussian_sanity,diffusion_edm,tangent_eval_ms_per_example,noisy,0.12,oracle_samples,0.13754980477642675,0.13337288680759227,0.14074772286676304,8
