law,delta,generator_id,model_name,method,metric_id,median,q25,q75,n
clean,0.12,g1_location,flow_matching,direct_coupled_samples,channel_readout_nrmse,0.34473964014421077,0.3212387842016463,0.3853658724077871,8
clean,0.12,g1_location,flow_matching,signed_classifier,channel_readout_nrmse,0.7822221346349107,0.6577050425864779,0.8530878398103632,8
clean,0.12,g1_location,flow_matching,signed_classifier,witness_nrmse,0.6169515198005285,0.5618818872483455,0.646775532347593,8
clean,0.12,g1_location,flow_matching,signed_riesz_dictionary,channel_readout_nrmse,2.777188450819266,2.5297314093532774,2.8790155725793656,8
clean,0.12,g1_location,flow_matching,signed_riesz_dictionary,witness_nrmse,2.4025562126619544,2.252771341422277,2.4682024122791084,8
clean,0.12,g1_location,flow_matching_gaussian_source,direct_coupled_samples,channel_readout_nrmse,0.39893931369179647,0.3620531282358085,0.44209353815316443,8
clean,0.12,g1_location,flow_matching_gaussian_source,signed_classifier,channel_readout_nrmse,0.7127068144283938,0.6918191454458229,0.8300537821918706,8
clean,0.12,g1_location,flow_matching_gaussian_source,signed_classifier,witness_nrmse,0.6503644653432437,0.6125487401791977,0.6894415694078775,8
clean,0.12,g1_location,flow_matching_gaussian_source,signed_riesz_dictionary,channel_readout_nrmse,2.659216041534059,2.3694726087451117,3.0249128247272927,8
clean,0.12,g1_location,flow_matching_gaussian_source,signed_riesz_dictionary,witness_nrmse,2.5404117087696845,2.3555387103657424,2.7500858956801935,8
clean,0.12,g1_location,gaussian_dsm,central_model_log_ratio,channel_readout_nrmse,0.6468922196394226,0.5492551261818345,0.6776953533659785,8
clean,0.12,g1_location,gaussian_dsm,central_model_log_ratio,witness_nrmse,0.5532497617193175,0.5132302044061388,0.5863482769402509,8
clean,0.12,g1_location,gaussian_dsm,direct_coupled_samples,channel_readout_nrmse,0.37154171656441926,0.3499571212498116,0.5023715936059846,8
clean,0.12,g1_location,gaussian_dsm,history_tangent_finite_target,channel_readout_nrmse,0.6579670898367118,0.5537011687154496,0.6990251644846739,8
clean,0.12,g1_location,gaussian_dsm,history_tangent_finite_target,witness_nrmse,0.5609344285689102,0.5170548403785026,0.5906823811803591,8
clean,0.12,g1_location,gaussian_dsm,signed_classifier,channel_readout_nrmse,0.6950175651800411,0.6508001975670884,0.7594800585760687,8
clean,0.12,g1_location,gaussian_dsm,signed_classifier,witness_nrmse,0.6800778486323613,0.656970839091587,0.7026797256378228,8
clean,0.12,g1_location,gaussian_dsm,signed_riesz_dictionary,channel_readout_nrmse,2.7007543146471393,2.1670941749795074,2.8379958106748573,8
clean,0.12,g1_location,gaussian_dsm,signed_riesz_dictionary,witness_nrmse,2.399040558554362,2.2468615624451096,2.4721800915561976,8
clean,0.12,g1_location,gaussian_nll,central_model_log_ratio,channel_readout_nrmse,0.5906268532120762,0.5736206113768914,0.6137342825408444,8
clean,0.12,g1_location,gaussian_nll,central_model_log_ratio,witness_nrmse,0.5186489527601685,0.483874156691432,0.5841614425737924,8
clean,0.12,g1_location,gaussian_nll,direct_coupled_samples,channel_readout_nrmse,0.34584413137952696,0.3273922005288233,0.35108563672226895,8
clean,0.12,g1_location,gaussian_nll,history_tangent_finite_target,channel_readout_nrmse,0.6116611464762245,0.5948228141308286,0.6283019283734406,8
