generator_id,model_name,n_paired,mean_relative_energy_change_vs_gaussian,bootstrap_low,bootstrap_high,win_fraction,equivalent_within_5pct_fraction,primary_eligible
g1_gaussian_sanity,affine_flow,8,0.003777083466878505,0.0001482213043776805,0.00796362672257685,0.375,1.0,True
g1_gaussian_sanity,autoregressive_mdn,8,0.003102800861388897,-0.008313908567652357,0.014954457248241671,0.625,1.0,True
g1_gaussian_sanity,bounded_energy,8,-0.00015920418636636334,-0.008146089565779441,0.00737193546356525,0.5,1.0,False
g1_gaussian_sanity,diffusion_edm,8,0.013699978281413193,0.0066037148762146,0.020911485602882127,0.0,1.0,True
g1_gaussian_sanity,diffusion_gaussian_anchored,8,-0.004081377905213576,-0.012151103984697407,0.003988352602036824,0.625,1.0,True
g1_gaussian_sanity,diffusion_legacy,8,1.044261812114379,1.0087201426778662,1.0783184194920628,0.0,0.0,True
g1_gaussian_sanity,flow_matching,8,0.007042582000485871,0.001234440216520233,0.012448372934259967,0.25,1.0,True
g1_gaussian_sanity,flow_matching_gaussian_source,8,0.002939267785122829,-0.0037980364808647537,0.008915619393420338,0.375,1.0,True
g1_gaussian_sanity,gaussian_dsm,8,0.01260773918970508,0.006626731690314209,0.018137704787439788,0.125,1.0,True
g1_gaussian_sanity,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g1_gaussian_sanity,mean,8,-0.005190523099815269,-0.011246470058974941,0.00013106584235863015,0.75,1.0,True
g2_covariance,affine_flow,8,-0.002371384972284625,-0.004354586482354501,-0.000359669914595221,0.875,1.0,True
g2_covariance,autoregressive_mdn,8,-0.006555304489764191,-0.011109157951165394,-0.0020028184903484467,0.75,1.0,True
g2_covariance,bounded_energy,8,0.0008765852951181691,-0.0051978367300014585,0.0062121113096316495,0.5,1.0,False
g2_covariance,diffusion_edm,8,-0.0013900784075137362,-0.003737846711576052,0.0016267764323351812,0.75,1.0,True
g2_covariance,diffusion_gaussian_anchored,8,-0.0006800521442020585,-0.004995279747104651,0.004327067062124681,0.625,1.0,True
g2_covariance,diffusion_legacy,8,0.5635126817273799,0.5425781290171792,0.5842194807041897,0.0,0.0,True
g2_covariance,flow_matching,8,-0.0010733151507028443,-0.0026473836037046797,0.0005487938128497584,0.625,1.0,True
g2_covariance,flow_matching_gaussian_source,8,0.009380131572750765,0.0070296323660506395,0.011571707766691107,0.0,1.0,True
g2_covariance,gaussian_dsm,8,0.003959881597830879,0.0013040511253922687,0.007212383145040965,0.0,1.0,True
g2_covariance,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g2_covariance,mean,8,0.001477566044893,0.00031106835323666546,0.00264194653401019,0.125,1.0,True
g3_matched_skew,affine_flow,8,-0.0016134483023822956,-0.007759115176940462,0.004886724781271838,0.5,1.0,True
g3_matched_skew,autoregressive_mdn,8,-0.0044253557343028665,-0.013442083763114622,0.004604290208084683,0.625,1.0,True
g3_matched_skew,bounded_energy,8,0.002578558650638773,-0.011779430867896762,0.016742001925185476,0.5,1.0,False
g3_matched_skew,diffusion_edm,8,-0.002429021485935691,-0.014238439648864593,0.011522107681728146,0.75,1.0,True
g3_matched_skew,diffusion_gaussian_anchored,8,0.0004359091837306344,-0.014219381565692111,0.015889972880732236,0.625,1.0,True
g3_matched_skew,diffusion_legacy,8,0.4357703304927669,0.42088094501050166,0.45123494618976634,0.0,0.0,True
g3_matched_skew,flow_matching,8,-0.0008006826752009455,-0.006376112623487312,0.004038981194683557,0.375,1.0,True
g3_matched_skew,flow_matching_gaussian_source,8,0.011943026242551585,0.00295603475588313,0.02152391277854494,0.375,1.0,True
g3_matched_skew,gaussian_dsm,8,0.00606875276317556,0.002053652232266202,0.009311834108307729,0.125,1.0,True
g3_matched_skew,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g3_matched_skew,mean,8,0.006550678567064165,0.0020245273442748278,0.011158554415400848,0.25,1.0,True
g4_separated_modes,affine_flow,8,-0.013675199395008816,-0.01698693229421329,-0.009911542903670944,1.0,1.0,True
g4_separated_modes,autoregressive_mdn,8,-0.022479663229067873,-0.029327725629752478,-0.013568252694859714,0.875,1.0,True
g4_separated_modes,bounded_energy,8,-0.0038777856680691555,-0.011419517693118582,0.0035574176892976756,0.5,1.0,False
g4_separated_modes,diffusion_edm,8,-0.01782053150680813,-0.02201518199904485,-0.014267288165958654,1.0,1.0,True
g4_separated_modes,diffusion_gaussian_anchored,8,-0.01048375804736566,-0.016046958144412014,-0.004121567456852877,0.75,1.0,True
g4_separated_modes,diffusion_legacy,8,0.5797369674184729,0.566205938615887,0.5956128240986974,0.0,0.0,True
g4_separated_modes,flow_matching,8,-0.019309409363154048,-0.02543754554648102,-0.013782171013760492,1.0,1.0,True
g4_separated_modes,flow_matching_gaussian_source,8,-0.008574061225987886,-0.014681409337463086,-0.0026313394465730692,0.875,1.0,True
g4_separated_modes,gaussian_dsm,8,0.0034794234202068703,0.0016019647940499638,0.005448617190779745,0.125,1.0,True
g4_separated_modes,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g4_separated_modes,mean,8,0.008210785757091695,0.00683052220219508,0.009562954877356047,0.0,1.0,True
g5_near_manifold,affine_flow,8,0.14019122789366828,0.10307809837097459,0.18101178391516626,0.0,0.0,True
g5_near_manifold,autoregressive_mdn,8,-0.03477598396897027,-0.053354123424027386,-0.016385708411107435,0.875,0.75,True
g5_near_manifold,autoregressive_transformer,8,-0.04977563310178294,-0.0609524807070665,-0.03712791019497225,1.0,0.375,True
g5_near_manifold,bounded_energy,8,0.0010162920036982867,-0.0022760329268291224,0.0044305984864242455,0.5,1.0,False
g5_near_manifold,diffusion_edm,8,0.06031913220933742,0.04560541371252058,0.07374342658818678,0.0,0.375,True
g5_near_manifold,diffusion_gaussian_anchored,8,-0.032451116682550234,-0.04572688967896938,-0.019726177095228205,1.0,0.75,True
g5_near_manifold,diffusion_legacy,8,1.297589858561857,1.2548603469846662,1.340871495967512,0.0,0.0,True
g5_near_manifold,flow_matching,8,-0.02170078629951292,-0.03519530903621653,-0.007805597220870766,0.875,0.875,True
g5_near_manifold,flow_matching_gaussian_source,8,0.00966167931452218,-0.004012848382351956,0.02373198004168526,0.375,1.0,True
g5_near_manifold,gaussian_dsm,8,0.014175076465922207,0.004696915491836238,0.024485113798591213,0.125,1.0,True
g5_near_manifold,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g5_near_manifold,mean,8,0.01871386517991409,0.008646015292000502,0.027606456596168776,0.125,1.0,True
g6_rough_history,affine_flow,8,0.003101271972927808,0.0019939697302249282,0.004191992499780394,0.0,1.0,True
g6_rough_history,autoregressive_mdn,8,0.0005823338427870016,-0.002895421821678439,0.003327353827712927,0.25,1.0,True
g6_rough_history,bounded_energy,8,0.006267202671929048,0.004613406264950779,0.008039566842105543,0.0,1.0,False
g6_rough_history,diffusion_edm,8,0.008004988873966114,0.004719051647391391,0.011251501321561249,0.0,1.0,True
g6_rough_history,diffusion_gaussian_anchored,8,0.0040409828707629394,-0.0004901978759178211,0.008796441148243624,0.375,1.0,True
g6_rough_history,diffusion_legacy,8,0.6221461044017308,0.6075995099168155,0.6372256761639552,0.0,0.0,True
g6_rough_history,flow_matching,8,0.0009112850466306203,-0.0008547949520474568,0.0027029422837185815,0.5,1.0,True
g6_rough_history,flow_matching_gaussian_source,8,0.004310313494365935,0.002769382232099718,0.005957324135309748,0.0,1.0,True
g6_rough_history,gaussian_dsm,8,0.006158528417114906,0.0039874110977331035,0.008412172203618591,0.0,1.0,True
g6_rough_history,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g6_rough_history,mean,8,0.0005470233872710635,-0.00195794592671059,0.003430878113790209,0.625,1.0,True
g7_concentrated_history,affine_flow,8,-0.00890256719752602,-0.012539706512713047,-0.00555593798760631,1.0,1.0,True
