cohort,channel,context,source_lag_frames,horizon_frames,source_to_endpoint_frames,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
clean54,endpoint_mean,state_average,8,1,9,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5980856848912405,0.3358048905434713,0.5936917403194709,33
clean54,endpoint_mean,state_average,8,1,9,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6595507979085032,0.13823463515111561,0.6569560504056232,28
clean54,endpoint_mean,state_average,8,2,10,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6429818560168755,0.29134869008336617,0.6207767024531573,40
clean54,endpoint_mean,state_average,8,2,10,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6110060495400143,0.374685337381627,0.5903898287310992,54
clean54,endpoint_mean,state_average,8,2,10,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.6003041132004838,0.3405218192234551,0.5819103086870713,54
clean54,endpoint_mean,state_average,8,2,10,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.679278075747555,0.13179170626273048,0.6762385340467088,45
clean54,endpoint_mean,state_average,8,2,10,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6414698105611352,0.2782677193326122,0.617655567505128,24
clean54,endpoint_mean,state_average,8,2,10,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6000782486219549,0.3560736291474948,0.592989466399366,33
clean54,endpoint_mean,state_average,8,2,10,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5961236037624926,0.33262006767252533,0.5934083090054647,33
clean54,endpoint_mean,state_average,8,2,10,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6546001804719466,0.13625052566395843,0.6468657325631179,28
clean54,endpoint_mean,state_average,8,4,12,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6364041276492638,0.28239010589144453,0.6120675091836152,40
clean54,endpoint_mean,state_average,8,4,12,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.610535780571245,0.3726899395528753,0.5873278327840897,54
clean54,endpoint_mean,state_average,8,4,12,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.6001050308313112,0.33882055069791867,0.5799448772775528,54
clean54,endpoint_mean,state_average,8,4,12,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6743804340422354,0.12873007101060752,0.6628426569919885,45
clean54,endpoint_mean,state_average,8,4,12,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6432869438429647,0.2740679137534686,0.6162986888165526,24
clean54,endpoint_mean,state_average,8,4,12,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5968787494131353,0.34904548002747354,0.589641249704292,33
clean54,endpoint_mean,state_average,8,4,12,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5930261610817167,0.325328648381937,0.5910102300708254,33
clean54,endpoint_mean,state_average,8,4,12,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6479251906698476,0.13703842964832694,0.6366550935335418,28
clean54,endpoint_mean,state_average,8,8,16,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6202163595159704,0.2682148564344206,0.5910516034158222,40
clean54,endpoint_mean,state_average,8,8,16,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6060958144807729,0.36979512842178486,0.5797122140953844,54
clean54,endpoint_mean,state_average,8,8,16,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5957291871288288,0.33638380953168523,0.5740788559415102,54
clean54,endpoint_mean,state_average,8,8,16,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6654113118165219,0.12393030827771986,0.6422570246597857,45
clean54,endpoint_mean,state_average,8,8,16,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6394568186022219,0.26776896513955195,0.5962208911057679,24
clean54,endpoint_mean,state_average,8,8,16,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5917821558364778,0.3367807758028776,0.5838305355252706,33
clean54,endpoint_mean,state_average,8,8,16,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5863628012933568,0.311952912515494,0.586533031485597,33
clean54,endpoint_mean,state_average,8,8,16,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6481106070532392,0.1262787214407745,0.6238575897911229,28
clean54,endpoint_mean,state_average,8,16,24,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6082118270834225,0.2568070819894017,0.5684168594222966,40
clean54,endpoint_mean,state_average,8,16,24,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.5974955355799231,0.36534177357633935,0.567305352020735,54
clean54,endpoint_mean,state_average,8,16,24,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5884087762916048,0.332713885708277,0.5624771940290251,54
clean54,endpoint_mean,state_average,8,16,24,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6524893598788883,0.11923230199815742,0.6230926673255107,45
clean54,endpoint_mean,state_average,8,16,24,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6313722076537219,0.2617900174206031,0.5815987065126568,24
clean54,endpoint_mean,state_average,8,16,24,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5847519518684031,0.31931946511959813,0.5739642741947569,33
clean54,endpoint_mean,state_average,8,16,24,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.577772266313933,0.29179107811919336,0.5753588316389436,33
clean54,endpoint_mean,state_average,8,16,24,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.650799144612418,0.11981370355654146,0.6221017842203407,28
clean54,endpoint_mean,state_average,8,32,40,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.5961538461538461,0.25138758317095994,0.544503300919304,40
clean54,endpoint_mean,state_average,8,32,40,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.5738366172737943,0.3506456686830407,0.5401678175816766,54
clean54,endpoint_mean,state_average,8,32,40,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5663013736683473,0.31895424307479714,0.5381822303815627,54
clean54,endpoint_mean,state_average,8,32,40,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6356980732427046,0.113518562063713,0.5825416851078523,45
clean54,endpoint_mean,state_average,8,32,40,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6121236521114654,0.24132447920699535,0.5702040680435633,24
clean54,endpoint_mean,state_average,8,32,40,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5625449929576241,0.2997828307951661,0.5492608458102134,33
clean54,endpoint_mean,state_average,8,32,40,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5568930041152264,0.2702251089166952,0.5530322618258813,33
clean54,endpoint_mean,state_average,8,32,40,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6353477793297816,0.10521628931744807,0.5925184095197114,28
clean54,endpoint_mean,state_average,16,1,17,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6186556634027451,0.2676552387148274,0.5903110324956939,40
clean54,endpoint_mean,state_average,16,1,17,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6089331039256798,0.3692632932031542,0.5813656487003013,54
clean54,endpoint_mean,state_average,16,1,17,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5975407705479793,0.3361751920745856,0.5733267928307734,54
clean54,endpoint_mean,state_average,16,1,17,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6652509135013633,0.12288150529792907,0.6489842706658879,45
clean54,endpoint_mean,state_average,16,1,17,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6385319304048834,0.2654618365706022,0.6083143273357562,24
clean54,endpoint_mean,state_average,16,1,17,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.597581248152463,0.3374402530849169,0.5881896036884857,33
clean54,endpoint_mean,state_average,16,1,17,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5901124338624338,0.3110132591218855,0.5872366495243194,33
clean54,endpoint_mean,state_average,16,1,17,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.657381426222821,0.1287340742621055,0.6407395273548486,28
clean54,endpoint_mean,state_average,16,2,18,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6160010547170081,0.26533862416306886,0.5857248660769072,40
clean54,endpoint_mean,state_average,16,2,18,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.608197603258525,0.36920925534082916,0.5808546818984627,54
clean54,endpoint_mean,state_average,16,2,18,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5969355866018227,0.3360998436495653,0.5730089087990047,54
clean54,endpoint_mean,state_average,16,2,18,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6625439172784141,0.1221579788566304,0.645485731486741,45
clean54,endpoint_mean,state_average,16,2,18,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6374764697561559,0.2629110002175846,0.6035726752365673,24
clean54,endpoint_mean,state_average,16,2,18,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.597226521066268,0.33590693241771274,0.5867835527863996,33
clean54,endpoint_mean,state_average,16,2,18,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5895282186948854,0.3090519143510244,0.5856341079392181,33
clean54,endpoint_mean,state_average,16,2,18,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6582157999480833,0.12848087443436007,0.6378084645663851,28
clean54,endpoint_mean,state_average,16,4,20,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6123701201522213,0.26197961866729313,0.5827723284422791,40
clean54,endpoint_mean,state_average,16,4,20,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6068281800214693,0.36883208979689674,0.5775253051387634,54
clean54,endpoint_mean,state_average,16,4,20,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5958925537241301,0.3357150735681467,0.5701660557474846,54
clean54,endpoint_mean,state_average,16,4,20,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6604411612838018,0.12191690436345656,0.6388492235502901,45
clean54,endpoint_mean,state_average,16,4,20,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6352240949696963,0.26164007248036564,0.6008770005260496,24
clean54,endpoint_mean,state_average,16,4,20,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5956285103201238,0.3324210965086562,0.582619422648556,33
clean54,endpoint_mean,state_average,16,4,20,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5877167842445621,0.304885875978697,0.5817803881733098,33
clean54,endpoint_mean,state_average,16,4,20,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6588153129210499,0.12661126552174157,0.6340943068600754,28
clean54,endpoint_mean,state_average,16,8,24,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6082438961816393,0.25790737779049944,0.5787331662777819,40
clean54,endpoint_mean,state_average,16,8,24,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6026819752801549,0.36659987708927605,0.5728121264448325,54
clean54,endpoint_mean,state_average,16,8,24,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.592421840328003,0.33372280389943376,0.5668340539341943,54
clean54,endpoint_mean,state_average,16,8,24,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6594458128349413,0.12109084049186512,0.6289045141577079,45
clean54,endpoint_mean,state_average,16,8,24,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6297182899361282,0.25643022901731993,0.6015037137553789,24
clean54,endpoint_mean,state_average,16,8,24,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5916247891634353,0.32427818886744975,0.5767689593273964,33
clean54,endpoint_mean,state_average,16,8,24,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5838027263374486,0.2953476990110786,0.5762259602920565,33
clean54,endpoint_mean,state_average,16,8,24,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.659643506100199,0.12353425265309992,0.6301778303191231,28
clean54,endpoint_mean,state_average,16,16,32,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.5960148800615727,0.2527400175559735,0.5589475699277976,40
clean54,endpoint_mean,state_average,16,16,32,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.5888626513639055,0.36014237028884644,0.5591014331901178,54
clean54,endpoint_mean,state_average,16,16,32,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5806710200226597,0.3275031234794188,0.5550069057740664,54
clean54,endpoint_mean,state_average,16,16,32,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6517027489634534,0.12008838767477131,0.6117254086529808,45
clean54,endpoint_mean,state_average,16,16,32,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6139516664309108,0.24690652689033316,0.5803242508405212,24
clean54,endpoint_mean,state_average,16,16,32,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5805073988419204,0.31342783044581984,0.566186962914634,33
clean54,endpoint_mean,state_average,16,16,32,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5732271457965902,0.28250119124955825,0.565854794535556,33
clean54,endpoint_mean,state_average,16,16,32,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6558980951556879,0.11650277180126073,0.6202158011212892,28
clean54,endpoint_mean,state_average,16,32,48,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.5802974587021279,0.24561415484906562,0.5429655620733408,40
clean54,endpoint_mean,state_average,16,32,48,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.5692819055549425,0.3474198422461413,0.5324258600468591,54
clean54,endpoint_mean,state_average,16,32,48,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5600405307893119,0.3146783074214376,0.5287305735145827,54
clean54,endpoint_mean,state_average,16,32,48,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6413120142732529,0.11423315605501536,0.5843851123032506,45
clean54,endpoint_mean,state_average,16,32,48,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.5945834194748811,0.22883658196545661,0.5732175821346538,24
clean54,endpoint_mean,state_average,16,32,48,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5603592481176859,0.30259715302721457,0.5452125595484523,33
clean54,endpoint_mean,state_average,16,32,48,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5536522633744857,0.2703813448826228,0.547490761289735,33
clean54,endpoint_mean,state_average,16,32,48,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6427088097504295,0.10981725921819896,0.5946069953857575,28
clean54,endpoint_mean,baseline,1,1,2,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.67130599620872,0.3452835785404831,0.6560195809915204,40
clean54,endpoint_mean,baseline,1,1,2,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6161006300350131,0.3823135923740721,0.6042115608379593,54
clean54,endpoint_mean,baseline,1,1,2,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.6059657247623413,0.3494519802291608,0.5945281259123272,54
clean54,endpoint_mean,baseline,1,1,2,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6676107462476681,0.13009724381157906,0.6890012716451511,45
clean54,endpoint_mean,baseline,1,1,2,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6527969707191278,0.2979810351447687,0.6215760088303491,24
clean54,endpoint_mean,baseline,1,1,2,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6191343963553531,0.38009342328096507,0.6055631982747187,33
clean54,endpoint_mean,baseline,1,1,2,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.6140248383303939,0.3544811664165713,0.6007763283880454,33
clean54,endpoint_mean,baseline,1,1,2,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6520043511044635,0.13763028217810772,0.6623819482106822,28
clean54,endpoint_mean,baseline,1,2,3,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6698058750587934,0.3399613126085813,0.6581156400500039,40
