cohort,channel,context,reference,scope,permutations,n_edges,status,best_nominal_lag,max_auroc,permutation_p,auroc_lag1,auroc_lag4,auroc_lag8,auroc_lag16,holm_family_p
clean54,endpoint_mean,state_average,randi_wild_type,strong_fixed_support,2000,824,evaluated,1,0.6505228338574367,0.0004997501249375312,0.6505228338574367,0.6280426101433033,0.6418288848024548,0.6385319304048834,0.0079960019990005
clean54,endpoint_mean,state_average,cook_struct,strong_fixed_support,2000,1749,evaluated,1,0.6187205480881254,0.0004997501249375312,0.6187205480881254,0.6076683649515728,0.602403102123146,0.597581248152463,0.0079960019990005
clean54,endpoint_mean,state_average,cook_chem,strong_fixed_support,2000,1749,evaluated,1,0.609893077601411,0.0004997501249375312,0.609893077601411,0.5999853027630805,0.5980856848912405,0.5901124338624338,0.0079960019990005
clean54,endpoint_mean,state_average,cook_gap,strong_fixed_support,2000,1749,evaluated,4,0.6654841221770356,0.0004997501249375312,0.6589883682122152,0.6654841221770356,0.6595507979085032,0.657381426222821,0.0079960019990005
clean54,endpoint_mean,onset_minus_baseline,randi_wild_type,strong_fixed_support,2000,824,evaluated,16,0.5792520374742935,0.01199400299850075,0.4955550961339673,0.5343351141964898,0.5178394611710173,0.5792520374742935,0.1199400299850075
clean54,endpoint_mean,onset_minus_baseline,cook_struct,strong_fixed_support,2000,1749,evaluated,16,0.5174807421447077,0.8800599700149925,0.4791736945521571,0.4823523274617886,0.49589629449303585,0.5174807421447077,1.0
clean54,endpoint_mean,onset_minus_baseline,cook_chem,strong_fixed_support,2000,1749,evaluated,16,0.5149029982363316,0.9245377311344328,0.4826388888888889,0.47400609935332155,0.4930886243386243,0.5149029982363316,1.0
clean54,endpoint_mean,onset_minus_baseline,cook_gap,strong_fixed_support,2000,1749,evaluated,4,0.5589500488263143,0.3028485757121439,0.48428287123450225,0.5589500488263143,0.521743161225726,0.501131039938689,1.0
clean54,endpoint_wasserstein1,state_average,randi_wild_type,strong_fixed_support,2000,824,evaluated,1,0.6878883170299119,0.0004997501249375312,0.6878883170299119,0.6578892963232974,0.6508057408354461,0.6285213757983962,0.0079960019990005
clean54,endpoint_wasserstein1,state_average,cook_struct,strong_fixed_support,2000,1749,evaluated,1,0.5515188926950564,0.08195902048975512,0.5515188926950564,0.5314820288998243,0.5240536263889131,0.4999339233859048,0.7376311844077961
clean54,endpoint_wasserstein1,state_average,cook_chem,strong_fixed_support,2000,1749,evaluated,1,0.5421259553203998,0.2673663168415792,0.5421259553203998,0.5204548794826572,0.5121435920047032,0.48971377131099353,1.0
clean54,endpoint_wasserstein1,state_average,cook_gap,strong_fixed_support,2000,1749,evaluated,1,0.606843100656374,0.0079960019990005,0.606843100656374,0.5922508312834522,0.5918738179705558,0.5493083968899491,0.0879560219890055
clean54,endpoint_wasserstein1,onset_minus_baseline,randi_wild_type,strong_fixed_support,2000,824,evaluated,4,0.583876478460986,0.0879560219890055,0.5666517959152585,0.583876478460986,0.5792193943614463,0.43721097243833174,0.7376311844077961
clean54,endpoint_wasserstein1,onset_minus_baseline,cook_struct,strong_fixed_support,2000,1749,evaluated,8,0.5150185188405293,0.9965017491254373,0.5002034464170826,0.5013832617503348,0.5150185188405293,0.47863812620633295,1.0
clean54,endpoint_wasserstein1,onset_minus_baseline,cook_chem,strong_fixed_support,2000,1749,evaluated,4,0.5174998162845386,0.9985007496251874,0.5043944738389183,0.5174998162845386,0.5102641828336273,0.4778071722516167,1.0
clean54,endpoint_wasserstein1,onset_minus_baseline,cook_gap,strong_fixed_support,2000,1749,evaluated,8,0.5080347099469709,0.9190404797601199,0.4785287828032485,0.4652591502985204,0.5080347099469709,0.5045736041236604,1.0
