seed,method,worm,horizon,energy,variogram,rmse,mae,coverage90,sharpness90
1701,flow,0,1,0.9543833946809173,0.025158353921142358,0.18551136879250402,0.12442775908857581,0.9088541666666666,0.5595919978804886
1701,flow,0,2,1.2523956038057804,0.03728973568649958,0.24252983904443676,0.17013489408418533,0.8938078703703705,0.7219044789671898
1701,flow,0,4,1.6126322504132986,0.054644767893478226,0.3117436058819294,0.23347871075384316,0.877025462962963,0.936571097932756
1701,flow,0,8,2.3244575820863247,0.08709098165854808,0.44710969319567084,0.3437261627987027,0.8313078703703703,1.2224527467042208
1701,flow,0,16,3.317174106836319,0.1342623477103188,0.6382546103559434,0.5004670349881053,0.7925347222222222,1.6154781803488731
1701,flow,0,32,4.759775750339031,0.20000237389467654,0.9137743897736073,0.7191136782057583,0.7641782407407407,2.2174639645963907
1701,flow,1,1,1.0481721796095371,0.027940768733969838,0.20216042199172077,0.12795924406964326,0.9071180555555556,0.5590398367494345
1701,flow,1,2,1.211838560178876,0.03468519807211118,0.23487274581566447,0.16255600447766477,0.9103009259259259,0.7313070697709918
1701,flow,1,4,1.5629634782671928,0.05227259121602396,0.30251987208612263,0.22247662302106613,0.8851273148148149,0.9447356974706054
1701,flow,1,8,2.2115853745490313,0.08202479215105991,0.4292880850844085,0.3335412775631994,0.837962962962963,1.232925659045577
1701,flow,1,16,3.328253995627165,0.1233519566012546,0.6418135087005794,0.5063578682020307,0.7858796296296297,1.629567762836814
1701,flow,1,32,5.05423816293478,0.18257652770262206,0.965541779063642,0.7707933820784092,0.7615740740740741,2.327404521405697
1701,flow,2,1,0.9615085730329156,0.025008720724144902,0.1865841859253123,0.12992808420676732,0.8816550925925926,0.5600104066543281
1701,flow,2,2,1.1968334633857012,0.03540326617076057,0.23268824047408995,0.16954047186300153,0.896412037037037,0.7310807043686509
1701,flow,2,4,1.5586884077638388,0.049416048597777214,0.30172780877910554,0.22690000291913745,0.8845486111111112,0.9438085379078984
1701,flow,2,8,2.284055298194289,0.07977220084285361,0.44084349600598216,0.3320169593207538,0.8608217592592593,1.2392838895320892
1701,flow,2,16,3.43228555098176,0.12934757070615882,0.6539276447147131,0.4974185572937131,0.8035300925925926,1.6379330176860094
1701,flow,2,32,4.901423826813698,0.19119551125913853,0.9376681288704276,0.7374211023561656,0.7615740740740741,2.295856410637498
1701,flow,3,1,1.0377389332279563,0.027701834434992585,0.20021640753839162,0.13676240411587054,0.8836805555555556,0.5525660975836217
1701,flow,3,2,1.267683707177639,0.03878244422958228,0.24515928933396933,0.1747467566747218,0.8828125,0.7200444415211678
1701,flow,3,4,1.6111940667033195,0.05533938534790646,0.30959460022859275,0.23167076916433868,0.875,0.9399779075756669
1701,flow,3,8,2.3802384547889233,0.08937692386098203,0.4540104987099767,0.35160129191353917,0.8217592592592593,1.2185852844268084
1701,flow,3,16,3.629623271524906,0.1456447162199765,0.6852578562684357,0.5473825396038592,0.7673611111111112,1.6137046795338392
1701,flow,3,32,5.002791300415993,0.20280361128970978,0.9517116509377956,0.7641395572572947,0.743923611111111,2.224779959768057
