cohort,scope,reference,delta_auroc,delta_ci_low,delta_ci_high,simultaneous_one_sided_lower,bootstrap_two_sided_tail_p,bootstrap_valid,holm_bootstrap_tail_p
clean54,all_common,randi_wild_type,0.04975698750017821,-0.0009438215349823749,0.10093728615360549,-0.008970948606367497,0.0547945205479452,10000,0.0775922407759224
clean54,all_common,cook_struct,0.049102350592413635,0.022980133011009055,0.07469387828157645,0.018988577262786053,0.0005999400059994001,10000,0.0023997600239976003
clean54,all_common,cook_chem,0.04390328432996882,0.01800717166258819,0.06981646374733018,0.01437489809313644,0.0013998600139986002,10000,0.004199580041995801
clean54,all_common,cook_gap,0.05730394601827671,0.002449985943015221,0.11588589066924843,-0.004487208815421728,0.0387961203879612,10000,0.0775922407759224
clean54,strong_fixed_support,randi_wild_type,0.03954169069562463,-0.03469122539066252,0.11528497797161448,-0.04446237640241712,0.27997200279972,10000,0.55994400559944
clean54,strong_fixed_support,cook_struct,0.05981672433879914,0.03151597316578431,0.08875908561384949,0.02798907640867913,0.00019998000199980003,10000,0.0007999200079992001
clean54,strong_fixed_support,cook_chem,0.05730452674897124,0.02503402246504068,0.08936124376719252,0.020409754054372644,0.0005999400059994001,10000,0.0017998200179982003
clean54,strong_fixed_support,cook_gap,0.02271350696547536,-0.03736093119320859,0.0954276447367533,-0.04612040399032162,0.4771522847715228,10000,0.55994400559944
clean54,support50_fixed,randi_wild_type,0.05616592940326803,-0.0024782180972603286,0.11536126720940314,-0.011929801748693817,0.061193880611938804,10000,0.12238776122387761
clean54,support50_fixed,cook_struct,0.047650738819985716,0.01922312968726495,0.07518443432041744,0.015350892517054031,0.000999900009999,10000,0.003999600039996
clean54,support50_fixed,cook_chem,0.04275305149864983,0.01467051386232917,0.07054288654333651,0.010904442424550308,0.0025997400259974,10000,0.0077992200779922
clean54,support50_fixed,cook_gap,0.04947933545055849,-0.011132670719570862,0.11633198334135134,-0.019132324984470483,0.11778822117788221,10000,0.12238776122387761
clean54,endpoint_timing_matched_1frames,randi_wild_type,0.0426732800273657,-0.006555635748584411,0.09393745325213762,-0.012678112328308937,0.0877912208779122,10000,0.0877912208779122
clean54,endpoint_timing_matched_1frames,cook_struct,0.04564493313402285,0.01860157976626167,0.07245799791446775,0.014582927735687682,0.0011998800119988001,10000,0.0047995200479952005
clean54,endpoint_timing_matched_1frames,cook_chem,0.04278617429165377,0.01680405971743286,0.0685918104760103,0.013217894465023352,0.0011998800119988001,10000,0.0047995200479952005
clean54,endpoint_timing_matched_1frames,cook_gap,0.06223674351869957,0.007489262959600477,0.12288961159874458,-0.0017473013145509239,0.0273972602739726,10000,0.0547945205479452
clean54,endpoint_timing_matched_8frames,randi_wild_type,0.10478043357420785,0.04506582966671326,0.1605710668324568,0.03694891907712165,0.000999900009999,10000,0.000999900009999
clean54,endpoint_timing_matched_8frames,cook_struct,0.08524534245613336,0.05358490431857516,0.11586589476409341,0.04914441150464415,0.00019998000199980003,10000,0.0007999200079992001
clean54,endpoint_timing_matched_8frames,cook_chem,0.07733986270591964,0.043256377982274226,0.10974309387295847,0.03950720470831588,0.00019998000199980003,10000,0.0007999200079992001
clean54,endpoint_timing_matched_8frames,cook_gap,0.14558673923408727,0.09115918726504095,0.20167571042293508,0.08431007239221476,0.00019998000199980003,10000,0.0007999200079992001
