cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
clean54,endpoint_mean,state_average,1,16,independent_MC,strong,1749,0.9558137245693548,0.016161572,0.9159519725557461
clean54,endpoint_mean,state_average,1,16,direct_N4096,all,2862,0.8794589685967378,0.03178688,0.8682739343116702
clean54,endpoint_mean,state_average,1,16,direct_N4096,strong,1749,0.8409123285505133,0.03219173,0.8513436249285306
clean54,endpoint_mean,state_average,1,32,generator_0_vs_1,all,2862,0.6636097838374335,0.06275052,0.7526205450733753
clean54,endpoint_mean,state_average,1,32,generator_0_vs_1,strong,1749,0.5802147743884283,0.055024333,0.7352773013150372
clean54,endpoint_mean,state_average,1,32,generator_0_vs_2,all,2862,0.6834659184994282,0.06319557,0.7631027253668763
clean54,endpoint_mean,state_average,1,32,generator_0_vs_2,strong,1749,0.6474672952797386,0.052286908,0.7564322469982847
clean54,endpoint_mean,state_average,1,32,generator_1_vs_2,all,2862,0.6875728794201618,0.060767338,0.7491264849755416
clean54,endpoint_mean,state_average,1,32,generator_1_vs_2,strong,1749,0.6288038412086597,0.05128299,0.722698684962836
clean54,endpoint_mean,state_average,1,32,independent_MC,all,2862,0.9677779505159332,0.018366566,0.9262753319357093
clean54,endpoint_mean,state_average,1,32,independent_MC,strong,1749,0.9592151383006698,0.016705882,0.9199542595769011
clean54,endpoint_mean,state_average,1,32,direct_N4096,all,2862,0.8556597079536674,0.04051281,0.8403214535290007
clean54,endpoint_mean,state_average,1,32,direct_N4096,strong,1749,0.789920350880931,0.041191094,0.8153230417381361
clean54,endpoint_mean,state_average,4,1,generator_0_vs_1,all,2862,0.6259322210792315,0.04393644,0.7351502445842069
clean54,endpoint_mean,state_average,4,1,generator_0_vs_1,strong,1749,0.5848046239844521,0.04201882,0.7244139508290451
clean54,endpoint_mean,state_average,4,1,generator_0_vs_2,all,2862,0.6409350854175384,0.044501796,0.7610062893081762
clean54,endpoint_mean,state_average,4,1,generator_0_vs_2,strong,1749,0.598701462433771,0.042564973,0.7478559176672385
clean54,endpoint_mean,state_average,4,1,generator_1_vs_2,all,2862,0.6299039629679491,0.044520017,0.7519217330538085
clean54,endpoint_mean,state_average,4,1,generator_1_vs_2,strong,1749,0.603135214425055,0.042239223,0.7455688965122927
clean54,endpoint_mean,state_average,4,1,independent_MC,all,2862,0.9205765276084943,0.020081323,0.8839972047519218
clean54,endpoint_mean,state_average,4,1,independent_MC,strong,1749,0.9183536744762942,0.0184288,0.884505431675243
clean54,endpoint_mean,state_average,4,1,direct_N4096,all,2862,0.8784919502464631,0.025451398,0.8630328441649197
clean54,endpoint_mean,state_average,4,1,direct_N4096,strong,1749,0.8655670633067117,0.02497133,0.8570611778158947
clean54,endpoint_mean,state_average,4,2,generator_0_vs_1,all,2862,0.6399236769111935,0.04426321,0.7372466806429071
clean54,endpoint_mean,state_average,4,2,generator_0_vs_1,strong,1749,0.5966372849118844,0.042110074,0.7267009719839909
clean54,endpoint_mean,state_average,4,2,generator_0_vs_2,all,2862,0.6569917402933717,0.044765737,0.7704402515723271
clean54,endpoint_mean,state_average,4,2,generator_0_vs_2,strong,1749,0.6136122848698299,0.042546447,0.7547169811320755
clean54,endpoint_mean,state_average,4,2,generator_1_vs_2,all,2862,0.6448380816614715,0.044781,0.7606568832983928
clean54,endpoint_mean,state_average,4,2,generator_1_vs_2,strong,1749,0.6168561862557803,0.042256813,0.7547169811320755
clean54,endpoint_mean,state_average,4,2,independent_MC,all,2862,0.9262198741337955,0.01985941,0.8850454227812719
clean54,endpoint_mean,state_average,4,2,independent_MC,strong,1749,0.9220746092989951,0.018298421,0.8862206975414523
clean54,endpoint_mean,state_average,4,2,direct_N4096,all,2862,0.8814024629975022,0.025925932,0.8570929419986024
clean54,endpoint_mean,state_average,4,2,direct_N4096,strong,1749,0.8638589729958382,0.025602158,0.8513436249285306
clean54,endpoint_mean,state_average,4,4,generator_0_vs_1,all,2862,0.660553725910892,0.045047287,0.7463312368972747
clean54,endpoint_mean,state_average,4,4,generator_0_vs_1,strong,1749,0.6173562319550835,0.042322442,0.7312750142938822
clean54,endpoint_mean,state_average,4,4,generator_0_vs_2,all,2862,0.679909167929892,0.04542235,0.7672955974842768
clean54,endpoint_mean,state_average,4,4,generator_0_vs_2,strong,1749,0.6403670635310029,0.04240282,0.7564322469982847
clean54,endpoint_mean,state_average,4,4,generator_1_vs_2,all,2862,0.668005351156813,0.045357563,0.7631027253668763
clean54,endpoint_mean,state_average,4,4,generator_1_vs_2,strong,1749,0.6390502462435452,0.04230217,0.7541452258433391
clean54,endpoint_mean,state_average,4,4,independent_MC,all,2862,0.9350596679310677,0.019459289,0.8983228511530398
clean54,endpoint_mean,state_average,4,4,independent_MC,strong,1749,0.9291856608483696,0.018037071,0.8919382504288165
clean54,endpoint_mean,state_average,4,4,direct_N4096,all,2862,0.8827096559531761,0.02699263,0.8588399720475192
clean54,endpoint_mean,state_average,4,4,direct_N4096,strong,1749,0.8622408695315736,0.02671401,0.8502001143510578
clean54,endpoint_mean,state_average,4,8,generator_0_vs_1,all,2862,0.681716658466128,0.047594808,0.7624039133473096
clean54,endpoint_mean,state_average,4,8,generator_0_vs_1,strong,1749,0.6389850605333528,0.04365338,0.7484276729559748
clean54,endpoint_mean,state_average,4,8,generator_0_vs_2,all,2862,0.7063285227396305,0.04752014,0.7767295597484277
clean54,endpoint_mean,state_average,4,8,generator_0_vs_2,strong,1749,0.6753618268955256,0.042830616,0.7655803316180675
clean54,endpoint_mean,state_average,4,8,generator_1_vs_2,all,2862,0.6972652439241058,0.047271,0.7725366876310272
clean54,endpoint_mean,state_average,4,8,generator_1_vs_2,strong,1749,0.6680681665383534,0.04308107,0.7621497998856489
clean54,endpoint_mean,state_average,4,8,independent_MC,all,2862,0.9478396183830099,0.018800287,0.9084556254367575
clean54,endpoint_mean,state_average,4,8,independent_MC,strong,1749,0.9402036899243409,0.017608708,0.8999428244711264
clean54,endpoint_mean,state_average,4,8,direct_N4096,all,2862,0.8780389765477503,0.029877339,0.8556953179594688
clean54,endpoint_mean,state_average,4,8,direct_N4096,strong,1749,0.8462081297658345,0.029950943,0.8353344768439108
clean54,endpoint_mean,state_average,4,16,generator_0_vs_1,all,2862,0.6830799541315505,0.05367527,0.7526205450733753
clean54,endpoint_mean,state_average,4,16,generator_0_vs_1,strong,1749,0.6356898458391484,0.047371756,0.7438536306460835
clean54,endpoint_mean,state_average,4,16,generator_0_vs_2,all,2862,0.7214581211040489,0.05260726,0.7882599580712788
clean54,endpoint_mean,state_average,4,16,generator_0_vs_2,strong,1749,0.6985109720381945,0.044634305,0.7873070325900514
clean54,endpoint_mean,state_average,4,16,generator_1_vs_2,all,2862,0.7102562588979194,0.052492194,0.7742837176799441
clean54,endpoint_mean,state_average,4,16,generator_1_vs_2,strong,1749,0.6767319020947101,0.04565501,0.7610062893081762
clean54,endpoint_mean,state_average,4,16,independent_MC,all,2862,0.9589136434508342,0.018311236,0.9217330538085255
clean54,endpoint_mean,state_average,4,16,independent_MC,strong,1749,0.9489256312531645,0.017374843,0.9245283018867925
clean54,endpoint_mean,state_average,4,16,direct_N4096,all,2862,0.875623858030775,0.03390305,0.8581411600279525
clean54,endpoint_mean,state_average,4,16,direct_N4096,strong,1749,0.8374905890275692,0.034059327,0.8439108061749572
clean54,endpoint_mean,state_average,4,32,generator_0_vs_1,all,2862,0.6235470744532862,0.066025496,0.7396925227113906
clean54,endpoint_mean,state_average,4,32,generator_0_vs_1,strong,1749,0.5546677043866283,0.055603262,0.7261292166952544
clean54,endpoint_mean,state_average,4,32,generator_0_vs_2,all,2862,0.6723077559164922,0.06439476,0.7690426275331935
clean54,endpoint_mean,state_average,4,32,generator_0_vs_2,strong,1749,0.6334501785076458,0.05191009,0.7644368210405946
clean54,endpoint_mean,state_average,4,32,generator_1_vs_2,all,2862,0.6597582765708717,0.063406885,0.7526205450733753
clean54,endpoint_mean,state_average,4,32,generator_1_vs_2,strong,1749,0.6083982399880676,0.05182413,0.7341337907375644
clean54,endpoint_mean,state_average,4,32,independent_MC,all,2862,0.9649261357316371,0.018315392,0.9210342417889588
clean54,endpoint_mean,state_average,4,32,independent_MC,strong,1749,0.9509037931543004,0.017686253,0.9165237278444825
clean54,endpoint_mean,state_average,4,32,direct_N4096,all,2862,0.8579385826448394,0.041007698,0.8515024458420685
clean54,endpoint_mean,state_average,4,32,direct_N4096,strong,1749,0.8067438512008261,0.04076238,0.8336192109777015
clean54,endpoint_mean,state_average,8,1,generator_0_vs_1,all,2862,0.6687910603488875,0.04557443,0.7487770789657582
clean54,endpoint_mean,state_average,8,1,generator_0_vs_1,strong,1749,0.6353953898094478,0.041579053,0.7409948542024014
clean54,endpoint_mean,state_average,8,1,generator_0_vs_2,all,2862,0.681321506786114,0.046247777,0.7690426275331935
clean54,endpoint_mean,state_average,8,1,generator_0_vs_2,strong,1749,0.6513261489169264,0.042521924,0.7598627787307033
clean54,endpoint_mean,state_average,8,1,generator_1_vs_2,all,2862,0.6669230926464124,0.045794666,0.756114605171209
clean54,endpoint_mean,state_average,8,1,generator_1_vs_2,strong,1749,0.6199782415244615,0.043468732,0.7398513436249285
clean54,endpoint_mean,state_average,8,1,independent_MC,all,2862,0.941892533232965,0.01908203,0.9091544374563243
clean54,endpoint_mean,state_average,8,1,independent_MC,strong,1749,0.9386098036500006,0.01697511,0.9125214408233276
clean54,endpoint_mean,state_average,8,1,direct_N4096,all,2862,0.8873469456113686,0.0268217,0.8696715583508037
clean54,endpoint_mean,state_average,8,1,direct_N4096,strong,1749,0.8662439154041416,0.026145231,0.8639222412807318
