fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,ADF,1,1.0,1,-0.018719436135143035,0.06575059964171022,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,1,1.0,2,-0.05120289822419483,0.11480254417091754,0.5426829755306244,1.0
0,baseline,1,ADE,ADF,2,1.0,1,-0.0158909937987725,0.06639504964870133,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,2,1.0,2,-0.04482630391915637,0.10580896859439888,0.5426829755306244,1.0
0,baseline,1,ADE,ADF,4,1.0,1,0.007667825867732366,0.062302732127622655,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,4,1.0,2,-0.01773605868220327,0.09142747912315238,0.5426829755306244,1.0
0,baseline,1,ADE,ADF,8,1.0,1,0.017265588045120232,0.05669019776054993,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,8,1.0,2,0.004448197161157931,0.06516923282755162,0.5426829755306244,1.0
0,baseline,1,ADE,ADF,16,1.0,1,0.0443886052817106,0.05276179045244174,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,16,1.0,2,0.042513479789098065,0.045147361483867915,0.5426829755306244,1.0
0,baseline,1,ADE,ADF,32,1.0,1,0.0791219156235456,0.07314764589537462,0.5481003721555074,1.0
0,baseline,1,ADE,ADF,32,1.0,2,0.1067260491351286,0.055512331883605465,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,1,1.0,1,0.032655045390129075,0.16511921394144052,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,1,1.0,2,-0.04850043853123981,0.18627391761342016,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,2,1.0,1,0.026191264390945396,0.16753606527945783,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,2,1.0,2,-0.055246849854787165,0.1889962068174547,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,4,1.0,1,0.014986373484134665,0.1727077351198405,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,4,1.0,2,-0.06706838806470236,0.19646329189175565,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,8,1.0,1,0.0068096518516540345,0.18270876865604416,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,8,1.0,2,-0.07872029145558676,0.20655294587474476,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,16,1.0,1,0.02510750417908029,0.1953273572824157,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,16,1.0,2,-0.06415422757466634,0.22377810421193325,0.5426829755306244,1.0
0,baseline,1,ADE,ADL,32,1.0,1,0.07195196052392322,0.20911320012295628,0.5481003721555074,1.0
0,baseline,1,ADE,ADL,32,1.0,2,-0.013478895028432173,0.23661888092783426,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,1,1.0,1,0.053297052780787134,0.07719596035585628,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,1,1.0,2,-0.00225815425316489,0.17909586176908215,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,2,1.0,1,0.05446638166904447,0.07083706282190827,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,2,1.0,2,0.0026089176535606753,0.1748527325115893,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,4,1.0,1,0.0626577040335784,0.06322996221771907,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,4,1.0,2,0.018658166130383836,0.16842955569579113,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,8,1.0,1,0.06584967734913029,0.05659639225687706,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,8,1.0,2,0.036772305766741474,0.1539339247577434,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,16,1.0,1,0.0857570928831895,0.05654039378217472,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,16,1.0,2,0.07661986847718553,0.12909416727433587,0.5426829755306244,1.0
0,baseline,1,ADE,AFD,32,1.0,1,0.1032961805661519,0.06615059917146596,0.5481003721555074,1.0
0,baseline,1,ADE,AFD,32,1.0,2,0.12227442736426984,0.09452536579731698,0.5426829755306244,1.0
0,baseline,1,ADE,AIB,1,1.0,1,-0.003566307326157897,0.14146023304615454,0.5481003721555074,1.0
0,baseline,1,ADE,AIB,1,1.0,2,-0.01016686980923017,0.09904649198668702,0.5426829755306244,1.0
