dgp_family,candidate,baseline,geometric_mean_error_ratio,ci_lower,ci_upper,candidate_superior,orth_superior,n_dgp_seeds,bootstrap_replicates
E11_ordering,ANALYTIC_MDN_K10,ORTH,3.4461662133674484,3.201314599058652,3.7058715485504736,False,True,10,2000
E11_ordering,ANALYTIC_MDN_K20,ORTH,3.486550937193039,3.2364454994180343,3.7390969508597216,False,True,10,2000
E11_ordering,ANALYTIC_MDN_K5,ORTH,3.293017153227257,3.0765284043050074,3.5323205810175877,False,True,10,2000
E11_ordering,NSF_10,ORTH,2.5871653338698843,2.3711025730623687,2.8471840290505472,False,True,10,2000
E11_ordering,NSF_6,ORTH,2.8375737484741967,2.5880590647351824,3.08728565415661,False,True,10,2000
E1_gaussian,ANALYTIC_MDN_K10,ORTH,0.9552507108507753,0.8681422287821231,1.0450205773457162,False,False,10,2000
E1_gaussian,ANALYTIC_MDN_K20,ORTH,1.0221418596230603,0.9166162228788123,1.1483451060476997,False,False,10,2000
E1_gaussian,ANALYTIC_MDN_K5,ORTH,0.9062330032048593,0.8210399906396688,0.9944025345361139,False,False,10,2000
E1_gaussian,NSF_10,ORTH,1.1302893121720816,1.0197122526223512,1.2446894837010392,False,False,10,2000
E1_gaussian,NSF_6,ORTH,1.0972634411240787,0.9972144634613227,1.1977148734021539,False,False,10,2000
E4_continuous,ANALYTIC_MDN_K10,ORTH,1.5615202617878159,1.2626757517259197,1.9416107205026594,False,True,10,2000
E4_continuous,ANALYTIC_MDN_K20,ORTH,1.3652919439511735,1.152981650216219,1.631255466527367,False,True,10,2000
E4_continuous,ANALYTIC_MDN_K5,ORTH,1.731953124407982,1.3987854013133412,2.106529974300202,False,True,10,2000
E4_continuous,NSF_10,ORTH,1.7338589270549984,1.3204535870632015,2.2737778188291764,False,True,10,2000
E4_continuous,NSF_6,ORTH,1.588578135858424,1.382613351472104,1.8770478048954098,False,True,10,2000
E4_discrete,ANALYTIC_MDN_K10,ORTH,4.804542646247907,3.9059459031201746,5.70378665798425,False,True,10,2000
E4_discrete,ANALYTIC_MDN_K20,ORTH,4.781755111113346,3.8433452104544865,5.756294462718671,False,True,10,2000
E4_discrete,ANALYTIC_MDN_K5,ORTH,4.8946816153428765,3.9421753240612936,5.898440085404824,False,True,10,2000
E4_discrete,NSF_10,ORTH,1.8401449727060697,1.600624624627798,2.0834820750044964,False,True,10,2000
E4_discrete,NSF_6,ORTH,1.8934904876218068,1.6707669912196406,2.129901395312005,False,True,10,2000
E5_support_motion,ANALYTIC_MDN_K10,ORTH,1.0851347005354652,0.8682041172749232,1.426529320091471,False,False,10,2000
E5_support_motion,ANALYTIC_MDN_K20,ORTH,0.8669520777757704,0.7451427443356425,1.0100490548272878,False,False,10,2000
E5_support_motion,ANALYTIC_MDN_K5,ORTH,1.3501615897957944,1.033838239746319,1.7941054307424187,False,False,10,2000
E5_support_motion,NSF_10,ORTH,1.5603547722266107,1.2561467947796727,1.929734764343904,False,True,10,2000
E5_support_motion,NSF_6,ORTH,1.4052756638699764,1.10678258410362,1.8945486570485222,False,False,10,2000
E8_filtered,ANALYTIC_MDN_K10,ORTH,1.6206329494809948,1.4301659929068467,1.8493748423177725,False,True,10,2000
E8_filtered,ANALYTIC_MDN_K20,ORTH,1.5839376111820411,1.3918205000745774,1.8198671772970767,False,True,10,2000
E8_filtered,ANALYTIC_MDN_K5,ORTH,1.5372159675051114,1.3240862500648614,1.769804955267201,False,True,10,2000
E8_filtered,NSF_10,ORTH,1.774718012714699,1.5002904874074918,2.0828381841994212,False,True,10,2000
E8_filtered,NSF_6,ORTH,1.6466354897091606,1.4320895465560082,1.9037595196905661,False,True,10,2000
E9_dense,ANALYTIC_MDN_K10,ORTH,0.8314010732636771,0.6845787553892375,1.0196025519543215,False,False,10,2000
E9_dense,ANALYTIC_MDN_K20,ORTH,0.7247309799227369,0.5667641002042867,0.9489567225831612,False,False,10,2000
E9_dense,ANALYTIC_MDN_K5,ORTH,1.0464042218809408,0.8069896380431059,1.3900957635049542,False,False,10,2000
E9_dense,NSF_10,ORTH,1.7074697052712304,1.3454205868820615,2.271551882552502,False,True,10,2000
E9_dense,NSF_6,ORTH,1.8298220065764852,1.4957583132299732,2.2679556751851924,False,True,10,2000
ALL_7_FAMILIES,ANALYTIC_MDN_K10,ORTH,1.6692403739063817,1.5597572280245378,1.7862577639593298,False,True,10,2000
ALL_7_FAMILIES,ANALYTIC_MDN_K20,ORTH,1.566560414377916,1.4518538833159482,1.6953000111097931,False,True,10,2000
ALL_7_FAMILIES,ANALYTIC_MDN_K5,ORTH,1.7723897259714345,1.6096157651847471,1.9558707726013793,False,True,10,2000
ALL_7_FAMILIES,NSF_10,ORTH,1.7176740718758354,1.6115371433172936,1.840713128119011,False,True,10,2000
ALL_7_FAMILIES,NSF_6,ORTH,1.6917190167729306,1.5485276352240784,1.8478415795495964,False,True,10,2000
