cell_id,method,covariance_nrmse,feature_nrmse,response_angle,source_angle,rank_error,null_fwer,n_dgp_seeds
axis_aligned_K1,DIRECT_COV_ORTH,0.48594808794276706,0.48594808794276706,3.6547922337125796,11.023739228008798,0.0,0.2,10
axis_aligned_K1,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.22959183973945022,0.22959183973945022,3.654792233712579,10.972510404992668,0.0,0.2,10
axis_aligned_K1,ORTH_CHARACTERISTIC_INVERSION,0.4202307521072233,5.596272558965179,2.9205745580146227,11.160619999841979,0.0,0.0,10
axis_aligned_K3,DIRECT_COV_ORTH,0.5532394303914894,0.5532394303914894,9.311163771920247,70.61469111499976,0.0,0.1,10
axis_aligned_K3,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.4316138513852954,0.4316138513852954,9.311163771920251,68.97625709076756,0.03333333333333333,0.1,10
axis_aligned_K3,ORTH_CHARACTERISTIC_INVERSION,0.6207509681651918,4.70686447658255,64.0896449441812,75.37475463488954,0.6,0.16666666666666666,10
history16_rotated_K3,DIRECT_COV_ORTH,0.7675559088511646,0.7675559088511646,16.596382614130686,79.44310317540928,0.6666666666666666,0.0,10
history16_rotated_K3,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.6128508413933226,0.6128508413933226,23.569164251795186,76.82743485798393,0.2,0.0,10
history16_rotated_K3,ORTH_CHARACTERISTIC_INVERSION,0.7053202275345285,4.067738813891443,27.35850037414932,80.6748328943604,1.9333333333333333,0.06666666666666667,10
n32000_rotated_K3,DIRECT_COV_ORTH,0.2693057117939891,0.2693057117939891,14.142207873494973,64.99656585650897,1.0,0.0,10
n32000_rotated_K3,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.16240691154483664,0.16240691154483664,71.1980162953448,57.79405949697944,1.0,0.0,10
n32000_rotated_K3,ORTH_CHARACTERISTIC_INVERSION,0.46896496624391004,1.5563565484261814,50.51762827789948,65.59801914652493,0.2,0.03333333333333333,10
response32_rotated_K3,DIRECT_COV_ORTH,1.224731674123045,1.224731674123045,16.006114061430505,72.64302024579432,9.2,0.0,10
response32_rotated_K3,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.8491837811716678,0.8491837811716678,18.360403053940768,72.55694000551381,3.2,0.0,10
response32_rotated_K3,ORTH_CHARACTERISTIC_INVERSION,1.0166159335966838,5.952770538228303,78.27412374202858,76.90425285700198,18.9,0.06666666666666667,10
rotated_K1,DIRECT_COV_ORTH,0.4949276225776249,0.4949276225776249,4.290118546270332,11.612390275450515,0.0,0.1,10
rotated_K1,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.24931602752857424,0.24931602752857424,4.290118546270332,11.565206697266879,0.0,0.1,10
rotated_K1,ORTH_CHARACTERISTIC_INVERSION,0.4949013419334214,3.347781949555102,8.305400350867682,11.621191941346167,0.1,0.0,10
rotated_K5,DIRECT_COV_ORTH,0.6587398266174878,0.6587398266174878,23.023998543841422,71.15401126620542,0.7,0.13333333333333333,10
rotated_K5,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.5828214846455008,0.5828214846455008,48.10771812133878,72.12544235832063,0.7,0.13333333333333333,10
rotated_K5,ORTH_CHARACTERISTIC_INVERSION,0.6612026162657049,3.40371585577531,42.99157387748921,71.77535675943268,1.1666666666666667,0.06666666666666667,10
rotated_sparse_K3,DIRECT_COV_ORTH,0.7886549463226002,0.7886549463226002,18.20628497724023,75.61689595197683,0.7,0.0,10
rotated_sparse_K3,DIRECT_COV_ORTH_LOW_RANK_SELECTED,0.65575551358337,0.65575551358337,23.981033932623156,75.14553038167644,0.7666666666666667,0.0,10
rotated_sparse_K3,ORTH_CHARACTERISTIC_INVERSION,0.7289379867538125,4.872905367980293,30.257207962570643,77.50306307858467,2.2,0.06666666666666667,10
