cohort,panel,normalization,first,second,scope,horizon,eligible_cells,total_cells,coverage,mean_abs_difference,rmse,median_abs_difference,mean_abs_first,mean_abs_second,median_mc_sd_first,median_mc_sd_second,median_paired_se,median_change_over_se,fraction_change_over_2se,spearman,sign_agreement
clean54,solver,normalized_effect,1,2,valid_positive_gap,all,10176,10176,1.0,0.03583219933246309,0.04873859305442285,0.027156300842761966,0.09529975709221124,0.09378379281405759,0.08515474230122723,0.0848813014590461,0.03552782081089109,0.7758788344252694,0.15782232704402516,0.8987379591307565,0.8805031446540881
clean54,solver,normalized_effect,1,2,valid_positive_gap,1,1696,1696,1.0,0.035808524482809856,0.048298778817123855,0.02732985218365986,0.08665683203155716,0.08571130082424609,0.08527734705012743,0.08660573445108724,0.03526272622685625,0.7915707552523341,0.1650943396226415,0.8770406543798182,0.8567216981132075
clean54,solver,normalized_effect,1,2,valid_gap_ge_0.1,all,10176,10176,1.0,0.03583219933246309,0.04873859305442285,0.027156300842761966,0.09529975709221124,0.09378379281405759,0.08515474230122723,0.0848813014590461,0.03552782081089109,0.7758788344252694,0.15782232704402516,0.8987379591307565,0.8805031446540881
clean54,solver,normalized_effect,1,2,valid_gap_ge_0.1,1,1696,1696,1.0,0.035808524482809856,0.048298778817123855,0.02732985218365986,0.08665683203155716,0.08571130082424609,0.08527734705012743,0.08660573445108724,0.03526272622685625,0.7915707552523341,0.1650943396226415,0.8770406543798182,0.8567216981132075
clean54,solver,requested_normalized_effect,1,2,valid_positive_gap,all,10176,10176,1.0,0.01762892558723861,0.025294956158630397,0.012454486452043046,0.04438389036757953,0.043633672695851396,0.04071009256525161,0.03937937147330016,0.016522086538491236,0.7809897793171442,0.15752751572327045,0.8863570513742098,0.8840408805031447
clean54,solver,requested_normalized_effect,1,2,valid_positive_gap,1,1696,1696,1.0,0.017650300545841366,0.02499660241050345,0.012204764915319799,0.04058142970669429,0.040044314318877276,0.04135958669438211,0.04047104987657528,0.016425182745850756,0.8030711610226822,0.1633254716981132,0.8622594207038184,0.8573113207547169
clean54,solver,requested_normalized_effect,1,2,valid_gap_ge_0.1,all,10176,10176,1.0,0.01762892558723861,0.025294956158630397,0.012454486452043046,0.04438389036757953,0.043633672695851396,0.04071009256525161,0.03937937147330016,0.016522086538491236,0.7809897793171442,0.15752751572327045,0.8863570513742098,0.8840408805031447
clean54,solver,requested_normalized_effect,1,2,valid_gap_ge_0.1,1,1696,1696,1.0,0.017650300545841366,0.02499660241050345,0.012204764915319799,0.04058142970669429,0.040044314318877276,0.04135958669438211,0.04047104987657528,0.016425182745850756,0.8030711610226822,0.1633254716981132,0.8622594207038184,0.8573113207547169
