rho,horizon,n_train,frequency_band,method,nrmse,coverage,rho_abs_error,max_inverse_attenuation,seeds
0.9,4,32000,wide,CF_DECONV_KNOWN_PLUG,0.0663947772982063,0.3208333333333333,0.0,1.181521943258521,10
0.9,4,32000,wide,CF_DECONV_KNOWN_RIESZ,0.06761339716081513,0.9708333333333334,0.0,1.181521943258521,10
0.9,4,32000,wide,LATENT_ORACLE_ORTH,0.048298901223392185,0.9208333333333334,0.00549685030775553,1.0,10
0.9,4,32000,wide,LATENT_ORACLE_PLUG,0.04664654692251704,0.4208333333333333,0.00549685030775553,1.0,10
0.9,4,32000,wide,LATENT_ORACLE_RIESZ,0.04871809320601404,0.95,0.00549685030775553,1.0,10
0.9,4,32000,wide,POINT_ESTIMATED_ORTH,0.17223938093401714,0.7375,0.00549685030775553,1.1817009253828061,10
0.9,4,32000,wide,POINT_ESTIMATED_PLUG,0.17244900469723273,0.10833333333333331,0.00549685030775553,1.1817009253828061,10
0.9,4,32000,wide,POINT_ESTIMATED_RIESZ,0.17198464920283635,0.875,0.00549685030775553,1.1817009253828061,10
0.9,4,32000,wide,POINT_KNOWN_ORTH,0.13701137280721748,0.8791666666666667,0.0,1.181521943258521,10
0.9,4,32000,wide,POINT_KNOWN_PLUG,0.13705249617443355,0.2208333333333333,0.0,1.181521943258521,10
0.9,4,32000,wide,POINT_KNOWN_RIESZ,0.13644650199983743,0.9166666666666666,0.0,1.181521943258521,10
0.9,4,32000,wide,ZERO,1.0,0.0,0.00549685030775553,1.181521943258521,10
0.9,16,8000,low,CF_DECONV_ESTIMATED_ORTH,0.7241504580292333,0.8875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,CF_DECONV_ESTIMATED_PLUG,0.7267033874981854,0.21875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,CF_DECONV_ESTIMATED_RIESZ,0.7180086106805696,0.91875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,CF_DECONV_KNOWN_ORTH,0.6590308823344998,0.75625,0.0,1.0158650121325503,10
0.9,16,8000,low,CF_DECONV_KNOWN_PLUG,0.6562459102924447,0.25625,0.0,1.0158650121325503,10
0.9,16,8000,low,CF_DECONV_KNOWN_RIESZ,0.64796703662057,0.9,0.0,1.0158650121325503,10
0.9,16,8000,low,LATENT_ORACLE_ORTH,0.5548410267005913,0.8375,0.0152724260512244,1.0,10
0.9,16,8000,low,LATENT_ORACLE_PLUG,0.5429389377887832,0.15625,0.0152724260512244,1.0,10
0.9,16,8000,low,LATENT_ORACLE_RIESZ,0.5432290286131496,0.95,0.0152724260512244,1.0,10
0.9,16,8000,low,POINT_ESTIMATED_ORTH,0.7088760497625272,0.8875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,POINT_ESTIMATED_PLUG,0.7116273379422984,0.21875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,POINT_ESTIMATED_RIESZ,0.7027760067858806,0.91875,0.0152724260512244,1.017887791444947,10
0.9,16,8000,low,POINT_KNOWN_ORTH,0.6497700170894884,0.775,0.0,1.0158650121325503,10
0.9,16,8000,low,POINT_KNOWN_PLUG,0.6471956334353246,0.29375,0.0,1.0158650121325503,10
0.9,16,8000,low,POINT_KNOWN_RIESZ,0.6391971756492771,0.9,0.0,1.0158650121325503,10
0.9,16,8000,low,ZERO,1.0,0.0,0.0152724260512244,1.0158650121325503,10
0.9,16,8000,wide,CF_DECONV_ESTIMATED_ORTH,0.3113203401759868,0.8,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,CF_DECONV_ESTIMATED_PLUG,0.3156371513696544,0.2375,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,CF_DECONV_ESTIMATED_RIESZ,0.31176952835416,0.8625,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,CF_DECONV_KNOWN_ORTH,0.17800957709865792,0.775,0.0,1.1033797718159013,10
0.9,16,8000,wide,CF_DECONV_KNOWN_PLUG,0.1774090901689523,0.25,0.0,1.1033797718159013,10
0.9,16,8000,wide,CF_DECONV_KNOWN_RIESZ,0.17550681930401246,0.9,0.0,1.1033797718159013,10
0.9,16,8000,wide,LATENT_ORACLE_ORTH,0.1436468099744101,0.8708333333333333,0.0152724260512244,1.0,10
0.9,16,8000,wide,LATENT_ORACLE_PLUG,0.14173924092049786,0.18333333333333332,0.0152724260512244,1.0,10
0.9,16,8000,wide,LATENT_ORACLE_RIESZ,0.13978861516042854,0.95,0.0152724260512244,1.0,10
0.9,16,8000,wide,POINT_ESTIMATED_ORTH,0.2518526074379876,0.8375,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,POINT_ESTIMATED_PLUG,0.25687399800682365,0.2125,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,POINT_ESTIMATED_RIESZ,0.25150294853542765,0.8875,0.0152724260512244,1.1175311351521195,10
0.9,16,8000,wide,POINT_KNOWN_ORTH,0.1700971333680047,0.7875,0.0,1.1033797718159013,10
0.9,16,8000,wide,POINT_KNOWN_PLUG,0.17128153869107943,0.26666666666666666,0.0,1.1033797718159013,10
0.9,16,8000,wide,POINT_KNOWN_RIESZ,0.1673345474612209,0.9,0.0,1.1033797718159013,10
0.9,16,8000,wide,ZERO,1.0,0.0,0.0152724260512244,1.1033797718159013,10
0.9,16,32000,low,CF_DECONV_ESTIMATED_ORTH,0.3693523994511511,0.7375,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,CF_DECONV_ESTIMATED_PLUG,0.36403574993393367,0.1,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,CF_DECONV_ESTIMATED_RIESZ,0.36499751737146174,0.9875,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,CF_DECONV_KNOWN_ORTH,0.2597200129624453,0.95,0.0,1.0158650121325503,10
0.9,16,32000,low,CF_DECONV_KNOWN_PLUG,0.25437701643113453,0.15,0.0,1.0158650121325503,10
0.9,16,32000,low,CF_DECONV_KNOWN_RIESZ,0.25021846952135096,1.0,0.0,1.0158650121325503,10
0.9,16,32000,low,LATENT_ORACLE_ORTH,0.21827295787801523,0.95,0.011989993940929259,1.0,10
0.9,16,32000,low,LATENT_ORACLE_PLUG,0.21138429058160738,0.25,0.011989993940929259,1.0,10
0.9,16,32000,low,LATENT_ORACLE_RIESZ,0.21369689861313051,1.0,0.011989993940929259,1.0,10
0.9,16,32000,low,POINT_ESTIMATED_ORTH,0.36774057406291843,0.7375,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,POINT_ESTIMATED_PLUG,0.36250055241591583,0.1,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,POINT_ESTIMATED_RIESZ,0.3636084232630981,0.9875,0.011989993940929259,1.0149989414235248,10
0.9,16,32000,low,POINT_KNOWN_ORTH,0.2594961154805932,0.95,0.0,1.0158650121325503,10
0.9,16,32000,low,POINT_KNOWN_PLUG,0.25436574452676536,0.13125,0.0,1.0158650121325503,10
0.9,16,32000,low,POINT_KNOWN_RIESZ,0.25028228861996,1.0,0.0,1.0158650121325503,10
