audit,intercept_scheme,response_dim,n_train,method,covariance_nrmse,feature_nrmse,response_angle,source_angle,coverage,null_fwer,selected_rank,seeds
identifiability_ridge_1e-4,identified,8,128000,ZERO,1.0,1.0,90.0,90.0,0.0,0.0,0.0,10
identifiability_ridge_1e-4,symmetric,8,8000,ORACLE_CHARACTERISTIC_INVERSION,0.6793016100644822,0.0,35.104178572236066,0.010288820400544612,1.0,0.0,3.2,10
identifiability_ridge_1e-4,symmetric,8,8000,ORACLE_RESPONSE_SUBSPACE_PROJECTED,0.26952292473623685,0.26952292473623685,2.6958805927997787e-14,22.649710635217723,0.9559027777777779,0.1,2.0,10
identifiability_ridge_1e-4,symmetric,8,8000,ORTH_CHARACTERISTIC_INVERSION,0.7254913308740859,5.1096671610596935,40.568700071697734,26.880445169924098,0.9537109375,0.1,4.1,10
identifiability_ridge_1e-4,symmetric,8,8000,ORTH_DIRECT_COV,0.5273836192286792,0.5273836192286792,6.900582071371227,24.87774968459886,0.9559027777777779,0.1,2.8,10
identifiability_ridge_1e-4,symmetric,8,8000,ORTH_DIRECT_COV_LOW_RANK_EFFECTIVE,0.30382073722654696,0.30382073722654696,6.900582071371231,22.45881986449356,0.9559027777777779,0.1,2.0,10
identifiability_ridge_1e-4,symmetric,8,8000,PLUG_CHARACTERISTIC_INVERSION,0.7249328065997743,5.044616313596167,40.35702075683557,26.67150523385751,0.11220703125,1.0,4.1,10
identifiability_ridge_1e-4,symmetric,8,8000,PLUG_DIRECT_COV,0.5251647916367106,0.5251647916367106,6.8589134458716305,26.598021847013143,0.11111111111111108,1.0,2.8,10
identifiability_ridge_1e-4,symmetric,8,8000,RIESZ_CHARACTERISTIC_INVERSION,1.7742223984436865,6.343233655416114,76.84277810748176,67.29091415183788,0.97587890625,0.0,7.0,10
identifiability_ridge_1e-4,symmetric,8,8000,RIESZ_DIRECT_COV,0.5281163077224322,0.5281163077224322,6.947158840295541,25.457493403900777,0.9663194444444445,0.0,2.8,10
identifiability_ridge_1e-4,symmetric,8,8000,ZERO,1.0,1.0,90.0,90.0,0.0,0.0,0.0,10
identifiability_ridge_1e-4,symmetric,8,32000,ORACLE_CHARACTERISTIC_INVERSION,0.6793016100644822,0.0,35.104178572236066,0.010288820400544612,1.0,0.0,3.2,10
identifiability_ridge_1e-4,symmetric,8,32000,ORACLE_RESPONSE_SUBSPACE_PROJECTED,0.1531653984439235,0.1531653984439235,2.70484394829086e-14,21.545731900235474,0.94375,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,32000,ORTH_CHARACTERISTIC_INVERSION,0.6910085657327472,2.4329754988392227,35.658204700507355,24.90679239520236,0.95244140625,0.0,3.4,10
identifiability_ridge_1e-4,symmetric,8,32000,ORTH_DIRECT_COV,0.27824575887874275,0.27824575887874275,3.6131190526702897,24.1390865344183,0.94375,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,32000,ORTH_DIRECT_COV_LOW_RANK_EFFECTIVE,0.1667673043052483,0.1667673043052483,3.613119052670291,21.75441426520308,0.94375,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,32000,PLUG_CHARACTERISTIC_INVERSION,0.6907236445710507,2.4268267482528425,35.661670518259236,24.862769942758014,0.0703125,1.0,3.4,10
identifiability_ridge_1e-4,symmetric,8,32000,PLUG_DIRECT_COV,0.27637651828842746,0.27637651828842746,3.5389477113604273,24.012983749987495,0.062499999999999944,1.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,32000,RIESZ_CHARACTERISTIC_INVERSION,0.8260763083829243,2.686003059459952,53.94992163575258,55.22459714377993,0.9787109375,0.0,6.0,10
identifiability_ridge_1e-4,symmetric,8,32000,RIESZ_DIRECT_COV,0.2775034806411695,0.2775034806411695,3.5646381872091277,23.6917722714257,0.9555555555555555,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,32000,ZERO,1.0,1.0,90.0,90.0,0.0,0.0,0.0,10
identifiability_ridge_1e-4,symmetric,8,128000,ORACLE_CHARACTERISTIC_INVERSION,0.6793016100644822,0.0,35.104178572236066,0.010288820400544612,1.0,0.0,3.2,10
identifiability_ridge_1e-4,symmetric,8,128000,ORACLE_RESPONSE_SUBSPACE_PROJECTED,0.07489392368974344,0.07489392368974344,3.261794338047636e-14,14.134706909473513,0.9569444444444445,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,128000,ORTH_CHARACTERISTIC_INVERSION,0.6832178108500254,1.2697503344895817,35.74657003170213,17.721288624634337,0.95419921875,0.0,3.3,10
identifiability_ridge_1e-4,symmetric,8,128000,ORTH_DIRECT_COV,0.13401467714725726,0.13401467714725726,2.0506401237910437,14.396747787816427,0.9569444444444445,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,128000,ORTH_DIRECT_COV_LOW_RANK_EFFECTIVE,0.08306376184175925,0.08306376184175925,2.050640123791044,14.174051909311931,0.9569444444444445,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,128000,PLUG_CHARACTERISTIC_INVERSION,0.6831669417278649,1.2694747445690728,35.75724217799181,18.18297060309185,0.055859375,1.0,3.3,10
identifiability_ridge_1e-4,symmetric,8,128000,PLUG_DIRECT_COV,0.13386081287793342,0.13386081287793342,2.049856369665506,14.979503367680513,0.05277777777777774,1.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,128000,RIESZ_CHARACTERISTIC_INVERSION,0.7056204465902296,1.3319487910287773,40.44509583017579,32.42741255908245,0.976953125,0.0,4.0,10
identifiability_ridge_1e-4,symmetric,8,128000,RIESZ_DIRECT_COV,0.1331832748873128,0.1331832748873128,2.0579403255658115,14.397839097765004,0.9715277777777779,0.0,2.0,10
identifiability_ridge_1e-4,symmetric,8,128000,ZERO,1.0,1.0,90.0,90.0,0.0,0.0,0.0,10
inversion_ridge_1e-8,identified,8,8000,ORACLE_CHARACTERISTIC_INVERSION,0.01108724572172942,0.0,0.265658651542861,7.959449369008516e-13,1.0,0.0,2.9,10
inversion_ridge_1e-8,identified,8,8000,ORTH_CHARACTERISTIC_INVERSION,0.4006451002188448,3.9674868939649492,8.181988575651285,29.993875165580086,0.9560546875,0.0,3.0,10
inversion_ridge_1e-8,identified,8,8000,PLUG_CHARACTERISTIC_INVERSION,0.4019109928319412,3.910294955505705,8.643327855285502,31.672073415284387,0.11279296875,1.0,2.9,10
inversion_ridge_1e-8,identified,8,8000,RIESZ_CHARACTERISTIC_INVERSION,4.508956963172516,4.981979818140756,74.21352045580493,67.44006449193748,0.9779296875,0.0,4.9,10
inversion_ridge_1e-8,identified,8,32000,ORACLE_CHARACTERISTIC_INVERSION,0.01108724572172942,0.0,0.265658651542861,7.959449369008516e-13,1.0,0.0,2.9,10
inversion_ridge_1e-8,identified,8,32000,ORTH_CHARACTERISTIC_INVERSION,0.2172441334873365,1.9255499727888812,5.134900338592102,17.401595052134635,0.95087890625,0.1,2.8,10
inversion_ridge_1e-8,identified,8,32000,PLUG_CHARACTERISTIC_INVERSION,0.21656242257383823,1.9163176891474567,5.077935903044608,17.184073337274565,0.06982421875,1.0,2.8,10
