dgp_family,cell_id,n_train,method,target_abs_error,coverage,alpha_nrmse,oracle_representer_norm,seeds
gap,gap_mu4_n32000_w128_r1e-03,32000,OR_R,0.02993634478205983,0.8,0.0,6.446352773168134,10
gap,gap_mu4_n32000_w128_r1e-03,32000,PLUG,0.03117749793517562,0.0,0.0,6.446352773168134,10
gap,gap_mu4_n32000_w128_r1e-03,32000,RIESZ_DENSITY_SCORE,0.0297865456475224,0.9,0.03170148234490662,6.446352773168134,10
gap,gap_mu4_n32000_w128_r1e-03,32000,RIESZ_TARGETED,0.031162021126772,0.0,0.9662960273904477,6.446352773168134,10
gap,gap_mu4_n8000_w128_r1e-03,8000,ORTH_DENSITY_SCORE,0.022177684004275378,0.9,0.06593326699780089,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,ORTH_TARGETED,0.021983367945851158,0.7,0.9648306955353487,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,OR_A,0.02163453275091314,0.9,0.0,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,OR_M_TARGETED,0.018218504769366158,0.9,0.9648306955353487,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,OR_PW,0.02168065784180203,0.8,0.0,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,OR_R,0.04978841273941211,0.9,0.0,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,PLUG,0.027331772615411597,0.7,0.0,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,RIESZ_DENSITY_SCORE,0.0400060090489325,1.0,0.06593326699780089,6.129013025472956,10
gap,gap_mu4_n8000_w128_r1e-03,8000,RIESZ_TARGETED,0.027221402156342212,0.5,0.9648306955353487,6.129013025472956,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,ORTH_DENSITY_SCORE,0.0010115801299789588,1.0,0.01734240282017781,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,ORTH_TARGETED,0.0010101387144424284,1.0,0.03788605940051555,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,OR_A,0.0010056484660720918,1.0,0.0,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,OR_M_TARGETED,0.00104925435983769,1.0,0.03788605940051555,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,OR_PW,0.0002699607266064314,1.0,0.0,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,OR_R,0.0010337496638054369,1.0,0.0,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,PLUG,0.0010146185271847619,0.3,0.0,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,RIESZ_DENSITY_SCORE,0.001991168286561251,0.9,0.01734240282017781,1.0007348440145225,10
gaussian,gaussian_d4_n128000_w128_r1e-03,128000,RIESZ_TARGETED,0.00104049593181305,1.0,0.03788605940051555,1.0007348440145225,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,ORTH_DENSITY_SCORE,0.00169841300060597,1.0,0.01694711937295581,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,ORTH_TARGETED,0.00167997933205954,1.0,0.07258107037926806,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,OR_A,0.00171220304438605,1.0,0.0,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,OR_M_TARGETED,0.0015567994102163901,1.0,0.07258107037926806,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,OR_PW,0.00079368321638756,1.0,0.0,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,OR_R,0.00292053529396931,1.0,0.0,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,PLUG,0.0017559054423693502,0.7,0.0,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,RIESZ_DENSITY_SCORE,0.00201651801691543,1.0,0.01694711937295581,1.0002530621484864,10
gaussian,gaussian_d4_n32000_w128_r1e-03,32000,RIESZ_TARGETED,0.00241943533389457,1.0,0.07258107037926806,1.0002530621484864,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,ORTH_DENSITY_SCORE,0.00275679224235541,1.0,0.03184784957277033,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,ORTH_TARGETED,0.0025689773396407383,1.0,0.15758423802822707,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,OR_A,0.0027634866725702,1.0,0.0,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,OR_M_TARGETED,0.0024216995074145702,1.0,0.15758423802822707,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,OR_PW,0.00143379863868252,0.9,0.0,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,OR_R,0.007591604465051261,1.0,0.0,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,PLUG,0.00286390725148079,0.6,0.0,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,RIESZ_DENSITY_SCORE,0.00323784583991628,1.0,0.03184784957277033,0.9963343006457256,10
gaussian,gaussian_d4_n8000_w128_r1e-03,8000,RIESZ_TARGETED,0.00759387994646171,1.0,0.15758423802822707,0.9963343006457256,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,ORTH_DENSITY_SCORE,0.0006946219128295473,1.0,0.14353465086100264,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,ORTH_TARGETED,0.00412379966704574,0.1,0.18497198844713517,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,OR_A,0.0004981630796561507,1.0,0.0,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,OR_M_TARGETED,0.0003823777463723917,1.0,0.18497198844713517,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,OR_PW,0.0003535764853896589,1.0,0.0,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,OR_R,0.0007035863297882928,1.0,0.0,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,PLUG,0.00422632773746661,0.0,0.0,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,RIESZ_DENSITY_SCORE,0.00182383242723596,0.9,0.14353465086100264,0.8826729642698931,10
student_t,student_t_nu3_n128000_w128_r1e-03,128000,RIESZ_TARGETED,0.00400384445400105,0.2,0.18497198844713517,0.8826729642698931,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,ORTH_DENSITY_SCORE,0.0015655910406846215,0.9,0.14744536592243865,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,ORTH_TARGETED,0.00374181039418401,0.6,0.18164969883371498,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,OR_A,0.0014849312073116291,0.9,0.0,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,OR_M_TARGETED,0.00161096243474843,1.0,0.18164969883371498,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,OR_PW,0.0009215090693026808,1.0,0.0,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,OR_R,0.00219236160778697,1.0,0.0,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,PLUG,0.00428538392252047,0.0,0.0,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,RIESZ_DENSITY_SCORE,0.00337102684497537,0.9,0.14744536592243865,0.8828008117962739,10
student_t,student_t_nu3_n32000_w128_r1e-03,32000,RIESZ_TARGETED,0.00295765410809265,0.9,0.18164969883371498,0.8828008117962739,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,ORTH_DENSITY_SCORE,0.00366332810063696,1.0,0.16462448196372045,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,ORTH_TARGETED,0.0032201966612024403,0.9,0.20485895201516743,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,OR_A,0.00374426223669947,1.0,0.0,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,OR_M_TARGETED,0.0037808871122945254,1.0,0.20485895201516743,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,OR_PW,0.001483889143321383,1.0,0.0,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,OR_R,0.0031395311139471595,1.0,0.0,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,PLUG,0.00358985931420129,0.8,0.0,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,RIESZ_DENSITY_SCORE,0.00365526197260837,1.0,0.16462448196372045,0.8822357731071454,10
student_t,student_t_nu3_n8000_w128_r1e-03,8000,RIESZ_TARGETED,0.00540341122526024,1.0,0.20485895201516743,0.8822357731071454,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,ORTH_DENSITY_SCORE,0.0008987540793686394,0.9,0.1712490857607602,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,ORTH_TARGETED,0.00138167217605168,0.8,0.08121666843805522,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,OR_A,0.0008593989464937199,0.9,0.0,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,OR_M_TARGETED,0.00088300464827233,0.9,0.08121666843805522,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,OR_PW,0.0004269881147792282,1.0,0.0,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,OR_R,0.0008572100764012828,1.0,0.0,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,PLUG,0.0016026533427088644,0.3,0.0,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,RIESZ_DENSITY_SCORE,0.00285862873022949,0.5,0.1712490857607602,0.9051737100087335,10
student_t,student_t_nu5_n128000_w128_r1e-03,128000,RIESZ_TARGETED,0.0013978965352913239,0.9,0.08121666843805522,0.9051737100087335,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,ORTH_DENSITY_SCORE,0.0017737628862352199,0.9,0.17152843124672595,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,ORTH_TARGETED,0.0019389433520777097,0.9,0.09398200371323188,0.9053760155777203,10
