case_id,data_seed,energy_score_fair,generator_seed,minus_best_epoch,minus_fit_seconds,model_name,model_seed,plus_best_epoch,plus_fit_seconds,quartic_nrmse,quartic_slope,status,wall_seconds
g61_d601_m6001_affine_flow,601,0.7042971905949068,61,32,2.3016139999963343,affine_flow,6001,29,2.2012710830022115,0.6934343159350984,0.30786787914125663,ok,4.589852375007467
g61_d601_m6001_autoregressive_mdn,601,0.7141336514367366,61,7,4.736836208001478,autoregressive_mdn,6001,6,4.445720582996728,0.8512062984958265,0.15164663812056514,ok,9.905804207985057
g61_d601_m6001_diffusion_edm,601,0.7130833053629821,61,59,0.6336412499949802,diffusion_edm,6001,59,0.6225323329854291,0.6790843938221689,0.32142709275765297,ok,1.510901208006544
g61_d601_m6001_flow_matching,601,0.7145189775616693,61,56,0.6294137079967186,flow_matching,6001,58,0.583555332996184,0.969634585554189,0.030467333523688057,ok,1.448589792009443
g61_d601_m6001_gaussian_nll,601,0.719743432703671,61,17,0.2562551249866374,gaussian_nll,6001,21,0.29568070798995905,0.9998748282975636,0.0001252384494189586,ok,0.5871458340261597
g61_d601_m6007_affine_flow,601,0.7093705622706796,61,39,2.653253374999622,affine_flow,6007,41,2.8410979580075946,0.8278630664727431,0.17281737353741067,ok,5.581418707995908
g61_d601_m6007_autoregressive_mdn,601,0.7052738028543054,61,6,4.438613207981689,autoregressive_mdn,6007,5,4.159083375008777,0.8941462399504945,0.10670418013120571,ok,8.821600917028263
g61_d601_m6007_diffusion_edm,601,0.7031790400328837,61,59,0.6202426670060959,diffusion_edm,6007,56,0.625188915990293,0.7174519985551818,0.28319213616161243,ok,1.495194041985087
g61_d601_m6007_flow_matching,601,0.7071314428376678,61,59,0.5676712499989662,flow_matching,6007,59,0.5724861250200775,0.9811066529290232,0.018938983146347618,ok,1.3745943329995498
g61_d601_m6007_gaussian_nll,601,0.7209656890163583,61,31,0.38525266700889915,gaussian_nll,6007,27,0.3673858330002986,0.9993781563743912,0.0006222873242270206,ok,0.788199041999178
g61_d607_m6001_affine_flow,607,0.7105803026124251,61,35,2.5206410830141976,affine_flow,6001,23,1.8646530419937335,0.7055013003171277,0.29526306249450246,ok,4.475396249996265
